project_id,iterations,absolute_error,standard_error,error_in_standard_errors,within_acceptance
PRJ-AIR,1000,39472.0492,243383.3654,0.1622,1
PRJ-AIR,5000,40917.7982,106836.685,0.383,1
PRJ-AIR,20000,67791.6404,53704.4411,1.2623,1
PRJ-DCT,1000,47582.7468,145315.0969,0.3274,1
PRJ-DCT,5000,87923.8406,65659.6241,1.3391,1
PRJ-DCT,20000,33325.7719,32412.762,1.0282,1
PRJ-HSP,1000,332382.6919,301667.9101,1.1018,1
PRJ-HSP,5000,76217.9865,134354.4889,0.5673,1
PRJ-HSP,20000,10151.3355,68235.4974,0.1488,1
PRJ-HWY,1000,24764.0717,125844.5809,0.1968,1
PRJ-HWY,5000,43796.3943,56186.9854,0.7795,1
PRJ-HWY,20000,15910.9426,27838.3489,0.5715,1
PRJ-RAL,1000,98576.8858,198643.3093,0.4963,1
PRJ-RAL,5000,86852.1763,90014.7972,0.9649,1
PRJ-RAL,20000,22871.1741,45059.1235,0.5076,1
PRJ-WTR,1000,65610.5068,105870.8274,0.6197,1
PRJ-WTR,5000,26958.4599,46334.8925,0.5818,1
PRJ-WTR,20000,29334.8845,23415.3832,1.2528,1
