module_id,module_name,category,run18_track,final_disposition
1.1,Monte Carlo EAC,1,PRIOR_21_REEXECUTED,METHOD_PASS_CALIBRATION_PENDING
1.2,CUSUM Anomaly Monitor,1,PRIOR_21_REEXECUTED,METHOD_PASS_CALIBRATION_PENDING
1.3,Bayesian EAC,1,PRIOR_21_REEXECUTED,METHOD_PASS_CALIBRATION_PENDING
1.4,Kalman Filter SPI Smoother,1,PRIOR_21_REEXECUTED,METHOD_PASS_CALIBRATION_PENDING
1.5,ARIMA CPI Forecast,1,PRIOR_21_REEXECUTED,METHOD_LABEL_MISMATCH
1.6,Earned Schedule,1,PRIOR_21_REEXECUTED,METHOD_LABEL_MISMATCH
1.7,TCPI,1,PRIOR_21_REEXECUTED,SCIENTIFIC_PASS
1.8,Variance at Completion,1,PRIOR_21_REEXECUTED,SCIENTIFIC_PASS
1.9,Budget Execution Rate,1,PRIOR_21_REEXECUTED,CORRECT_PROXY_ONLY
1.10,Regression to Mean CPI,1,PRIOR_21_REEXECUTED,MISSING_CANONICAL_DATA_STRUCTURE
1.11,ICE Ratio,1,PRIOR_21_REEXECUTED,METHOD_LABEL_MISMATCH
2.1,PERT Network Criticality,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.2,Line of Balance,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.3,CCPM Buffer Health,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.4,Schedule Compression Index,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.5,Float Consumption Rate,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.6,S-Curve Deviation,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.7,Milestone Trend Analysis,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.8,Look-Ahead Schedule Health,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.9,Resource Loading Index,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.10,Schedule Risk Analysis P80,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
2.11,Critical Path Index,2,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
3.1,Reference Class Forecasting,3,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
3.2,Contingency Burn Rate,3,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
3.3,Labor Productivity Index,3,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
3.5,Overhead Absorption Rate,3,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
3.6,Cost Risk Analysis P80,3,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
3.7,Analogous Estimating Ratio,3,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
3.8,Parametric Cost Index,3,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
3.9,Inflation Adjustment Index,3,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.1,Document Risk Score,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.2,RFI Velocity,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.3,Submittal Rejection Rate,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.4,NCR Rate,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.5,Weather Day Impact,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.6,Change Order Frequency,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.7,Dispute Escalation Index,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.8,Subcontractor Performance,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.9,Procurement Lead Time Monitor,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
4.10,Specification Conflict Density,4,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
5.1,DSM Rework Propagation,5,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
5.2,Sensitivity Analysis,5,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
5.3,Tornado Risk Ranking,5,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
5.4,Scenario Modeling,5,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
5.5,Rework Feedback Loop,5,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
5.6,Queueing Theory Bottleneck,5,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
5.7,Agent-Based Supply Chain,5,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
5.8,Discrete Event Simulation,5,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.6,Quality Compliance Index,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.7,Safety Performance Index,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.8,Environmental Compliance Rate,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.9,Contractor Performance Score,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
6.1,Conservative Dominance,6,PRIOR_21_REEXECUTED,IMPLEMENTATION_DEFECT
6.2,Weighted Voting,6,PRIOR_21_REEXECUTED,METHOD_LABEL_MISMATCH
6.3,Majority Rules,6,PRIOR_21_REEXECUTED,METHOD_PASS_CALIBRATION_PENDING
6.4,Worst-N-of-M,6,PRIOR_21_REEXECUTED,IMPLEMENTATION_DEFECT
7.1,Dempster-Shafer,7,PRIOR_21_REEXECUTED,METHOD_PASS_CALIBRATION_PENDING
7.2,Rough Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.3,Neutrosophic Logic,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.4,Interval Fuzzy Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.5,Z-numbers,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.6,PLTS,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.7,Plithogenic Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.8,Belief Rule Base,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.9,Quantum Probability,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.10,Pythagorean Fuzzy Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.11,Picture Fuzzy Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.12,Hesitant Fuzzy Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.13,Type-2 Fuzzy Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.14,Maximum Entropy,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
