state,observation,value
A-empty,flow_present,True
A-empty,headers,27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE
A-empty,project_status_node,Project Status Not estimable
A-empty,animated_paths,0
A-empty,active_marked_paths,0
A-empty,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project has no uploaded documents and no current results, so nothing on the diagram is active and the project status is not estimable."
A-empty,rail_present_in_dom,True
A-empty,rail_visible,True
A-empty,rail_buttons,10
A-empty,rail_targets_resolve,True of 10
A-empty,collapse_suspects_strict,[]
B-populated,flow_present,True
B-populated,headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
B-populated,project_status_node,Project Status Amber
B-populated,animated_paths,100
B-populated,active_marked_paths,100
B-populated,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 24 uploaded documents across 6 types, 41 modules with a current result, 46 with no current result, 0 not applicable to this project and 9 disabled, and 10 estimable categories."
B-populated,rail_present_in_dom,True
B-populated,rail_visible,True
B-populated,rail_buttons,10
B-populated,rail_targets_resolve,True of 10
B-populated,collapse_suspects_strict,[]
F-onedoc,flow_present,True
F-onedoc,headers,27 SUPPORTED DOCUMENT TYPES | 1 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 35 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 9 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
F-onedoc,project_status_node,Project Status Amber
F-onedoc,animated_paths,71
F-onedoc,active_marked_paths,71
F-onedoc,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 1 uploaded document across 1 type, 35 modules with a current result, 52 with no current result, 0 not applicable to this project and 9 disabled, and 9 estimable categories."
F-onedoc,rail_present_in_dom,True
F-onedoc,rail_visible,True
F-onedoc,rail_buttons,10
F-onedoc,rail_targets_resolve,True of 10
F-onedoc,collapse_suspects_strict,[]
F-onedoc,animated_vs_populated,71 of 100
E-switch-1-populated,flow_present,True
E-switch-1-populated,headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
E-switch-1-populated,project_status_node,Project Status Red
E-switch-1-populated,animated_paths,100
E-switch-1-populated,active_marked_paths,100
