state,observation,value
server-pre,PRJ-R21-EMPTY.live_row,False
server-pre,PRJ-R21-EMPTY.modules,None
server-pre,PRJ-R21-EMPTY.project_status,None
server-pre,PRJ-R21-ONEDOC.live_row,True
server-pre,PRJ-R21-ONEDOC.modules,35
server-pre,PRJ-R21-ONEDOC.project_status,Amber
server-pre,PRJ-R21-FULL.live_row,True
server-pre,PRJ-R21-FULL.modules,41
server-pre,PRJ-R21-FULL.project_status,Amber
A-empty,project,PRJ-R21-EMPTY
A-empty,flow_present,True
A-empty,flow_headers,27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE
A-empty,flow_animated_paths,0
A-empty,flow_project_status_node,Project Status Not estimable
A-empty,flow_node_fills,"{""#1e2a3c"": 24, ""#5b3dd6"": 12, ""#9aa2ae"": 99}"
A-empty,flow_summary,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project has no uploaded documents and no current results, so nothing on the diagram is active and the project status is not estimable."
A-empty,rail_present,True
A-empty,rail_buttons,10
A-empty,rail_collapse_suspects,[]
A-empty,badges_with_numbers,"[""11 registered"", ""96 registered"", ""Executive brief: Run 16 empty project"", ""Reporting period: 2026-08 \u00b7 grouped analysis across 11 signal categories"", ""96 registered"", ""0 docs \u00b7 0 fields"", ""Documents: 0 documents"", ""0 active \u00b7 0 est.""]"
A-empty,registry_labelled_badges,"[""11 registered"", ""96 registered"", ""96 registered""]"
A-empty,unlabelled_96_badges,[]
B-onedoc,project,PRJ-R21-ONEDOC
B-onedoc,flow_present,True
B-onedoc,flow_headers,27 SUPPORTED DOCUMENT TYPES | 1 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 35 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 9 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
B-onedoc,flow_animated_paths,71
B-onedoc,flow_project_status_node,Project Status Amber
B-onedoc,flow_node_fills,"{""#12703a"": 32, ""#1e2a3c"": 23, ""#5b3dd6"": 12, ""#6f5200"": 5, ""#9a4700"": 6, ""#9aa2ae"": 54, ""#a0bcd8"": 1, ""#b81420"": 2}"
B-onedoc,flow_summary,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 1 uploaded document across 1 type, 35 modules with a current result, 52 with no current result, 0 not applicable to this project and 9 disabled, and 9 estimable categories."
B-onedoc,rail_present,True
B-onedoc,rail_buttons,10
B-onedoc,rail_collapse_suspects,[]
B-onedoc,badges_with_numbers,"[""11 registered"", ""96 registered"", ""Executive brief: Run 16 one-document project"", ""Reporting period: 2026-08 \u00b7 grouped analysis across 11 signal categories"", ""96 registered"", ""Signal Sphere: August 2026"", ""96-module sphere \u00b7 35 active \u00b7 drag to rotate \u00b7 scroll to zoom"", ""96 modules \u00b7 1 Red \u00b7 4 Amber \u00b7 27 Green"", ""1 doc \u00b7 10 fields"", ""Documents: 1 document"", ""35 active \u00b7 1 est."", ""Ensemble Scatter \u00b7 35 active modules (96 total)"", ""96 modules in 3D \u00b7 X = category \u00b7 Y = status severity \u00b7 drag to rotate""]"
B-onedoc,server_modules,35
C-multidoc,project,PRJ-R21-FULL
C-multidoc,flow_present,True
C-multidoc,flow_headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
C-multidoc,flow_animated_paths,100
C-multidoc,flow_project_status_node,Project Status Amber
C-multidoc,flow_node_fills,"{""#12703a"": 31, ""#1e2a3c"": 18, ""#5b3dd6"": 12, ""#6f5200"": 7, ""#9a4700"": 9, ""#9aa2ae"": 47, ""#a0bcd8"": 6, ""#b81420"": 5}"
C-multidoc,flow_summary,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 24 uploaded documents across 6 types, 41 modules with a current result, 46 with no current result, 0 not applicable to this project and 9 disabled, and 10 estimable categories."
C-multidoc,rail_present,True
C-multidoc,rail_buttons,10
C-multidoc,rail_collapse_suspects,[]
