stage,prohibited_operation,route,expectation,server_answer,raw
PERIOD 1,AI content in the served DOM before the preliminary lock,document.body.innerText,the recommendation must be absent,ABSENT,5900
PERIOD 1,reveal the AI package before the preliminary lock,researchreveal,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""preliminary judgment must be submitted and locked before the decision support package can be revealed""}"
PERIOD 1,reveal by direct fetch from the participant's own page,fetch /exec researchreveal,the server must refuse,SEE RAW,"{""ok"":false,""error"":""preliminary judgment must be submitted and locked before the decision support package can be revealed""}"
PERIOD 1,AI content in the sequence-state route before the lock,researchsequencestate,the recommendation must be absent,ABSENT,"{""ok"": true, ""current_sequence_number"": 1, ""all_assignments_complete"": false, ""intake_completed"": true, ""vocabularies"": {""actions"": [""monitor"", ""investigate"", ""escalate"", ""re-baseline"", ""defer""], ""dispositions"": [""accept"", ""accept_with_conditions"", ""modify"", ""reject"", ""defer"", ""request_evidence"", ""e"
PERIOD 1,edit the preliminary answer after the lock,researchprejudgment,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""preliminary judgment is already locked and cannot be resubmitted""}"
PERIOD 1,resubmit the IDENTICAL preliminary answer after the lock,researchprejudgment,the server must refuse a duplicate submit too,REFUSED,"{""ok"": false, ""error"": ""preliminary judgment is already locked and cannot be resubmitted""}"
PERIOD 1,"the preliminary controls after the lock, on the page",served DOM,must not offer an edit path,"{""selectPresent"": false, ""selectDisabled"": null, ""commitPresent"": false, ""commitDisabled"": null}",
PERIOD 1,edit the final action after the final lock,researchdecision,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""a final decision has already been recorded for this assignment""}"
PERIOD 1,duplicate submit of the identical final answer,researchdecision,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""a final decision has already been recorded for this assignment""}"
PERIOD 1,change only the final confidence after the lock,researchdecision,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""a final decision has already been recorded for this assignment""}"
PERIOD 1,change only the rationale after the lock,researchdecision,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""a final decision has already been recorded for this assignment""}"
PERIOD 2,AI content in the served DOM before the preliminary lock,document.body.innerText,the recommendation must be absent,ABSENT,5900
PERIOD 2,reveal the AI package before the preliminary lock,researchreveal,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""preliminary judgment must be submitted and locked before the decision support package can be revealed""}"
PERIOD 2,reveal by direct fetch from the participant's own page,fetch /exec researchreveal,the server must refuse,SEE RAW,"{""ok"":false,""error"":""preliminary judgment must be submitted and locked before the decision support package can be revealed""}"
PERIOD 2,AI content in the sequence-state route before the lock,researchsequencestate,the recommendation must be absent,ABSENT,"{""ok"": true, ""current_sequence_number"": 1, ""all_assignments_complete"": false, ""intake_completed"": true, ""vocabularies"": {""actions"": [""monitor"", ""investigate"", ""escalate"", ""re-baseline"", ""defer""], ""dispositions"": [""accept"", ""accept_with_conditions"", ""modify"", ""reject"", ""defer"", ""request_evidence"", ""e"
PERIOD 2,edit the preliminary answer after the lock,researchprejudgment,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""preliminary judgment is already locked and cannot be resubmitted""}"
PERIOD 2,resubmit the IDENTICAL preliminary answer after the lock,researchprejudgment,the server must refuse a duplicate submit too,REFUSED,"{""ok"": false, ""error"": ""preliminary judgment is already locked and cannot be resubmitted""}"
PERIOD 2,"the preliminary controls after the lock, on the page",served DOM,must not offer an edit path,"{""selectPresent"": false, ""selectDisabled"": null, ""commitPresent"": false, ""commitDisabled"": null}",
PERIOD 2,edit the final action after the final lock,researchdecision,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""the decision support package must be revealed before a final decision can be recorded""}"
PERIOD 2,duplicate submit of the identical final answer,researchdecision,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""the decision support package must be revealed before a final decision can be recorded""}"
PERIOD 2,change only the final confidence after the lock,researchdecision,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""the decision support package must be revealed before a final decision can be recorded""}"
PERIOD 2,change only the rationale after the lock,researchdecision,the server must refuse,REFUSED,"{""ok"": false, ""error"": ""the decision support package must be revealed before a final decision can be recorded""}"
append-only,direct SQL UPDATE of a locked decision row,sqlalchemy execute,the append-only trigger must refuse,REFUSED,"(sqlite3.IntegrityError) pre-judgment is locked: pre_action and pre_confidence are immutable after pre_locked_at
[SQL: UPDATE decisions SET pre_action='tampered"
non-vacuity,a legitimate call that must SUCCEED,researchsequencestate,must be recorded as NOT REFUSED,NOT REFUSED,"{""ok"": true, ""current_sequence_number"": 2, ""all_assignments_complete"": false, ""intake_completed"": true, ""vocabularies"": {""actions"": [""monitor"", ""investigate"", ""escalate"", ""re-baseline"", ""defer""], ""dispositions"": [""accept"", ""accept_with_conditions"", ""modify"", ""reject"", ""defer"", ""request_evidence"", ""escalate"", ""transfer_authority""], ""reason_codes"": [""cost_variance"", ""schedule_variance"", ""evidence_qu"
