period,observation,value,compared_with,compared_value,result
PERIOD 1,state before,"{""period"": ""P1"", ""sequence_number"": null, ""current_stage"": ""evidence""}",state after final,"{""period"": ""P1"", ""sequence_number"": null, ""current_stage"": ""complete""}",
PERIOD 1,advance control reachability,"{""present"": true, ""w"": 188, ""h"": 31, ""x"": 75, ""y"": 1066, ""inViewport"": true, ""display"": ""inline-block"", ""visibility"": ""visible"", ""opacity"": ""1"", ""pointerEvents"": ""auto"", ""disabled"": false, ""topAtCentre"": ""button#dc-advance-btn.dc-btn"", ""topIsSelfOrChild"": true}",,,offered
PERIOD 1,advance control clicked,yes,,,
PERIOD 1,evidence project named by the server after the transition,PRJ-R21P-EV-2,driver follows the participant to,PRJ-R21P-EV-2,
PERIOD 1,advance,dc-advance-btn,next state,"{""period"": ""P2"", ""sequence_number"": null, ""current_stage"": ""evidence""}",PASS
PERIOD 1,preliminary control value in the new period,,previous period's answer,monitor,PASS
PERIOD 1,previous period row snapshotted before the next period,"[{""period"": ""P1"", ""pre_action"": ""monitor"", ""pre_confidence"": 60, ""pre_locked"": true, ""pre_locked_at"": ""2026-08-14 06:44:09"", ""reveal_at"": ""2026-08-14 06:44:18"", ""final_action"": ""monitor"", ""disposition"": ""accept"", ""rationale"": ""Run21-unique-rationale-9f2c: the recommendation matches what the cost evidence shows."", ""final_submitted_at"": ""2026-08-14 06:44:22""}]",,,
PERIOD 2,state before,"{""period"": ""P2"", ""sequence_number"": null, ""current_stage"": ""evidence""}",state after final,"{""period"": ""P1"", ""sequence_number"": null, ""current_stage"": ""evidence""}",
PERIOD 2,advance control reachability,"{""present"": true, ""w"": 0, ""h"": 0, ""x"": 0, ""y"": 0, ""inViewport"": true, ""display"": ""inline-block"", ""visibility"": ""visible"", ""opacity"": ""1"", ""pointerEvents"": ""auto"", ""disabled"": false, ""topAtCentre"": ""body.og-no-chat"", ""topIsSelfOrChild"": false}",,,not offered
PERIOD 2,no reachable advance control; server position now,"{""period"": ""P1"", ""current_stage"": ""evidence"", ""evidence_project_id"": ""PRJ-R21P-EV-2""}",,,the participant has rolled to the next assignment
PERIOD 1,completed period P1 after later work,"{""period"": ""P1"", ""pre_action"": ""monitor"", ""pre_confidence"": 60, ""pre_locked"": true, ""pre_locked_at"": ""2026-08-14 06:44:09"", ""reveal_at"": ""2026-08-14 06:44:18"", ""final_action"": ""monitor"", ""disposition"": ""accept"", ""rationale"": ""Run21-unique-rationale-9f2c: the recommendation matches what the cost evidence shows."", ""final_submitted_at"": ""2026-08-14 06:44:22""}",re-read now,"{""period"": ""P1"", ""pre_action"": ""monitor"", ""pre_confidence"": 60, ""pre_locked"": true, ""pre_locked_at"": ""2026-08-14 06:44:09"", ""reveal_at"": ""2026-08-14 06:44:18"", ""final_action"": ""monitor"", ""disposition"": ""accept"", ""rationale"": ""Run21-unique-rationale-9f2c: the recommendation matches what the cost evidence shows."", ""final_submitted_at"": ""2026-08-14 06:44:22""}",PASS
