state,project,server_fact,server_value,browser_fact,browser_value,note
A-empty,PRJ-R21-EMPTY,server_live_row,False,flow_present,True,
A-empty,PRJ-R21-EMPTY,server_modules_with_a_current_result,None,flow_headers,27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE,
A-empty,PRJ-R21-EMPTY,server_project_status,None,flow_project_status_node,Project Status Not estimable,
A-empty,PRJ-R21-EMPTY,server_categories,None,flow_animated_paths,0,
B-onedoc,PRJ-R21-ONEDOC,server_live_row,True,flow_present,True,
B-onedoc,PRJ-R21-ONEDOC,server_modules_with_a_current_result,35,flow_headers,27 SUPPORTED DOCUMENT TYPES | 1 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 35 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 9 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT,
B-onedoc,PRJ-R21-ONEDOC,server_project_status,Amber,flow_project_status_node,Project Status Amber,
B-onedoc,PRJ-R21-ONEDOC,server_categories,1,flow_animated_paths,71,
C-multidoc,PRJ-R21-FULL,server_live_row,True,flow_present,True,
C-multidoc,PRJ-R21-FULL,server_modules_with_a_current_result,41,flow_headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT,
C-multidoc,PRJ-R21-FULL,server_project_status,Amber,flow_project_status_node,Project Status Amber,
C-multidoc,PRJ-R21-FULL,server_categories,1,flow_animated_paths,100,
G-populated-after-reload,PRJ-R21-FULL,server_live_row,True,flow_present,True,
G-populated-after-reload,PRJ-R21-FULL,server_modules_with_a_current_result,41,flow_headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT,
G-populated-after-reload,PRJ-R21-FULL,server_project_status,Amber,flow_project_status_node,Project Status Amber,
G-populated-after-reload,PRJ-R21-FULL,server_categories,1,flow_animated_paths,100,
D-reset-same-session,PRJ-R21-FULL,server_live_row,False,flow_present,True,
D-reset-same-session,PRJ-R21-FULL,server_modules_with_a_current_result,None,flow_headers,27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE,
D-reset-same-session,PRJ-R21-FULL,server_project_status,None,flow_project_status_node,Project Status Not estimable,
D-reset-same-session,PRJ-R21-FULL,server_categories,None,flow_animated_paths,0,
D-reset-after-reload,PRJ-R21-FULL,server_live_row,False,flow_present,True,
D-reset-after-reload,PRJ-R21-FULL,server_modules_with_a_current_result,None,flow_headers,"27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED SINCE THE RESET, 24 RETAINED | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE",
D-reset-after-reload,PRJ-R21-FULL,server_project_status,None,flow_project_status_node,Project Status Not estimable,
D-reset-after-reload,PRJ-R21-FULL,server_categories,None,flow_animated_paths,0,
E-post-reset,PRJ-R21-FULL,server_live_row,True,flow_present,True,
E-post-reset,PRJ-R21-FULL,server_modules_with_a_current_result,41,flow_headers,"27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED SINCE THE RESET, 24 RETAINED | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE",
E-post-reset,PRJ-R21-FULL,server_project_status,Amber,flow_project_status_node,Project Status Not estimable,
E-post-reset,PRJ-R21-FULL,server_categories,1,flow_animated_paths,0,
authority,PRJ-R21-EMPTY,frontend local mutation applied,project-not-found-in-frontend-state,,,a fabricated Green result injected into frontend memory only
authority,PRJ-R21-EMPTY,server_live_row,False,,,server is unmoved by the frontend mutation
