variant,measurement,value,note
A_reload_populated_3p_aborted,primitive,timed_out,Page.reload: Timeout 45000ms exceeded.
A_reload_populated_3p_aborted,primitive_seconds,45.00,
A_reload_populated_3p_aborted,document_destroyed,yes,the sentinel proves a real document reload
A_reload_populated_3p_aborted,first_response_seconds,0.02,time to the server's HTML response
A_reload_populated_3p_aborted,domcontentloaded_seconds,54.12,
A_reload_populated_3p_aborted,app_object_seconds,54.13,core application initialised
A_reload_populated_3p_aborted,controls_usable_seconds,53.85,PARTICIPANT-FACING METRIC
A_reload_populated_3p_aborted,load_event_seconds,never,includes nonessential subresources
A_reload_populated_3p_aborted,readyState_when_app_ready,interactive,
A_reload_populated_3p_aborted,evaluate_reads,2,
A_reload_populated_3p_aborted,evaluate_errors,1,
A_reload_populated_3p_aborted,last_AUTH_seconds,0.04,1 requests
A_reload_populated_3p_aborted,last_CORE_APPLICATION_seconds,54.13,47 requests
A_reload_populated_3p_aborted,last_REQUIRED_API_seconds,54.13,10 requests
A_reload_populated_3p_aborted,slowest_request,54.13s REQUIRED_API 200,http://127.0.0.1:8223/exec?action=listarchived
A_reload_populated_3p_aborted,slowest_request,54.13s REQUIRED_API 200,http://127.0.0.1:8223/exec
A_reload_populated_3p_aborted,slowest_request,54.13s REQUIRED_API 200,http://127.0.0.1:8223/exec?action=listslim
A_reload_populated_3p_aborted,slowest_request,54.13s REQUIRED_API 200,http://127.0.0.1:8223/exec
A_reload_populated_3p_aborted,slowest_request,54.13s REQUIRED_API 200,http://127.0.0.1:8223/exec
A_reload_populated_3p_aborted,browser_perf_responseStart_ms,12,the browser's own navigation timeline
A_reload_populated_3p_aborted,browser_perf_responseEnd_ms,21,the browser's own navigation timeline
A_reload_populated_3p_aborted,browser_perf_domInteractive_ms,53968,the browser's own navigation timeline
A_reload_populated_3p_aborted,browser_perf_domContentLoaded_ms,53970,the browser's own navigation timeline
A_reload_populated_3p_aborted,browser_perf_domComplete_ms,0,the browser's own navigation timeline
A_reload_populated_3p_aborted,browser_perf_loadEvent_ms,0,the browser's own navigation timeline
A_reload_populated_3p_aborted,browser_perf_duration_ms,0,the browser's own navigation timeline
A_reload_populated_3p_aborted,browser_slowest_resource,53ms,http://127.0.0.1:8223/logo.png
A_reload_populated_3p_aborted,browser_slowest_resource,36ms,http://127.0.0.1:8223/assets/css/radar.css
A_reload_populated_3p_aborted,browser_slowest_resource,30ms,http://127.0.0.1:8223/assets/vendor/fonts/inter-600-latin.woff2
A_reload_populated_3p_aborted,browser_slowest_resource,30ms,http://127.0.0.1:8223/assets/vendor/fonts/ibm-plex-mono-600-latin.woff2
A_reload_populated_3p_aborted,browser_slowest_resource,29ms,http://127.0.0.1:8223/assets/vendor/fonts/archivo-800-latin.woff2
B_reload_populated_3p_allowed,primitive,timed_out,Page.reload: Timeout 45000ms exceeded.
B_reload_populated_3p_allowed,primitive_seconds,45.00,
B_reload_populated_3p_allowed,document_destroyed,yes,the sentinel proves a real document reload
B_reload_populated_3p_allowed,first_response_seconds,0.03,time to the server's HTML response
B_reload_populated_3p_allowed,domcontentloaded_seconds,59.05,
B_reload_populated_3p_allowed,app_object_seconds,59.06,core application initialised
B_reload_populated_3p_allowed,controls_usable_seconds,59.06,PARTICIPANT-FACING METRIC
B_reload_populated_3p_allowed,load_event_seconds,never,includes nonessential subresources
B_reload_populated_3p_allowed,readyState_when_app_ready,interactive,
B_reload_populated_3p_allowed,evaluate_reads,1,
B_reload_populated_3p_allowed,evaluate_errors,1,
B_reload_populated_3p_allowed,last_AUTH_seconds,0.03,1 requests
B_reload_populated_3p_allowed,last_CORE_APPLICATION_seconds,59.06,47 requests
B_reload_populated_3p_allowed,last_REQUIRED_API_seconds,59.06,15 requests
B_reload_populated_3p_allowed,slowest_request,59.06s REQUIRED_API 200,http://127.0.0.1:8223/exec
B_reload_populated_3p_allowed,slowest_request,59.06s REQUIRED_API 200,http://127.0.0.1:8223/exec?action=listarchived
B_reload_populated_3p_allowed,slowest_request,59.06s REQUIRED_API 200,http://127.0.0.1:8223/exec
B_reload_populated_3p_allowed,slowest_request,59.06s REQUIRED_API 200,http://127.0.0.1:8223/exec
B_reload_populated_3p_allowed,slowest_request,59.06s REQUIRED_API 200,http://127.0.0.1:8223/exec
B_reload_populated_3p_allowed,browser_perf_responseStart_ms,14,the browser's own navigation timeline
B_reload_populated_3p_allowed,browser_perf_responseEnd_ms,32,the browser's own navigation timeline
B_reload_populated_3p_allowed,browser_perf_domInteractive_ms,58897,the browser's own navigation timeline
B_reload_populated_3p_allowed,browser_perf_domContentLoaded_ms,58899,the browser's own navigation timeline
B_reload_populated_3p_allowed,browser_perf_domComplete_ms,0,the browser's own navigation timeline
B_reload_populated_3p_allowed,browser_perf_loadEvent_ms,0,the browser's own navigation timeline
B_reload_populated_3p_allowed,browser_perf_duration_ms,0,the browser's own navigation timeline
B_reload_populated_3p_allowed,browser_slowest_resource,58ms,http://127.0.0.1:8223/exec
B_reload_populated_3p_allowed,browser_slowest_resource,39ms,http://127.0.0.1:8223/exec
B_reload_populated_3p_allowed,browser_slowest_resource,28ms,http://127.0.0.1:8223/exec?action=listarchived
B_reload_populated_3p_allowed,browser_slowest_resource,27ms,http://127.0.0.1:8223/exec
B_reload_populated_3p_allowed,browser_slowest_resource,26ms,http://127.0.0.1:8223/exec
C_goto_populated_3p_aborted,primitive,timed_out,Page.goto: Timeout 45000ms exceeded.
C_goto_populated_3p_aborted,primitive_seconds,45.00,
C_goto_populated_3p_aborted,document_destroyed,yes,the sentinel proves a real document reload
C_goto_populated_3p_aborted,first_response_seconds,0.02,time to the server's HTML response
C_goto_populated_3p_aborted,domcontentloaded_seconds,58.54,
C_goto_populated_3p_aborted,app_object_seconds,58.55,core application initialised
C_goto_populated_3p_aborted,controls_usable_seconds,58.29,PARTICIPANT-FACING METRIC
C_goto_populated_3p_aborted,load_event_seconds,never,includes nonessential subresources
C_goto_populated_3p_aborted,readyState_when_app_ready,interactive,
C_goto_populated_3p_aborted,evaluate_reads,2,
C_goto_populated_3p_aborted,evaluate_errors,1,
C_goto_populated_3p_aborted,last_AUTH_seconds,0.02,1 requests
C_goto_populated_3p_aborted,last_CORE_APPLICATION_seconds,58.55,47 requests
C_goto_populated_3p_aborted,last_REQUIRED_API_seconds,58.55,8 requests
C_goto_populated_3p_aborted,slowest_request,58.55s REQUIRED_API 200,http://127.0.0.1:8223/exec?action=listslim
C_goto_populated_3p_aborted,slowest_request,58.55s CORE_APPLICATION 404,http://127.0.0.1:8223/assets/menu_emblem.png
