label,element_class,element_type,element_name,shape,rendered_fill_or_stroke,rendered_stroke,rendered_opacity,filter,state_or_class,allowed_on_empty_project,verdict
after,node,module,Monte Carlo EAC Forecast,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,CUSUM Anomaly Monitor,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Bayesian EAC,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Kalman Filter SPI Smoother,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,ARIMA CPI Forecast,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Earned Schedule,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,TCPI,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Variance at Completion,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Budget Execution Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Regression to Mean CPI,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,ICE Ratio,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,PERT Network Criticality,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Line of Balance,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,CCPM Buffer Health,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Schedule Compression Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Float Consumption Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,S-Curve Deviation,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Milestone Trend Analysis,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Look-Ahead Schedule Health,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Resource Loading Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Schedule Risk Analysis P80,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Critical Path Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Reference Class Forecasti…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Contingency Burn Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Labor Productivity Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Material Cost Variance,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Overhead Absorption Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Cost Risk Analysis P80,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Analogous Estimating Ratio,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Parametric Cost Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Inflation Adjustment Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Document Risk Score,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,RFI Velocity,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Submittal Rejection Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,NCR Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Weather Day Impact,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Change Order Frequency,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Dispute Escalation Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Subcontractor Performance,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Procurement Lead Time Mon…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Specification Conflict De…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,DSM Rework Propagation,circle,#9aa2ae,none,0.2,,,yes,PASS
