label,element_class,element_type,element_name,shape,rendered_fill_or_stroke,rendered_stroke,rendered_opacity,filter,state_or_class,allowed_on_empty_project,verdict
baseline,node,module,Monte Carlo EAC Forecast,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,CUSUM Anomaly Monitor,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Bayesian EAC,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Kalman Filter SPI Smoother,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,ARIMA CPI Forecast,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Earned Schedule,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,TCPI,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Variance at Completion,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Budget Execution Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Regression to Mean CPI,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,ICE Ratio,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,PERT Network Criticality,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Line of Balance,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,CCPM Buffer Health,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Schedule Compression Index,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Float Consumption Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,S-Curve Deviation,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Milestone Trend Analysis,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Look-Ahead Schedule Health,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Resource Loading Index,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Schedule Risk Analysis P80,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Critical Path Index,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Reference Class Forecasti…,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Contingency Burn Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Labor Productivity Index,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Material Cost Variance,circle,#5b3dd6,none,0.34,,,no,FAIL
baseline,node,module,Overhead Absorption Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Cost Risk Analysis P80,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Analogous Estimating Ratio,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Parametric Cost Index,circle,#5b3dd6,none,0.34,,,no,FAIL
baseline,node,module,Inflation Adjustment Index,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Document Risk Score,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,RFI Velocity,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Submittal Rejection Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,NCR Rate,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Weather Day Impact,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Change Order Frequency,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Dispute Escalation Index,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Subcontractor Performance,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Procurement Lead Time Mon…,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Specification Conflict De…,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,DSM Rework Propagation,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Sensitivity Analysis,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Tornado Risk Ranking,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Scenario Modeling,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Rework Feedback Loop,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Queueing Theory Bottleneck,circle,#9aa2ae,none,0.2,,,yes,PASS
baseline,node,module,Agent-Based Supply Chain,circle,#9aa2ae,none,0.2,,,yes,PASS
