edge_type,upstream,downstream,in_authoritative_inventory
CATEGORY -> CATEGORY,Data Integrity,Decision Optimization,yes
CATEGORY -> CATEGORY,Data Integrity,Evidence Combination,yes
CATEGORY -> CATEGORY,Data Integrity,Regulatory and Authority Thresholds,yes
CATEGORY -> CATEGORY,Data Integrity,Signal Synthesis,yes
CATEGORY -> PROJECT STATUS,Cost Risk,Project status,yes
CATEGORY -> PROJECT STATUS,Cost and EVM Performance,Project status,yes
CATEGORY -> PROJECT STATUS,Decision Optimization,Project status,yes
CATEGORY -> PROJECT STATUS,Delivery Quality Performance,Project status,yes
CATEGORY -> PROJECT STATUS,Document-Derived Condition Signals,Project status,yes
CATEGORY -> PROJECT STATUS,Evidence Combination,Project status,yes
CATEGORY -> PROJECT STATUS,Regulatory and Authority Thresholds,Project status,yes
CATEGORY -> PROJECT STATUS,Schedule Performance,Project status,yes
CATEGORY -> PROJECT STATUS,Signal Synthesis,Project status,yes
CATEGORY -> PROJECT STATUS,System Dynamics and Complexity,Project status,yes
DOCUMENT -> MODULE,change_order,Analogous Estimating Ratio,yes
DOCUMENT -> MODULE,change_order,Audit Trail Completeness,yes
DOCUMENT -> MODULE,change_order,Bayesian EAC,yes
DOCUMENT -> MODULE,change_order,Budget Execution Rate,yes
DOCUMENT -> MODULE,change_order,Change Order Frequency,yes
DOCUMENT -> MODULE,change_order,Constraint Satisfaction Analysis,yes
DOCUMENT -> MODULE,change_order,Contract Modification Frequency,yes
DOCUMENT -> MODULE,change_order,Cost Risk Analysis P80,yes
DOCUMENT -> MODULE,change_order,Dispute Escalation Index,yes
DOCUMENT -> MODULE,change_order,EVM Reporting Threshold,yes
DOCUMENT -> MODULE,change_order,Earned Schedule,yes
DOCUMENT -> MODULE,change_order,FAR Threshold Monitor,yes
DOCUMENT -> MODULE,change_order,ICE Ratio,yes
DOCUMENT -> MODULE,change_order,Information Completeness Ratio,yes
DOCUMENT -> MODULE,change_order,Linear Programming,yes
DOCUMENT -> MODULE,change_order,Missing Data Index,yes
DOCUMENT -> MODULE,change_order,Monte Carlo EAC Forecast,yes
DOCUMENT -> MODULE,change_order,OMB A-11 Check,yes
DOCUMENT -> MODULE,change_order,PERT Network Criticality,yes
DOCUMENT -> MODULE,change_order,Parametric Cost Index,yes
DOCUMENT -> MODULE,change_order,Reference Class Forecasting,yes
DOCUMENT -> MODULE,change_order,Regret Minimization Index,yes
DOCUMENT -> MODULE,change_order,Rework Feedback Loop,yes
DOCUMENT -> MODULE,change_order,Scenario Modeling,yes
DOCUMENT -> MODULE,change_order,Sensitivity Analysis,yes
DOCUMENT -> MODULE,change_order,Source Reliability Weighting,yes
DOCUMENT -> MODULE,change_order,TCPI,yes
DOCUMENT -> MODULE,change_order,Variance at Completion,yes
DOCUMENT -> MODULE,change_order,What-If Scenario Matrix,yes
