module_identity,module_name,registry_activation,production_dispatcher,production_runner,current_implementation_called,canonical_v5_function_object,ledger_writer,api_browser_path,fallback_path,current_v15_result_source,pass_fail
B2.1,Dempster-Shafer,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_dst_evidence_combination,app.simulation.models_cat7 (canonical route),canonical_v5::evidenceMassFunctions,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.2,Rough Sets,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_rough_sets_classification,app.simulation.models_cat7 (canonical route),canonical_v5::roughDecisionTable,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.3,Neutrosophic Logic,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_neutrosophic_logic,app.simulation.models_cat7 (canonical route),canonical_v5::neutrosophicAssessment,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.4,Interval Fuzzy Sets,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_interval_fuzzy_sets,app.simulation.models_cat7 (canonical route),canonical_v5::intervalFuzzyAssessment,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.5,Z-numbers,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_z_numbers,app.simulation.models_cat7 (canonical route),canonical_v5::zNumberAssessment,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.6,PLTS,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_plts,app.simulation.models_cat7 (canonical route),canonical_v5::probabilisticLinguisticAssessment,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.7,Plithogenic Sets,DISABLED_UNSAFE,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_plithogenic_sets,app.simulation.models_cat7 (canonical route),canonical_v5::plithogenicLabStructure,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,the disabled gate refused before any mathematics,PASS
B2.8,Belief Rule Base,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_belief_rule_base,app.simulation.models_cat7 (canonical route),canonical_v5::beliefRuleBase,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.9,Quantum Probability,DISABLED_UNSAFE,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_quantum_probability,app.simulation.models_cat7 (canonical route),"canonical_v5::(archived, no structure)",server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,the disabled gate refused before any mathematics,PASS
B2.10,Pythagorean Fuzzy Sets,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_pythagorean_fuzzy,app.simulation.models_cat7 (canonical route),canonical_v5::pythagoreanFuzzyAssessment,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.11,Picture Fuzzy Sets,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_picture_fuzzy,app.simulation.models_cat7 (canonical route),canonical_v5::pictureFuzzyAssessment,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
B2.12,Hesitant Fuzzy Sets,ADVISORY_ONLY,server/app/simulation/registry.py::run_module (the one production entry point),app.simulation.models_cat7::run_hesitant_fuzzy,app.simulation.models_cat7 (canonical route),canonical_v5::hesitantFuzzyAssessment,server/app/simulation/registry.py::run_all -> record() -> computed/abstained rows,"/exec projectcompute and projectcomputeall, through compute_project",none: there is no fallback path out of the canonical route,v5_structure,PASS
