record_type,n_trees,seed,spearman,top_rank_agreement,seed_count,mean,median,min,max,sd,q05,q25,q75,q95,production_self_stability,sklearn_self_stability,note
PREDECLARATION,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,"fixture ph1_rank_agreement_fixture.json (frozen in OG-SYNTH-0.5, unmodified); seeds 20250815 + 1000k for k=0..29, all used and none selected; tree counts [100, 400, 1000]; statistics fixed before the campaign was run. scikit-learn 1.9.0, dev-only."
PER_SEED,100,20250815,0.987531,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20251815,0.983606,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20252815,0.989016,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20253815,0.989081,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20254815,0.984680,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20255815,0.986863,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20256815,0.989726,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20257815,0.977038,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20258815,0.986801,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20259815,0.987564,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20260815,0.982076,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20261815,0.988651,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20262815,0.982335,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20263815,0.986829,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20264815,0.986442,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20265815,0.986816,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20266815,0.984590,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20267815,0.985965,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20268815,0.987335,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20269815,0.984184,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20270815,0.992606,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20271815,0.982585,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20272815,0.985541,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20273815,0.985111,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20274815,0.988768,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20275815,0.984939,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20276815,0.990559,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20277815,0.984485,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20278815,0.986481,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,100,20279815,0.983494,NO,-,-,-,-,-,-,-,-,-,-,-,-,
SUMMARY,100,-,-,9/30,30,0.986057,0.986461,0.977038,0.992606,0.002975,0.982193,0.984511,0.987556,0.990184,0.986049,0.987217,DESCRIPTIVE cross-implementation comparison. NOT a fidelity requirement and NOT a production threshold. The within-implementation stability columns are each implementation against ITSELF under different seeds: that is the Monte Carlo variation the cross-implementation figure necessarily contains.
PER_SEED,400,20250815,0.995540,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20251815,0.995560,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20252815,0.995408,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20253815,0.996481,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20254815,0.995316,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20255815,0.994863,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20256815,0.995221,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20257815,0.994230,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20258815,0.995840,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20259815,0.995733,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20260815,0.995410,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20261815,0.996951,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20262815,0.995114,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20263815,0.995216,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20264815,0.994901,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20265815,0.995608,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20266815,0.995525,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20267815,0.995068,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20268815,0.995474,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20269815,0.996368,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20270815,0.997408,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20271815,0.994345,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,400,20272815,0.996666,YES,-,-,-,-,-,-,-,-,-,-,-,-,
