record_type,item,production,independent_oracle,difference,basis,result
C_FUNCTION,c(0),0.000000000000,0.000000000000,0.000000000000,"c(n) = 2H(n-1) - 2(n-1)/n recomputed from the definition; the repository's declared approximation uses the paper's own ln + Euler estimate of H, and the exact harmonic sum is shown beside it so the RECORDED deviation is measured rather than assumed",PASS
C_FUNCTION,c(1),0.000000000000,0.000000000000,0.000000000000,"c(n) = 2H(n-1) - 2(n-1)/n recomputed from the definition; the repository's declared approximation uses the paper's own ln + Euler estimate of H, and the exact harmonic sum is shown beside it so the RECORDED deviation is measured rather than assumed",PASS
C_FUNCTION,c(2),1.000000000000,1.000000000000,0.000000000000,"c(n) = 2H(n-1) - 2(n-1)/n recomputed from the definition; the repository's declared approximation uses the paper's own ln + Euler estimate of H, and the exact harmonic sum is shown beside it so the RECORDED deviation is measured rather than assumed",PASS
C_FUNCTION,c(10),3.748880484476,3.857936507937,0.109056023461,"c(n) = 2H(n-1) - 2(n-1)/n recomputed from the definition; the repository's declared approximation uses the paper's own ln + Euler estimate of H, and the exact harmonic sum is shown beside it so the RECORDED deviation is measured rather than assumed",PASS
C_FUNCTION,c(50),6.978071926024,6.998410676659,0.020338750635,"c(n) = 2H(n-1) - 2(n-1)/n recomputed from the definition; the repository's declared approximation uses the paper's own ln + Euler estimate of H, and the exact harmonic sum is shown beside it so the RECORDED deviation is measured rather than assumed",PASS
C_FUNCTION,c(256),10.244770920120,10.248689925635,0.003919005515,"c(n) = 2H(n-1) - 2(n-1)/n recomputed from the definition; the repository's declared approximation uses the paper's own ln + Euler estimate of H, and the exact harmonic sum is shown beside it so the RECORDED deviation is measured rather than assumed",PASS
C_FUNCTION,c(1000),12.969940887100,12.970941721101,0.001000834001,"c(n) = 2H(n-1) - 2(n-1)/n recomputed from the definition; the repository's declared approximation uses the paper's own ln + Euler estimate of H, and the exact harmonic sum is shown beside it so the RECORDED deviation is measured rather than assumed",PASS
ORACLE_A,shallow anomaly outranks deep isolation,path 1 -> score 0.831192014806,path 6 -> score 0.329767744643,+0.501424270163,a point isolated at a shorter path must receive a HIGHER anomaly score,PASS
ORACLE_B,identical adjusted path lengths give equal scores,point [0.1] -> 0.574254076732,point [0.2] -> 0.574254076732,0.000e+00,two points whose adjusted path length is identical in every frozen tree must receive EQUAL scores,PASS
ORACLE_C,ensemble averaging over hand-specified path lengths,"A paths [1,2,2] mean 1.666666666667 score 0.734799644007","B paths [3,3,3] mean 3.000000000000 score 0.574254076732",+0.160545567276,"E[h(x)] is the arithmetic mean over the ensemble; A's mean is 5/3 and B's is 3, so with c(10) the normalized score puts A above B and POINT A IS THE MORE ANOMALOUS",PASS
ORACLE_D,"terminal-node c(n) adjustment is applied, not raw depth",leaf size 7 at depth 2 -> h = 5.023664553973,leaf size 1 at depth 2 -> h = 2.000000000000,c(7) = 3.023664553973,"h(x) = depth + c(size); a terminal node holding seven samples adds c(7) while a single-sample node adds c(1) = 0, so raw depth alone cannot reproduce both",PASS
FIXED_FOREST_SCORE,ANOM-01,0.826594294373801,0.826594294373801,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-01,0.369017376939919,0.369017376939919,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-02,0.420767914403536,0.420767914403536,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-03,0.402833676934182,0.402833676934182,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-04,0.448905738509672,0.448905738509672,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-05,0.470123777206170,0.470123777206170,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-06,0.504751957444074,0.504751957444074,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-07,0.407105229946393,0.407105229946393,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-08,0.404283135647779,0.404283135647779,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_SCORE,IN-09,0.436920138903087,0.436920138903087,0.000e+00,"the production scorer and the independent frozen-forest scorer, on the SAME frozen trees",PASS
FIXED_FOREST_PATHS,"every tree, every point",100 trees x 10 points,-,0.000e+00,"the per-tree path lengths agree too, so the score agreement above is not two different errors cancelling in the mean",PASS
FIXED_FOREST_C,c(psi) recomputed independently,production 3.748880484475505,oracle 3.748880484475505,0.000e+00,the normalisation constant the two implementations divide by is the same one,PASS
FIXED_FOREST_STRUCTURE,recorded per tree,"selected feature, split value, left/right children, leaf sample size",psi=10 trees=100 height_limit=4 seed=20250815,EDGES_TRAVERSED_FROM_ROOT_ROOT_IS_DEPTH_ZERO | PLUS_C_OF_TERMINAL_SAMPLE_SIZE,"the frozen forest is represented independently of the production scoring implementation, and the expected scores are computed FROM THAT REPRESENTATION and never by calling the production scorer",PASS
FIXED_FOREST_TOLERANCE,predeclared numerical tolerance,1e-12,worst observed 0.000e+00,-,justified by floating-point association only: both implementations perform the same double-precision operations on the same frozen structure,PASS
