role,file_path,sha256,git_object,package_or_version_owner,generated_or_source,predecessor,reproducibility_status
simulation,server/app/simulation/models.py,5489439bd0e910e93cf220b0cdec2f24e0eeea12a675bb2e4ca8deadcbc48eb2,dbb8e00f270e8fd6a3da54decfad7bae5b8e68af,sim-2026.08-v24,generated=no,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
scientific registry,p0-baseline/module_renumbering_map.csv,6222c1b1cc187d8f7704a74174176f36882dc4dd309a0b301a42fc097dae843e,c4fdac05ea080bd6f1b8648950524fbf495eb65e,registry naming authority,generated=no,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
taxonomy authority,server/tools/taxonomy_authority.json,78bbfefcee4e06a3522b20189afe54ae7a2a27c757e7d4a32dd835e4961203f5,90056b65e02cef1e36d27e91035443271a182bb8,taxonomy authority,generated=no,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
client taxonomy (mirror),assets/js/taxonomy.js,0df3f6926c13b621afb8689c2a65332f260f44d32ff921d65db3c73335543b13,a2d827c6e51a28d5f2c451c84daac1651ea0cc8d,og-participant-2026.08-v12,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
client categories (mirror),assets/js/categories.js,a7089d454b6f8176de13df3461aded39c0c4a9dd847d0674ad01f60a10f6fa83,2359da4f78f1b1f89af0af10e334ad9163ee2972,og-participant-2026.08-v12,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
defensibility evidence,assets/js/ds_defensibility_evidence.js,32d2a29769318fe9883bdd1c6c2b85a0252b1130cd1e04d462f520b4b9e2945c,101fd5666f1707887b07defe7871367c0f3376fb,og-participant-2026.08-v12,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
canonical method specification,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,328b50133f1d2a8d710d3cca787c24c22e2cdad0b09fe92ae2c7b7a55b8d299e,05e1061f5c5723bbf94085694d4085925c104552,owner supervisory contract,generated=no,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
parameter/calibration registry,server/app/simulation/parameters.py,25b66a45fb59183bee56a94b88575692c67a281939505af6120b802bcfcde804,666eb10e53450f48b7adf09bd1d514d81dcc90d2,sim-2026.08-v24,generated=no,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
participant protocol,assets/js/decision-ui.js,ae7b057c185fadaf4b351d8961fbf0741a2c202feca6f5fea1cdb59a6be1a099,581691129ae54701c594205797aee4f10b138cd5,og-participant-2026.08-v12,generated=no,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
participant questionnaire (intake),assets/questionnaires/intake.json,400195fb47d8f8d68ab4defda6a1aff7ea6abb714b25d1f9a4040d2b216078b6,d5a93305c475357fb70f584a14ea1ee3ffbf1602,og-participant-2026.08-v12,generated=no,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
participant questionnaire (debrief),assets/questionnaires/debrief.json,8064c60b004706c37dfb88ae6de1f55f56e97014979940baf1645a257ee5b3d8,bad1754659a6e5b53f6662efa51734ee628730eb,og-participant-2026.08-v12,generated=no,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
participant package record,code_audit/run36_participant_package_v12_checksums.sha256,f8dbe00c2a36e142826a33a0b253a881ee584408b3812bf3f9ff677f974e5852,5eb19f850dd8ac7b5c0532b927904d9e44cbfc96,og-participant-2026.08-v12,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
production tree manifest,code_audit/run36_production_tree.sha256,d73a4ee3fba76a79ab64489cf9045becdec37aa591ba1a3d1d440142a2eae058,d04765f57190ba0035a0f5d0e15cffe109bec063,sim-2026.08-v24,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
audit/qualification manifest,code_audit/run36_instrument_qualification.csv,12de3f7bc2228d404eea08e45511e68bd5a328e8b3098f5fe7c7431c19101cb6,5675787c5937eb9e208eb1000ab0ec71fa8ef112,run36,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
100-target re-audit,code_audit/run36_100_target_scientific_reaudit.csv,aa478fd821aabe9fa0297872863e06a596465b5e15bacfed800851fc2e6ab64e,957a9f0800d59ffe3160b4516e8e4485986d61dc,run36,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
fault campaign result,code_audit/run36_fault_injection_results.csv,405e102860c22efee9314f235769c1861c5302063da646a8818eae69e012ddee,35074188dab65ac2ca7b0efd185c57c174ec61e6,run36,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
browser qualification,code_audit/run36_authenticated_browser_qualification.csv,e7bce7a827840c840d5565aba82caf59954d0080abb8650b308ab9d6788d4204,d623c7b85e4ce8a83a69b4be6fb3145cc0f1822c,run36,generated=yes,,"REPRODUCIBLE - tracked, hashed and pinned by git object"
synthetic package (current),research_fixtures/synthetic/OG-SYNTH-0.6,directory,-,OG-SYNTH-0.6,generated=no,OG-SYNTH-0.5,REPRODUCIBLE - sealed; retained unchanged by Run 36
synthetic package (historical),research_fixtures/synthetic/OG-SYNTH-0.1,directory,-,OG-SYNTH-0.1,generated=no,-,HISTORICALLY INCOMPLETE - Run 31 proved 519 manifest entries against 504 recovered: 15 unrecoverable rows over 5 unique paths. THIS IS NOT CLAIMED COMPLETE.
