row_type,module_id,execution_state,populated_result,abstained,disabled,archived,voting,note,result
TARGET,A1.1,ABSTAINS,NO,YES,YES,NO,NO,NONE,PASS
TARGET,A1.10,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A1.11,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A1.2,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A1.3,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A1.4,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A1.5,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A1.6,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A1.7,COMPUTES,YES,NO,NO,NO,YES,NONE,PASS
TARGET,A1.8,COMPUTES,YES,NO,NO,NO,YES,NONE,PASS
TARGET,A1.9,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.1,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.10,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.11,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.2,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.3,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.4,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.5,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.6,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.7,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.8,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A2.9,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A3.1,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A3.2,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A3.3,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A3.5,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A3.6,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A3.7,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A3.8,ABSTAINS,NO,YES,YES,NO,NO,NONE,PASS
TARGET,A3.9,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.1,SUPPLIED_NOT_COMPUTED,NO,NO,NO,NO,NO,NONE,PASS
TARGET,A4.10,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.2,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.3,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.4,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.5,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.6,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.7,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.8,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A4.9,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A5.1,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A5.2,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A5.3,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A5.4,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A5.5,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A5.6,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A5.7,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A5.8,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,A6.1,COMPUTES,NO,NO,NO,NO,NO,NONE,PASS
TARGET,A6.2,COMPUTES,YES,NO,NO,NO,NO,NONE,PASS
TARGET,A6.3,COMPUTES,NO,NO,NO,NO,NO,NONE,PASS
TARGET,A6.4,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,B1.1,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,B1.2,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
TARGET,B1.3,ABSTAINS,NO,YES,NO,NO,NO,NONE,PASS
