file,type,count,distinct_retired_ids,retired_ids,lines_also_naming_an_in_service_module
code_audit/run13_failures_and_anomalies.csv,per-module audit rows (committed artifact),514,14,A2.10 A2.11 A2.4 A2.5 A3.4 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19,46
T6_HANDOFF.md,documentation / report prose,289,33,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.14 B2.15 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,46
REPORT_2026-08-14_run27-98-module-remediation-matrix.md,documentation / report prose,264,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,10
code_audit/run42_baseline_state_chrono.json,per-module audit rows (committed artifact),244,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run42_baseline_state_outoforder.json,per-module audit rows (committed artifact),244,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/signal_flow_authoritative_edges.csv,per-module audit rows (committed artifact),208,33,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7,0
REPORT_2026-08-16_run30-cat6-7-canonical-remediation-v15.md,documentation / report prose,152,21,A1.1 A3.4 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9,2
server/tools/test_run14_disabled_method_functional.py,test suite,149,8,A3.8 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6,0
MODULE_RETIREMENT_DECISIONS.md,documentation / report prose,114,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,21
code_audit/run36_parsimony_reconciliation.csv,per-module audit rows (committed artifact),95,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,21
server/app/simulation/canonical_v8.py,simulation source (formula/registry/canonical),89,5,D1.1 D1.2 D1.3 D1.4 D1.5,0
server/tools/test_run15_disabled_root_cause.py,test suite,86,8,A3.8 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6,0
code_audit/run32_fault_injection_results.csv,per-module audit rows (committed artifact),80,22,A3.8 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.3 B2.4 B2.5 B2.6 B2.8 B4.1 B4.2 B4.5 B4.6 B4.7,2
server/tools/test_run7_fix_now_defects.py,test suite,79,33,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7,11
server/tools/test_run19_category_7.py,test suite,71,18,B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9,0
server/tools/test_run35_validation_governance.py,test suite,68,15,A1.1 A3.4 A3.8 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6 D1.1 D1.2 D1.3 D1.4 D1.5,1
REPORT_2026-08-12_run15-cusum-isolationforest-disabled-root-cause.md,documentation / report prose,67,11,A3.8 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6 D1.1 D1.3 D1.5,0
server/tools/test_run6_known_answer.py,test suite,67,28,A1.1 A2.4 A2.6 A3.4 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.2 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,7
server/app/simulation/VALIDATION.md,simulation source (formula/registry/canonical),66,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,5
server/app/simulation/canonical_v5.py,simulation source (formula/registry/canonical),62,19,B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9,2
code_audit/run15_isolation_forest_validation.csv,per-module audit rows (committed artifact),61,2,D1.1 D1.5,0
REPORT_2026-08-19_run36-final-scientific-reaudit-and-instrument-qualification.md,documentation / report prose,58,17,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A5.3 B2.19 B2.9 B4.1 B4.6 B4.7 D1.1 D1.2 D1.4 D1.5,7
server/tools/test_run20_cycle9_arch5_siblings.py,test suite,58,9,B2.1 B2.2 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9,0
code_audit/run8_expectation_mutation_proof.csv,per-module audit rows (committed artifact),57,5,A1.1 A2.10 A2.11 A2.5 B2.19,1
REPORT_2026-08-14_run28-closure.md,documentation / report prose,55,9,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 B2.9,3
server/tools/test_run8_retest_classify_27.py,test suite,55,7,A1.1 A2.10 A2.11 A2.5 B2.19 B4.7 D1.1,6
server/tools/build_run33_artifacts.py,audit-artifact generator / tool,54,5,D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run32_suite_reconciliation.csv,per-module audit rows (committed artifact),52,7,A1.1 B2.19 B4.1 B4.2 B4.5 B4.6 B4.7,5
code_audit/run32_pre_change_qualifier_measurement.json,per-module audit rows (committed artifact),51,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
server/tools/test_run30_cat7_operational_route.py,test suite,51,20,A3.4 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9,1
code_audit/run13_101_module_evidence.csv,per-module audit rows (committed artifact),48,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run35_parsimony_reconciliation.csv,per-module audit rows (committed artifact),47,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,16
server/app/simulation/models_cat7.py,simulation source (formula/registry/canonical),46,19,B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9,1
code_audit/run27_98_module_remediation_matrix.csv,per-module audit rows (committed artifact),45,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,2
code_audit/run34_parameter_class_count_closure.csv,per-module audit rows (committed artifact),45,5,D1.1 D1.2 D1.3 D1.4 D1.5,0
