corpus,project,period,row_kind,id,status,value
carry_forward,PRJ-C45-CARRY,1,abstained,A1.10,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting a governed reference population of comparable projects with the cost performance they achieved, and the weight to place on this project's own reading. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A1.11,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting two separately prepared forecasts of the cost at completion, one from the project management team and one prepared independently of it. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A1.2,ABSTAINED,"{""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Insufficient data: upload required documents""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A1.3,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting a stated prior for the cost at completion, with its source, and a stated observation model with the uncertainty of the observation. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A1.4,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting a state space model for the schedule index: a starting estimate, its uncertainty, the process and measurement variances, and the readings taken. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A1.5,ABSTAINED,"{""abstention_reason_code"": ""insufficient_history"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""The cost performance history is too short for a time series model to be identified from it, so no forecast is reported and no shorter substitute is used.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A1.6,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting a time phased baseline: the cumulative value of work planned to be complete at the end of each period. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A1.9,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting an approved time phased expenditure baseline: the amount planned to be spent by the end of each period. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A2.1,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting the project's activity network: the activities, the logic between them, and a duration for each. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A2.2,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting a line of balance: locations in sequence, the crews working them, and a production rate and start for each line of work. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A2.3,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting a critical chain with its activities and a sized project buffer. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
carry_forward,PRJ-C45-CARRY,1,abstained,A2.7,ABSTAINED,"{""abstention_reason_code"": ""canonical_structure_absent"", ""activation_state"": ""ADVISORY_ONLY"", ""reason"": ""Awaiting a milestone forecast history: each milestone's committed date and the date it was forecast for in each reporting period since. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place.""}"
