corpus,period,field,value,src_doc_type,src_field,src_asof
BASE,1,bac,5874620,contract_value,,2026-03-01
BASE,1,ev,261684,pay_application,,2026-03-31
BASE,1,ac,214483,pay_application,,2026-03-31
BASE,1,pv,271400,time_phased_schedule,,2026-03-31
BASE,1,actualPctComplete,4.54,pay_application,,2026-03-31
BASE,1,plannedPctComplete,4.62,time_phased_schedule,,2026-03-31
BASE,1,cpi,1.22,,,
BASE,1,spi,0.964,,,
BASE,1,docDate,"""2026-03-31""",pay_application,,2026-03-31
BASE,2,bac,5874620,contract_value,,2026-03-01
BASE,2,ev,523368,pay_application,,2026-04-30
BASE,2,ac,428965,pay_application,,2026-04-30
BASE,2,pv,542800,time_phased_schedule,,2026-04-30
BASE,2,actualPctComplete,9.08,pay_application,,2026-04-30
BASE,2,plannedPctComplete,9.24,time_phased_schedule,,2026-04-30
BASE,2,cpi,1.22,,,
BASE,2,spi,0.964,,,
BASE,2,docDate,"""2026-04-30""",pay_application,,2026-04-30
BASE,3,bac,5874620,contract_value,,2026-03-01
BASE,3,ev,785051,pay_application,,2026-05-31
BASE,3,ac,643448,pay_application,,2026-05-31
BASE,3,pv,814200,time_phased_schedule,,2026-05-31
BASE,3,actualPctComplete,13.62,pay_application,,2026-05-31
BASE,3,plannedPctComplete,13.86,time_phased_schedule,,2026-05-31
BASE,3,cpi,1.22,,,
BASE,3,spi,0.964,,,
BASE,3,docDate,"""2026-05-31""",pay_application,,2026-05-31
BASE,4,bac,5874620,contract_value,,2026-03-01
BASE,4,ev,1046735,pay_application,,2026-06-30
BASE,4,ac,857930,pay_application,,2026-06-30
BASE,4,pv,1085600,time_phased_schedule,,2026-06-30
BASE,4,actualPctComplete,18.16,pay_application,,2026-06-30
BASE,4,plannedPctComplete,18.47,time_phased_schedule,,2026-06-30
BASE,4,cpi,1.22,,,
BASE,4,spi,0.964,,,
BASE,4,docDate,"""2026-06-30""",pay_application,,2026-06-30
FEE076,1,bac,5874620,contract_value,,2026-03-01
FEE076,1,ev,202633.88,pay_application,,2026-03-31
FEE076,1,ac,266707.75,pay_application,,2026-03-31
FEE076,1,pv,271407.44,time_phased_schedule,,2026-03-31
FEE076,1,actualPctComplete,4.54,pay_application,,2026-03-31
FEE076,1,plannedPctComplete,4.62,time_phased_schedule,,2026-03-31
FEE076,1,cpi,0.76,,,
FEE076,1,spi,0.747,,,
FEE076,1,docDate,"""2026-03-31""",pay_application,,2026-03-31
FEE076,2,bac,5874620,contract_value,,2026-03-01
FEE076,2,ev,405267.76,pay_application,,2026-04-30
FEE076,2,ac,533415.5,pay_application,,2026-04-30
FEE076,2,pv,542814.89,time_phased_schedule,,2026-04-30
FEE076,2,actualPctComplete,9.08,pay_application,,2026-04-30
FEE076,2,plannedPctComplete,9.24,time_phased_schedule,,2026-04-30
FEE076,2,cpi,0.76,,,
FEE076,2,spi,0.747,,,
FEE076,2,docDate,"""2026-04-30""",pay_application,,2026-04-30
FEE076,3,bac,5874620,contract_value,,2026-03-01
FEE076,3,ev,607901.63,pay_application,,2026-05-31
FEE076,3,ac,800123.24,pay_application,,2026-05-31
FEE076,3,pv,814222.33,time_phased_schedule,,2026-05-31
FEE076,3,actualPctComplete,13.62,pay_application,,2026-05-31
FEE076,3,plannedPctComplete,13.86,time_phased_schedule,,2026-05-31
FEE076,3,cpi,0.76,,,
FEE076,3,spi,0.747,,,
FEE076,3,docDate,"""2026-05-31""",pay_application,,2026-05-31
FEE076,4,bac,5874620,contract_value,,2026-03-01
FEE076,4,ev,810535.51,pay_application,,2026-06-30
FEE076,4,ac,1066830.99,pay_application,,2026-06-30
FEE076,4,pv,1085042.31,time_phased_schedule,,2026-06-30
FEE076,4,actualPctComplete,18.16,pay_application,,2026-06-30
FEE076,4,plannedPctComplete,18.47,time_phased_schedule,,2026-06-30
FEE076,4,cpi,0.76,,,
FEE076,4,spi,0.747,,,
FEE076,4,docDate,"""2026-06-30""",pay_application,,2026-06-30
FEE129,1,bac,5874620,contract_value,,2026-03-01
FEE129,1,ev,344413.05,pay_application,,2026-03-31
FEE129,1,ac,266707.75,pay_application,,2026-03-31
FEE129,1,pv,271407.44,time_phased_schedule,,2026-03-31
FEE129,1,actualPctComplete,4.54,pay_application,,2026-03-31
FEE129,1,plannedPctComplete,4.62,time_phased_schedule,,2026-03-31
FEE129,1,cpi,1.291,,,
FEE129,1,spi,1.269,,,
FEE129,1,docDate,"""2026-03-31""",pay_application,,2026-03-31
FEE129,2,bac,5874620,contract_value,,2026-03-01
FEE129,2,ev,688826.11,pay_application,,2026-04-30
FEE129,2,ac,533415.5,pay_application,,2026-04-30
FEE129,2,pv,542814.89,time_phased_schedule,,2026-04-30
FEE129,2,actualPctComplete,9.08,pay_application,,2026-04-30
FEE129,2,plannedPctComplete,9.24,time_phased_schedule,,2026-04-30
FEE129,2,cpi,1.291,,,
FEE129,2,spi,1.269,,,
FEE129,2,docDate,"""2026-04-30""",pay_application,,2026-04-30
FEE129,3,bac,5874620,contract_value,,2026-03-01
FEE129,3,ev,1033239.15,pay_application,,2026-05-31
FEE129,3,ac,800123.24,pay_application,,2026-05-31
FEE129,3,pv,814222.33,time_phased_schedule,,2026-05-31
FEE129,3,actualPctComplete,13.62,pay_application,,2026-05-31
FEE129,3,plannedPctComplete,13.86,time_phased_schedule,,2026-05-31
FEE129,3,cpi,1.291,,,
FEE129,3,spi,1.269,,,
FEE129,3,docDate,"""2026-05-31""",pay_application,,2026-05-31
FEE129,4,bac,5874620,contract_value,,2026-03-01
FEE129,4,ev,1377652.2,pay_application,,2026-06-30
FEE129,4,ac,1066830.99,pay_application,,2026-06-30
FEE129,4,pv,1085042.31,time_phased_schedule,,2026-06-30
FEE129,4,actualPctComplete,18.16,pay_application,,2026-06-30
FEE129,4,plannedPctComplete,18.47,time_phased_schedule,,2026-06-30
FEE129,4,cpi,1.291,,,
FEE129,4,spi,1.27,,,
FEE129,4,docDate,"""2026-06-30""",pay_application,,2026-06-30
FEEBOTH,1,bac,5874620,contract_value,,2026-03-01
FEEBOTH,1,ev,344430.22,pay_application,,2026-03-31
FEEBOTH,1,ac,282303.56,pay_application,,2026-03-31
FEEBOTH,1,pv,271407.44,time_phased_schedule,,2026-03-31
FEEBOTH,1,actualPctComplete,4.54,pay_application,,2026-03-31
FEEBOTH,1,plannedPctComplete,4.62,time_phased_schedule,,2026-03-31
FEEBOTH,1,cpi,1.22,,,
FEEBOTH,1,spi,1.269,,,
FEEBOTH,1,docDate,"""2026-03-31""",pay_application,,2026-03-31
FEEBOTH,2,bac,5874620,contract_value,,2026-03-01
FEEBOTH,2,ev,688860.44,pay_application,,2026-04-30
FEEBOTH,2,ac,564607.13,pay_application,,2026-04-30
FEEBOTH,2,pv,542814.89,time_phased_schedule,,2026-04-30
FEEBOTH,2,actualPctComplete,9.08,pay_application,,2026-04-30
FEEBOTH,2,plannedPctComplete,9.24,time_phased_schedule,,2026-04-30
FEEBOTH,2,cpi,1.22,,,
FEEBOTH,2,spi,1.269,,,
FEEBOTH,2,docDate,"""2026-04-30""",pay_application,,2026-04-30
FEEBOTH,3,bac,5874620,contract_value,,2026-03-01
FEEBOTH,3,ev,1033290.66,pay_application,,2026-05-31
FEEBOTH,3,ac,846910.69,pay_application,,2026-05-31
FEEBOTH,3,pv,814222.33,time_phased_schedule,,2026-05-31
FEEBOTH,3,actualPctComplete,13.62,pay_application,,2026-05-31
FEEBOTH,3,plannedPctComplete,13.86,time_phased_schedule,,2026-05-31
FEEBOTH,3,cpi,1.22,,,
FEEBOTH,3,spi,1.269,,,
FEEBOTH,3,docDate,"""2026-05-31""",pay_application,,2026-05-31
FEEBOTH,4,bac,5874620,contract_value,,2026-03-01
FEEBOTH,4,ev,1377720.89,pay_application,,2026-06-30
FEEBOTH,4,ac,1129214.25,pay_application,,2026-06-30
FEEBOTH,4,pv,1085042.31,time_phased_schedule,,2026-06-30
FEEBOTH,4,actualPctComplete,18.16,pay_application,,2026-06-30
FEEBOTH,4,plannedPctComplete,18.47,time_phased_schedule,,2026-06-30
FEEBOTH,4,cpi,1.22,,,
FEEBOTH,4,spi,1.27,,,
FEEBOTH,4,docDate,"""2026-06-30""",pay_application,,2026-06-30
MRONLY,1,bac,5874620,contract_value,,2026-03-01
MRONLY,1,ev,261684,monthly_report,,2026-03-31
MRONLY,1,ac,214483,monthly_report,,2026-03-31
MRONLY,1,pv,271400,monthly_report,,2026-03-31
MRONLY,1,actualPctComplete,4.54,monthly_report,,2026-03-31
MRONLY,1,plannedPctComplete,4.62,monthly_report,,2026-03-31
MRONLY,1,cpi,1.22,,,
MRONLY,1,spi,0.964,,,
MRONLY,1,docDate,"""2026-03-31""",monthly_report,,2026-03-31
MRONLY,2,bac,5874620,contract_value,,2026-03-01
MRONLY,2,ev,523368,monthly_report,,2026-04-30
MRONLY,2,ac,428965,monthly_report,,2026-04-30
MRONLY,2,pv,542800,monthly_report,,2026-04-30
MRONLY,2,actualPctComplete,9.08,monthly_report,,2026-04-30
MRONLY,2,plannedPctComplete,9.24,monthly_report,,2026-04-30
MRONLY,2,cpi,1.22,,,
MRONLY,2,spi,0.964,,,
MRONLY,2,docDate,"""2026-04-30""",monthly_report,,2026-04-30
MRONLY,3,bac,5874620,contract_value,,2026-03-01
MRONLY,3,ev,785051,monthly_report,,2026-05-31
MRONLY,3,ac,643448,monthly_report,,2026-05-31
MRONLY,3,pv,814200,monthly_report,,2026-05-31
MRONLY,3,actualPctComplete,13.62,monthly_report,,2026-05-31
MRONLY,3,plannedPctComplete,13.86,monthly_report,,2026-05-31
MRONLY,3,cpi,1.22,,,
MRONLY,3,spi,0.964,,,
MRONLY,3,docDate,"""2026-05-31""",monthly_report,,2026-05-31
MRONLY,4,bac,5874620,contract_value,,2026-03-01
MRONLY,4,ev,1046735,monthly_report,,2026-06-30
MRONLY,4,ac,857930,monthly_report,,2026-06-30
MRONLY,4,pv,824370,monthly_report,,2026-06-30
MRONLY,4,actualPctComplete,18.16,monthly_report,,2026-06-30
MRONLY,4,plannedPctComplete,18.47,monthly_report,,2026-06-30
MRONLY,4,cpi,1.22,,,
MRONLY,4,spi,1.27,,,
MRONLY,4,docDate,"""2026-06-30""",monthly_report,,2026-06-30
NOPV,1,bac,5874620,contract_value,,2026-03-01
NOPV,1,ev,261684,pay_application,,2026-03-31
NOPV,1,ac,214483,pay_application,,2026-03-31
NOPV,1,pv,null,,,
NOPV,1,actualPctComplete,4.54,pay_application,,2026-03-31
NOPV,1,plannedPctComplete,null,,,
NOPV,1,cpi,1.22,,,
NOPV,1,spi,null,,,
NOPV,1,docDate,"""2026-03-31""",pay_application,,2026-03-31
NOPV,2,bac,5874620,contract_value,,2026-03-01
NOPV,2,ev,523368,pay_application,,2026-04-30
NOPV,2,ac,428965,pay_application,,2026-04-30
NOPV,2,pv,null,,,
NOPV,2,actualPctComplete,9.08,pay_application,,2026-04-30
NOPV,2,plannedPctComplete,null,,,
NOPV,2,cpi,1.22,,,
NOPV,2,spi,null,,,
NOPV,2,docDate,"""2026-04-30""",pay_application,,2026-04-30
NOPV,3,bac,5874620,contract_value,,2026-03-01
NOPV,3,ev,785051,pay_application,,2026-05-31
NOPV,3,ac,643448,pay_application,,2026-05-31
NOPV,3,pv,null,,,
NOPV,3,actualPctComplete,13.62,pay_application,,2026-05-31
NOPV,3,plannedPctComplete,null,,,
NOPV,3,cpi,1.22,,,
NOPV,3,spi,null,,,
NOPV,3,docDate,"""2026-05-31""",pay_application,,2026-05-31
NOPV,4,bac,5874620,contract_value,,2026-03-01
NOPV,4,ev,1046735,pay_application,,2026-06-30
NOPV,4,ac,857930,pay_application,,2026-06-30
NOPV,4,pv,null,,,
NOPV,4,actualPctComplete,18.16,pay_application,,2026-06-30
NOPV,4,plannedPctComplete,null,,,
NOPV,4,cpi,1.22,,,
NOPV,4,spi,null,,,
NOPV,4,docDate,"""2026-06-30""",pay_application,,2026-06-30
P1ONLY,1,bac,5874620,contract_value,,2026-03-01
P1ONLY,1,ev,261684,pay_application,,2026-03-31
P1ONLY,1,ac,214483,pay_application,,2026-03-31
P1ONLY,1,pv,824370,time_phased_schedule,,2026-03-31
P1ONLY,1,actualPctComplete,4.54,pay_application,,2026-03-31
P1ONLY,1,plannedPctComplete,18.47,time_phased_schedule,,2026-03-31
P1ONLY,1,cpi,1.22,,,
P1ONLY,1,spi,0.317,,,
P1ONLY,1,docDate,"""2026-03-31""",pay_application,,2026-03-31
P1ONLY,2,bac,5874620,contract_value,,2026-03-01
P1ONLY,2,ev,523368,pay_application,,2026-04-30
P1ONLY,2,ac,428965,pay_application,,2026-04-30
P1ONLY,2,pv,null,,,
P1ONLY,2,actualPctComplete,9.08,pay_application,,2026-04-30
P1ONLY,2,plannedPctComplete,null,,,
P1ONLY,2,cpi,1.22,,,
P1ONLY,2,spi,null,,,
P1ONLY,2,docDate,"""2026-04-30""",pay_application,,2026-04-30
P1ONLY,3,bac,5874620,contract_value,,2026-03-01
P1ONLY,3,ev,785051,pay_application,,2026-05-31
P1ONLY,3,ac,643448,pay_application,,2026-05-31
P1ONLY,3,pv,null,,,
P1ONLY,3,actualPctComplete,13.62,pay_application,,2026-05-31
P1ONLY,3,plannedPctComplete,null,,,
P1ONLY,3,cpi,1.22,,,
P1ONLY,3,spi,null,,,
P1ONLY,3,docDate,"""2026-05-31""",pay_application,,2026-05-31
P1ONLY,4,bac,5874620,contract_value,,2026-03-01
P1ONLY,4,ev,1046735,pay_application,,2026-06-30
P1ONLY,4,ac,857930,pay_application,,2026-06-30
P1ONLY,4,pv,null,,,
P1ONLY,4,actualPctComplete,18.16,pay_application,,2026-06-30
P1ONLY,4,plannedPctComplete,null,,,
P1ONLY,4,cpi,1.22,,,
P1ONLY,4,spi,null,,,
P1ONLY,4,docDate,"""2026-06-30""",pay_application,,2026-06-30
PCTFB,1,bac,null,,,
PCTFB,1,ev,261684,pay_application,,2026-03-31
PCTFB,1,ac,214483,pay_application,,2026-03-31
PCTFB,1,pv,null,,,
PCTFB,1,actualPctComplete,4.54,pay_application,,2026-03-31
PCTFB,1,plannedPctComplete,4.62,time_phased_schedule,,2026-03-31
PCTFB,1,cpi,1.22,,,
PCTFB,1,spi,0.983,,,
PCTFB,1,docDate,"""2026-03-31""",pay_application,,2026-03-31
PCTFB,2,bac,null,,,
PCTFB,2,ev,523368,pay_application,,2026-04-30
PCTFB,2,ac,428965,pay_application,,2026-04-30
PCTFB,2,pv,null,,,
PCTFB,2,actualPctComplete,9.08,pay_application,,2026-04-30
PCTFB,2,plannedPctComplete,9.24,time_phased_schedule,,2026-04-30
PCTFB,2,cpi,1.22,,,
PCTFB,2,spi,0.983,,,
PCTFB,2,docDate,"""2026-04-30""",pay_application,,2026-04-30
PCTFB,3,bac,null,,,
PCTFB,3,ev,785051,pay_application,,2026-05-31
PCTFB,3,ac,643448,pay_application,,2026-05-31
PCTFB,3,pv,null,,,
PCTFB,3,actualPctComplete,13.62,pay_application,,2026-05-31
PCTFB,3,plannedPctComplete,13.86,time_phased_schedule,,2026-05-31
PCTFB,3,cpi,1.22,,,
PCTFB,3,spi,0.983,,,
PCTFB,3,docDate,"""2026-05-31""",pay_application,,2026-05-31
PCTFB,4,bac,null,,,
PCTFB,4,ev,1046735,pay_application,,2026-06-30
PCTFB,4,ac,857930,pay_application,,2026-06-30
PCTFB,4,pv,null,,,
PCTFB,4,actualPctComplete,18.16,pay_application,,2026-06-30
PCTFB,4,plannedPctComplete,18.47,time_phased_schedule,,2026-06-30
PCTFB,4,cpi,1.22,,,
PCTFB,4,spi,0.983,,,
PCTFB,4,docDate,"""2026-06-30""",pay_application,,2026-06-30
PVFEE,1,bac,5874620,contract_value,,2026-03-01
PVFEE,1,ev,266707.75,pay_application,,2026-03-31
PVFEE,1,ac,266707.75,pay_application,,2026-03-31
PVFEE,1,pv,206204.08,time_phased_schedule,,2026-03-31
PVFEE,1,actualPctComplete,4.54,pay_application,,2026-03-31
PVFEE,1,plannedPctComplete,4.62,time_phased_schedule,,2026-03-31
PVFEE,1,cpi,1.0,,,
PVFEE,1,spi,1.293,,,
PVFEE,1,docDate,"""2026-03-31""",pay_application,,2026-03-31
PVFEE,2,bac,5874620,contract_value,,2026-03-01
PVFEE,2,ev,533415.5,pay_application,,2026-04-30
PVFEE,2,ac,533415.5,pay_application,,2026-04-30
PVFEE,2,pv,412408.16,time_phased_schedule,,2026-04-30
PVFEE,2,actualPctComplete,9.08,pay_application,,2026-04-30
PVFEE,2,plannedPctComplete,9.24,time_phased_schedule,,2026-04-30
PVFEE,2,cpi,1.0,,,
PVFEE,2,spi,1.293,,,
PVFEE,2,docDate,"""2026-04-30""",pay_application,,2026-04-30
PVFEE,3,bac,5874620,contract_value,,2026-03-01
PVFEE,3,ev,800123.24,pay_application,,2026-05-31
PVFEE,3,ac,800123.24,pay_application,,2026-05-31
PVFEE,3,pv,618612.25,time_phased_schedule,,2026-05-31
PVFEE,3,actualPctComplete,13.62,pay_application,,2026-05-31
PVFEE,3,plannedPctComplete,13.86,time_phased_schedule,,2026-05-31
PVFEE,3,cpi,1.0,,,
PVFEE,3,spi,1.293,,,
PVFEE,3,docDate,"""2026-05-31""",pay_application,,2026-05-31
PVFEE,4,bac,5874620,contract_value,,2026-03-01
PVFEE,4,ev,1066830.99,pay_application,,2026-06-30
PVFEE,4,ac,1066830.99,pay_application,,2026-06-30
PVFEE,4,pv,824370.0,time_phased_schedule,,2026-06-30
PVFEE,4,actualPctComplete,18.16,pay_application,,2026-06-30
PVFEE,4,plannedPctComplete,18.47,time_phased_schedule,,2026-06-30
PVFEE,4,cpi,1.0,,,
PVFEE,4,spi,1.294,,,
PVFEE,4,docDate,"""2026-06-30""",pay_application,,2026-06-30
SU,1,bac,5874620,contract_value,,2026-03-01
SU,1,ev,261684,monthly_report,,2026-03-31
SU,1,ac,214483,monthly_report,,2026-03-31
SU,1,pv,271400,time_phased_schedule,,2026-03-31
SU,1,actualPctComplete,4.54,monthly_report,,2026-03-31
SU,1,plannedPctComplete,4.62,time_phased_schedule,,2026-03-31
SU,1,cpi,1.22,,,
SU,1,spi,0.964,,,
SU,1,docDate,"""2026-03-31""",monthly_report,,2026-03-31
SU,2,bac,5874620,contract_value,,2026-03-01
SU,2,ev,523368,monthly_report,,2026-04-30
SU,2,ac,428965,monthly_report,,2026-04-30
SU,2,pv,542800,time_phased_schedule,,2026-04-30
SU,2,actualPctComplete,9.08,monthly_report,,2026-04-30
SU,2,plannedPctComplete,9.24,time_phased_schedule,,2026-04-30
SU,2,cpi,1.22,,,
SU,2,spi,0.964,,,
SU,2,docDate,"""2026-04-30""",monthly_report,,2026-04-30
SU,3,bac,5874620,contract_value,,2026-03-01
SU,3,ev,785051,monthly_report,,2026-05-31
SU,3,ac,643448,monthly_report,,2026-05-31
SU,3,pv,814200,time_phased_schedule,,2026-05-31
SU,3,actualPctComplete,13.62,monthly_report,,2026-05-31
SU,3,plannedPctComplete,13.86,time_phased_schedule,,2026-05-31
SU,3,cpi,1.22,,,
SU,3,spi,0.964,,,
SU,3,docDate,"""2026-05-31""",monthly_report,,2026-05-31
SU,4,bac,5874620,contract_value,,2026-03-01
SU,4,ev,1046735,monthly_report,,2026-06-30
SU,4,ac,857930,monthly_report,,2026-06-30
SU,4,pv,824370,schedule_update,,2026-06-30
SU,4,actualPctComplete,18.16,monthly_report,,2026-06-30
SU,4,plannedPctComplete,18.47,schedule_update,,2026-06-30
SU,4,cpi,1.22,,,
SU,4,spi,1.27,,,
SU,4,docDate,"""2026-06-30""",schedule_update,,2026-06-30
TIER12,1,bac,5874620,monthly_report,,2026-03-31
TIER12,1,ev,261684,monthly_report,,2026-03-31
TIER12,1,ac,214483,monthly_report,,2026-03-31
TIER12,1,pv,271400,time_phased_schedule,,2026-03-31
TIER12,1,actualPctComplete,4.54,monthly_report,,2026-03-31
TIER12,1,plannedPctComplete,4.62,time_phased_schedule,,2026-03-31
TIER12,1,cpi,1.22,,,
TIER12,1,spi,0.964,,,
TIER12,1,docDate,"""2026-03-31""",monthly_report,,2026-03-31
TIER12,2,bac,5874620,monthly_report,,2026-04-30
TIER12,2,ev,523368,monthly_report,,2026-04-30
TIER12,2,ac,428965,monthly_report,,2026-04-30
TIER12,2,pv,542800,time_phased_schedule,,2026-04-30
TIER12,2,actualPctComplete,9.08,monthly_report,,2026-04-30
TIER12,2,plannedPctComplete,9.24,time_phased_schedule,,2026-04-30
TIER12,2,cpi,1.22,,,
TIER12,2,spi,0.964,,,
TIER12,2,docDate,"""2026-04-30""",monthly_report,,2026-04-30
TIER12,3,bac,5874620,monthly_report,,2026-05-31
TIER12,3,ev,785051,monthly_report,,2026-05-31
TIER12,3,ac,643448,monthly_report,,2026-05-31
TIER12,3,pv,814200,time_phased_schedule,,2026-05-31
TIER12,3,actualPctComplete,13.62,monthly_report,,2026-05-31
TIER12,3,plannedPctComplete,13.86,time_phased_schedule,,2026-05-31
TIER12,3,cpi,1.22,,,
TIER12,3,spi,0.964,,,
TIER12,3,docDate,"""2026-05-31""",monthly_report,,2026-05-31
TIER12,4,bac,5874620,monthly_report,,2026-06-30
TIER12,4,ev,1046735,monthly_report,,2026-06-30
TIER12,4,ac,857930,monthly_report,,2026-06-30
TIER12,4,pv,1085600,time_phased_schedule,,2026-06-30
TIER12,4,actualPctComplete,18.16,monthly_report,,2026-06-30
TIER12,4,plannedPctComplete,18.47,time_phased_schedule,,2026-06-30
TIER12,4,cpi,1.22,,,
TIER12,4,spi,0.964,,,
TIER12,4,docDate,"""2026-06-30""",monthly_report,,2026-06-30
