archive,path_within_archive,bytes,data_rows,columns,sha256
package_A,CHECKSUMS.sha256,11434,,,5841ab16e8b3cd6c2eccbd0a2ef6f778c3f79c1658aae962b98a8217e494db85
package_A,README.md,1205,,,91c1a44607a0e27c6dbfe78d4a5c7cbb30cafb9cc52d9e7806d229f310a9d4c1
package_A,VALIDATION_SUMMARY.md,15398,,,bb263dda6449e4fbca2ea2a10d34e43ee31106d09dba4d74779d32e0ecc039ee
package_A,data_dictionary.csv,176439,1046,6,6247e783edb483c15d29c6937f282bf187d17f75bb351b8641c09fd29dd25f18
package_A,module_asset_map_package_A.csv,5105,15,14,7369397063bee32cf126bcefafc0e38e421b738619ee92a983dde7d84ac1f45f
package_A,package_summary.xlsx,22499,,,9f59327bc99c614b091710037a24db040c048218dec7282e25e8f1e9da043673
package_A,package_A_project_structures/README.md,504,,,f8b2380671767860e6f000a08089cbf26503727a7d1fe6d702f3cf092c476f57
package_A,package_A_project_structures/abm_ground_truth.csv,1394,6,13,e41b9d828509296a02edeadee39cba2d8ae7b755b002619d2eee7c339328ad09
package_A,package_A_project_structures/activity_weather_impacts.csv,16428,72,14,cf428715738c67557e9f36562ab96ae72a279e9eed543a70d6e10d714aa13b69
package_A,package_A_project_structures/agent_state_history.csv,134031,576,16,5b700514145c8e6f40b250a8704f5b056b03e7e57810498dcfcf17a7cf45c9cf
package_A,package_A_project_structures/agents.csv,11934,48,15,3e1e7f9feaf9fcedf2c7c48b110765243fbd71b05681f59df0d780d67853a78d
package_A,package_A_project_structures/ccpm_buffers.csv,28230,108,16,00111c21d1c78a7c1b655c97c0711e33fd1b04dbf358e8e568b376a4b0bac9d6
package_A,package_A_project_structures/ccpm_ground_truth.csv,7779,36,13,38079d5d062184211ca7b271e6d5821105ddf6e17feefdd12800481db4abd9be
package_A,package_A_project_structures/claims.csv,9366,36,16,ced826d76fcf1e5b2493b4a060a4b131666c2b06ba5e91d755639923ff4ecfbc
package_A,package_A_project_structures/cost_correlations.csv,124316,600,11,3993264d50e97a688baef0fc6da05215fe680524aaebdd2ad8af9ddd3fea9f69
package_A,package_A_project_structures/cost_elements.csv,14523,60,14,8369bb07e26c3eb79a5bdf2743c9b9d1e4d4ffdf9abc559ca332bf3e53f63fb7
package_A,package_A_project_structures/cost_risk_events.csv,8716,36,14,105a47ee8dffc05e38d2b204d5eda063988258b33bd717342ec1f0e9cd825316
package_A,package_A_project_structures/cost_risk_ground_truth.csv,1591,6,13,a732037abc1703cc4ad8bbd37581540cd10a6204fd3490150befd1a9decd28e2
package_A,package_A_project_structures/des_entities.csv,25767,120,11,776cd657ee892a65bbe2bdc0d6b5e7e2d10555c6a70534e8551f8d1e114e63cd
package_A,package_A_project_structures/des_events.csv,154634,480,19,a73c44a871e1cfc6039726b2c99bf1f9af6ef21e4d0bdff37bb039ceddda1bf6
package_A,package_A_project_structures/des_ground_truth.csv,2053,6,13,470f0dc156736a0be29b371c33f27eae48374edc37349f247545202d3bb7cd90
package_A,package_A_project_structures/dispute_events.csv,23946,108,13,ac65e0579dc50383e8ff3021af668e74b2343605c06f6de28d55a7579e695723
package_A,package_A_project_structures/dispute_ground_truth.csv,7547,36,12,12a168761eb3c07d3271869a50c4d24f261568342bad2f7a8dab65e943fc73d0
package_A,package_A_project_structures/dsm_edges.csv,12852,54,13,9bc32bb7f18b0ea521cf0867cc87be76553ca384e88fcec4f8e2ba15b5a6e5be
package_A,package_A_project_structures/dsm_ground_truth.csv,15815,36,14,6d84ff26b00238acf592302832a4e4c82d6cc3d6d2c7a0f8101b48868389fd2e
package_A,package_A_project_structures/dsm_nodes.csv,10146,48,11,8d0bb861c647c444bd13531e167059a42ab11f6790b7ae990d85dc9542ffc995
package_A,package_A_project_structures/lob_ground_truth.csv,12695,54,15,f930db0af8e8bd1b418157e1c753bad07170cad3a4445772983020da8b1a6a99
package_A,package_A_project_structures/lob_work_packages.csv,111726,432,20,6ed945c2e8fbbd9692648c95fc9286f7789ba613e3c8a1b2bf5d0db087a4fb05
package_A,package_A_project_structures/projects.csv,2002,6,18,d6561cbd33cd3a260a046d6ae0affbd690a37c55f0667d2dce29f03eb5ae89cd
package_A,package_A_project_structures/queue_events.csv,64811,240,17,1b7bfb4956eace16dea8074ec12f72edf8d213afb83a7390acae9db71f5a6957
package_A,package_A_project_structures/queue_ground_truth.csv,1701,6,16,9b6ef69f1010eca6c67dd8ff15c61bdcef6edbe0aaf91dd1368cb4125f57c7f8
package_A,package_A_project_structures/reporting_periods.csv,8000,36,14,18a3f9088e6c578fad866f145c4ec537910de92aa236dbb224533b19d989e389
package_A,package_A_project_structures/schedule_activities.csv,20179,72,20,ebbf4d0c8fd4d787cb6069e5984bfd358724195fb6f1b287dbdc0fa3cc72ef9e
package_A,package_A_project_structures/schedule_dependencies.csv,16035,78,12,1d584963001f334694efd329be6d0da65b5f34d590407b66672add58ad1760a6
package_A,package_A_project_structures/schedule_ground_truth.csv,13952,36,21,d21687c39a90176b7f062ee7dc9e6040d1b363efc2dceaa952beca37531c231c
package_A,package_A_project_structures/schedule_status.csv,112712,432,19,0e552b880b9816b3afa3539ae286f9a2c7745675493c21c43fe58f9da1f1e9c5
package_A,package_A_project_structures/specification_conflicts.csv,17469,72,16,876131539e2b90696c573d4ae393c1d75492f9ba7fa40362092e69c86b5c289d
package_A,package_A_project_structures/specification_exposure.csv,1331,6,11,e72f4d69ecdf4c5940829a668b0da9c512579ba4a3c5d79c11389db959531415
package_A,package_A_project_structures/specification_ground_truth.csv,1322,6,11,b7c4c0c6340e63b3faf0d4a86c0057d2f7066c97405fb679fee2438109b281fa
package_A,package_A_project_structures/system_dynamics_parameters.csv,4044,18,11,eec8ab1014adcf0c8c829f2eea4fc7d891b1cda1d9300dc3848a81f6d10e8026
package_A,package_A_project_structures/system_dynamics_timeseries.csv,16973,72,15,7bf7f064daf0db99aeb30045c4ee232eef09cf42f2157ccbd7485fd7f68153b6
package_A,package_A_project_structures/weather_events.csv,16083,72,14,72508d8029099c4ee422b921fedc296dc7ac4851c47cbfc480698cd9116a3cb6
package_B,CHECKSUMS.sha256,11434,,,5841ab16e8b3cd6c2eccbd0a2ef6f778c3f79c1658aae962b98a8217e494db85
package_B,README.md,1205,,,91c1a44607a0e27c6dbfe78d4a5c7cbb30cafb9cc52d9e7806d229f310a9d4c1
package_B,VALIDATION_SUMMARY.md,15398,,,bb263dda6449e4fbca2ea2a10d34e43ee31106d09dba4d74779d32e0ecc039ee
package_B,data_dictionary.csv,176439,1046,6,6247e783edb483c15d29c6937f282bf187d17f75bb351b8641c09fd29dd25f18
package_B,module_asset_map_package_B.csv,6277,19,14,5e7bdc648b5d058211b6bfb93b4c08bbef74fb7d74a5e392c2789f4716ca6ff0
package_B,package_summary.xlsx,22499,,,9f59327bc99c614b091710037a24db040c048218dec7282e25e8f1e9da043673
