relative_path,package,bytes,sha256,rows,columns,executable_bit
AUDIT_RESOLUTION_v0.2.md,ROOT,1286,e39ace266750764ae71f86ff968d049af70c5137f9f85790bf77e67c1feb8f6c,,,no
BUILD_PROVENANCE.json,ROOT,557,871d5379a4e554e69ac1172b3f0010a1cdc2b30f908405c1890455677855251c,,,no
CHECKSUMS.sha256,ROOT,14536,b444f32a2da0d3d746cd5fc61032e9d36c1aa379339b1d14345c024ea0395d8a,,,no
CLAUDE_CODE_HANDOFF_v0.2.md,ROOT,699,99f126f9b6e27b56ebd4fdb027b93546d6c3a6f3e672a24a2c15aaaec6a0169b,,,no
MANIFEST.csv,ROOT,18658,680e38268dfa5969e9b115e43fbffb3bcfef5ab4e3d35ce3422fbcc046d41c93,116,5,no
README.md,ROOT,746,6bb20df6f1b1d2f4346ac81d68081ea6dccd95238aac58d9d96ace7d74ae8fc3,,,no
VALIDATION_SUMMARY.md,ROOT,52922,90f2c58450472a74ee104fab5d545f69c108ff0987612fd6491c08b8c70bbe7b,,,no
data_dictionary.csv,ROOT,210453,193a8b297eae52a00787a7e71a22a2838d4f2b466b338681adc86dda2250ef23,1256,6,no
generators/base/Opus_Gubernatio_Synthetic_Programme_v0.1.zip,generators,1033915,fe5806b831d4ab5a32c7beb249fc66eaedbe641fa87b87db8df01491f2ec2796,,,no
generators/build_opus_synthetic_programme_v0_2.py,generators,63345,9e5479497c6824e68b4e01951341cc60065b7e85dc95f99b27300dc3ce3aaa98,,,no
generators/validate_synthetic_programme_v0_2.py,generators,15796,5022c5d485f0f77bc0164d12329385a5a408555cfd531352adf517aaef4ad2a6,,,no
generators/verify_synthetic_checksums_v0_2.py,generators,1163,dc41ff34d2b120378927c962cf3cba44e394cb6cfb27b6d015d91366d43dff2b,,,no
module_asset_map.csv,ROOT,13344,aa6e2994f95fa909ace2ff12bd28bfbac3c031923184841c18b87b0bbd3c4b85,39,15,no
module_id_aliases.csv,ROOT,9391,fb1674b318407490abb4f4f6112f7f406c3b13cc890190c8d19d8ea5595b0086,39,13,no
package_A_project_structures/PACKAGE_CHECKSUMS.sha256,package_A_project_structures,4314,0fa0c32d56e5a3475df217dbb2f63cfdc4f7c3e06700c90db0bbf46de782e5da,,,no
package_A_project_structures/PACKAGE_MANIFEST.csv,package_A_project_structures,4716,1b04c4880ac7969cf86b76edf5c6e2e819697d6b17bdb9cbfbc0595c89b5833a,48,4,no
package_A_project_structures/README.md,package_A_project_structures,693,eae10022792d43c50fbcf8523293299b17fa4b5c1a71227b05ef083547164baa,,,no
package_A_project_structures/abm_ground_truth.csv,package_A_project_structures,1406,b62d06472e7fbff1fded082ad22d65613884060ee3b3261ae47412e1153c6641,6,13,no
package_A_project_structures/abm_rule_ground_truth.csv,package_A_project_structures,2995,02ea61652cda5b04453b71a61e241fe694deadde2349c30401a859deec0eb3d1,12,11,no
package_A_project_structures/activity_weather_impacts.csv,package_A_project_structures,16572,a14140664c8188ccd9de5be6e0bfe7eb7a136bfc1552e308779adb6b13784120,72,14,no
package_A_project_structures/agent_decision_rules.csv,package_A_project_structures,1342,063197f6253a1c444c82af36a04e6402b170ff0596c980265727f9b83ce8deee,3,14,no
package_A_project_structures/agent_state_history.csv,package_A_project_structures,165272,2889be3fbb4d9a1c4158ec2f0ceb3de5895b0342c3a1346920789542b248e4b6,576,18,no
package_A_project_structures/agents.csv,package_A_project_structures,12030,ecf8d36fa26c841f7d402bb3e23250ed0e93003584022398cb895f448976324f,48,15,no
package_A_project_structures/ccpm_buffer_sizing_inputs.csv,package_A_project_structures,19142,80f4655d0e79e380b2b67ad37e0edf4eed4f05c1c680a9d22360d83784a5932d,72,17,no
