area,check,result,detail
artefacts,present:AUDIT_RESOLUTION_v0.2.md,PASS,
artefacts,present:BUILD_PROVENANCE.json,PASS,
artefacts,present:CHECKSUMS.sha256,PASS,
artefacts,present:CLAUDE_CODE_HANDOFF_v0.2.md,PASS,
artefacts,present:MANIFEST.csv,PASS,
artefacts,present:README.md,PASS,
artefacts,present:VALIDATION_SUMMARY.md,PASS,
artefacts,present:validation_report.json,PASS,
artefacts,present:data_dictionary.csv,PASS,
artefacts,present:module_asset_map.csv,PASS,
artefacts,present:module_id_aliases.csv,PASS,
artefacts,present:package_summary.xlsx,PASS,
artefacts,present:requirements-lock.txt,PASS,
artefacts,present:schemas/schema_catalog.json,PASS,
artefacts,present:generators/build_opus_synthetic_programme_v0_2.py,PASS,
artefacts,present:generators/validate_synthetic_programme_v0_2.py,PASS,
artefacts,present:generators/verify_synthetic_checksums_v0_2.py,PASS,
artefacts,present:generators/base/Opus_Gubernatio_Synthetic_Programme_v0.1.zip,PASS,
artefacts,provenance_hash:builder_sha256,PASS,9e5479497c6824e68b4e01951341cc60065b7e85dc95f99b27300dc3ce3aaa98
artefacts,provenance_hash:validator_sha256,PASS,5022c5d485f0f77bc0164d12329385a5a408555cfd531352adf517aaef4ad2a6
artefacts,provenance_hash:base_archive_sha256,PASS,fe5806b831d4ab5a32c7beb249fc66eaedbe641fa87b87db8df01491f2ec2796
artefacts,provenance_seed_20260811,PASS,
artefacts,provenance_version_0_2,PASS,
checksums,manifest_covers_every_file,PASS,[]
checksums,programme_checksums_recomputed_independently,PASS,117 entries; []
checksums,package_A_project_structures:self_contained_no_external_paths,PASS,[]
checksums,package_A_project_structures:local_checksums_verify_alone,PASS,49 entries; []
checksums,package_A_project_structures:local_manifest_covers_package,PASS,[]
checksums,package_A_project_structures:agrees_with_programme_manifest,PASS,[]
checksums,package_B_reference_training_decisions:self_contained_no_external_paths,PASS,[]
checksums,package_B_reference_training_decisions:local_checksums_verify_alone,PASS,34 entries; []
checksums,package_B_reference_training_decisions:local_manifest_covers_package,PASS,[]
checksums,package_B_reference_training_decisions:agrees_with_programme_manifest,PASS,[]
checksums,package_C_optional_activation_lab:self_contained_no_external_paths,PASS,[]
checksums,package_C_optional_activation_lab:local_checksums_verify_alone,PASS,14 entries; []
checksums,package_C_optional_activation_lab:local_manifest_covers_package,PASS,[]
checksums,package_C_optional_activation_lab:agrees_with_programme_manifest,PASS,[]
ncr,exists:quality_audits.csv,PASS,
ncr,exists:ncr_events.csv,PASS,
ncr,exists:ncr_ground_truth.csv,PASS,
ncr,event_audit_fk,PASS,every NCR traces to a declared quality audit
ncr,event_pk_unique,PASS,
ncr,recomputed_ground_truth_all_cutoffs,PASS,"36 period rows, 10 quantities each; mismatches: []"
env,exists:environmental_requirements.csv,PASS,
env,exists:environmental_assessments.csv,PASS,
env,exists:environmental_violations.csv,PASS,
env,exists:environmental_ground_truth.csv,PASS,
env,assessment_requirement_fk,PASS,
env,violation_assessment_fk,PASS,
env,recomputed_compliance_all_periods,PASS,36 period rows; mismatches: []
ccpm,exists:ccpm_chains.csv,PASS,
ccpm,exists:ccpm_chain_activities.csv,PASS,
ccpm,exists:ccpm_buffer_sizing_inputs.csv,PASS,
ccpm,exists:ccpm_buffers.csv,PASS,
ccpm,exists:ccpm_ground_truth.csv,PASS,
ccpm,chain_pk_unique,PASS,
ccpm,member_traces_to_chain_and_activity,PASS,
ccpm,buffer_traces_to_chain,PASS,
ccpm,sizing_input_traces_to_chain_and_activity,PASS,
ccpm,schedule_activity_carries_chain_id,PASS,
ccpm,pert_sigma_and_variance_recomputed,PASS,[]
