check,result,detail
same_file_set,PASS,118 vs 118 files; only-in-first=[] only-in-second=[]
byte_identical_file_contents,PASS,118 files compared; differing=[]
byte_identical_combined_zip,PASS,2606b6bfecbdbb86393c1473e036ff33a3502e695d6d7f835d7fb3c513139e1a vs 2606b6bfecbdbb86393c1473e036ff33a3502e695d6d7f835d7fb3c513139e1a
byte_identical_package_zip:Opus_Gubernatio_Package_A_Project_Structures_v0.2.zip,PASS,2cae2308e468942b0d8e38d528df5bfad1d74924d21fcf7d21253248cea80985 vs 2cae2308e468942b0d8e38d528df5bfad1d74924d21fcf7d21253248cea80985
byte_identical_package_zip:Opus_Gubernatio_Package_B_Reference_Training_Decisions_v0.2.zip,PASS,bb3651ce5d8fa1cf73b8ade396d5c82296e8f00cda411453040ffc13e13fbdc7 vs bb3651ce5d8fa1cf73b8ade396d5c82296e8f00cda411453040ffc13e13fbdc7
byte_identical_package_zip:Opus_Gubernatio_Package_C_Optional_Activation_Lab_v0.2.zip,PASS,fed56066a160d775fed4616cb3c1ac34ae34f3806dd3b62d232c3d2bbd81bc3a vs fed56066a160d775fed4616cb3c1ac34ae34f3806dd3b62d232c3d2bbd81bc3a
no_output_path_dependence,PASS,two different output roots and two different zip directories produced identical bytes
no_current_time_dependence,PASS,the two builds were separated by more than a minute
no_filesystem_order_dependence,PASS,each tree was walked and hashed independently and compared by relative path
regenerated_tree_matches_staged_extraction,PASS,118 common files; drift=[]; only-staged=[]; only-rebuilt=[]
rebuilt_combined_zip_matches_supplied_archive,PASS,supplied=2606b6bfecbdbb86393c1473e036ff33a3502e695d6d7f835d7fb3c513139e1a rebuilt=2606b6bfecbdbb86393c1473e036ff33a3502e695d6d7f835d7fb3c513139e1a
note_lxml_pinned_in_requirements_lock,FAIL,"openpyxl serialises the workbook differently with and without lxml, so the workbook is only byte-reproducible when lxml presence matches (present here: True)"
recorded_seed_20260811,PASS,20260811
builder_checksum_matches_provenance,PASS,9e5479497c6824e68b4e01951341cc60065b7e85dc95f99b27300dc3ce3aaa98
base_archive_checksum_matches_provenance,PASS,fe5806b831d4ab5a32c7beb249fc66eaedbe641fa87b87db8df01491f2ec2796
validator_checksum_matches_provenance,PASS,5022c5d485f0f77bc0164d12329385a5a408555cfd531352adf517aaef4ad2a6
