case_id,m_eac,spread_driver,optimistic,most_likely,pessimistic,pert_lambda,alpha,beta,degenerate,analytic_mean,analytic_sd,deterministic_p50,deterministic_p80
MC-01-deterministic-collapse,1000000.0,0,1000000.0,1000000.0,1000000.0,4,nan,nan,true,1000000.0,0.0,1000000.0,1000000.0
MC-02-single-sampled-cpi,1111111.111111111,0.04999999999999999,1105555.5555555555,1111111.111111111,1133333.3333333333,4,1.7999999999999932,4.200000000000006,false,1113888.8888888888,4811.25224324688,,
MC-03-cpi-driven,3000000.0,0.09999999999999998,2970000.0,3000000.0,3120000.0,4,1.8,4.2,false,3014999.9999999995,25980.762113533154,,
MC-04-cpi-and-spi-driven,2666666.6666666665,0.07999999999999999,2645333.333333333,2666666.6666666665,2752000.0,4,1.8000000000000034,4.199999999999997,false,2677333.333333333,18475.20861406802,,
MC-05-stable-performance,750000.0,0.04000000000000001,747000.0,750000.0,762000.0,4,1.8,4.2,false,751500.0,2598.0762113533165,,
MC-06-deteriorating,7142857.142857144,0.34500000000000003,6896428.571428573,7142857.142857144,8128571.428571429,4,1.799999999999999,4.200000000000001,false,7266071.428571429,213413.40307545097,,
MC-07-strong-performance,1086956.5217391306,0,1086956.5217391306,1086956.5217391306,1086956.5217391306,4,nan,nan,true,1086956.5217391306,0.0,1086956.5217391306,1086956.5217391306
MC-08-spread-upper-region,9000000.0,0.9199999999999999,8172000.0,9000000.0,12311999.999999998,4,1.8000000000000003,4.199999999999999,false,9414000.0,717069.0343335151,,
MC-09-small-budget,13157.894736842105,0.04100000000000003,13103.947368421052,13157.894736842105,13373.684210526315,4,1.800000000000011,4.199999999999989,false,13184.868421052633,46.719791519950014,,
MC-10-doc-risk-clamped,1000000.0,0.2,980000.0,1000000.0,1080000.0,4,1.8,4.2,false,1010000.0,17320.508075688773,,
