project_id,weather_event_id,affected_activity_id,critical_at_event,productivity_loss_fraction,ground_truth_schedule_impact_days,excusable_flag,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-WX-01,PRJ-AIR-A09,True,0.053458,0.57,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,908557a5f5d4c1052b8b50c2786e33b8a1b101045e5dae087312c9fc976842a3
PRJ-AIR,PRJ-AIR-WX-02,PRJ-AIR-A05,True,0.091735,1.22,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e5852935726afcba0c3fc3c950420a5f073f2f2379f9fed2160dd524f7dcaa54
PRJ-AIR,PRJ-AIR-WX-03,PRJ-AIR-A06,True,0.058573,0.47,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a02a1e9f396987b57b676b31047e56a204bc4cd413edd1e55d8de75dc3d42eb3
PRJ-AIR,PRJ-AIR-WX-04,PRJ-AIR-A07,False,0.067522,0.216,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aec7bdd49d66112454887e4a054738fde70a13d4bc71981ea60c904bc34f1669
PRJ-AIR,PRJ-AIR-WX-05,PRJ-AIR-A04,True,0.078812,1.05,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c33ee147b0bf3e2a280d6cddcd78f21c1eb2b62d5595ba933c8ccb38fdf44846
PRJ-AIR,PRJ-AIR-WX-06,PRJ-AIR-A08,True,0.062844,0.5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2fad110c039d854c9e948416323b81a4eb30ea4a070fa0f38ac866d7a5d03c25
PRJ-AIR,PRJ-AIR-WX-07,PRJ-AIR-A07,False,0.133265,0.426,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ef351f6cc7bf34c0c9ac8d15b3a1207e8a103eb3339f26429c6e14b1540070ed
PRJ-AIR,PRJ-AIR-WX-08,PRJ-AIR-A07,False,0.10356,0.414,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e0ca6d42ad899e214338874496db0e27f88dc05bbd71194adb755ba04d9db6f2
PRJ-AIR,PRJ-AIR-WX-09,PRJ-AIR-A04,True,0.165771,1.33,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aef7759ff3559977ebd4c1264240100a33041bad684170c83ee5fcb2c677654f
PRJ-AIR,PRJ-AIR-WX-10,PRJ-AIR-A10,True,0.046712,0.5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,de6237bd22f85d2ddfbf5fcfd76ce52bdc096a5a908dfbe229bf195fae31142d
