project_id,time_step,agent_id,state,demand_units,delivered_units,inventory_end_units,effective_capacity_units,lead_time_steps,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,1,PRJ-AIR-SUP-01,DISRUPTED,5.092113,3.6,14.4,3.6,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9f91604d5f94b705aeda7d8455568191ae5557bd4d0a54bf6eee2f278825c5c6
PRJ-AIR,1,PRJ-AIR-SUP-02,NORMAL,4.740548,4.740548,15.759452,10.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f76f75018d35687028e5e4da151d4a5ebff114d67896f06c18c2eba0b8c6e47a
PRJ-AIR,1,PRJ-AIR-SUP-03,NORMAL,4.965073,4.965073,18.034927,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,02da5c937b5815d1d7503219a06743bb9a9f349a96524d6c8f6e1a7ecfe8d483
PRJ-AIR,1,PRJ-AIR-SUP-04,NORMAL,5.727494,5.727494,15.272506,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5b82bedec9905c9bc5013ada60537ed986dfbd4bd88888d2b5179a78d3168785
PRJ-AIR,1,PRJ-AIR-SUP-05,NORMAL,4.448989,4.448989,19.051011,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9c222fbf8393b6bf4a44b9cfa37539d69bcf40f1f53d26da42457c37a8fbfabc
PRJ-AIR,1,PRJ-AIR-SUP-06,NORMAL,4.683533,4.683533,21.316467,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20b9a2a48b2189f768c74dced4c47681242e2be9d6b3e61c3c41bdadaeb6d09d
PRJ-AIR,1,PRJ-AIR-SUP-07,NORMAL,4.176314,4.176314,19.823686,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9b18f67f28a4ba0d496c0666cdb24e94563177597ec55e7812f93f78b8e611c7
PRJ-AIR,1,PRJ-AIR-SUP-08,NORMAL,5.415484,5.415484,21.084516,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,52571a07e563151593ea9462653185794f639b80c459efd5022e3fe04a838bb9
PRJ-AIR,2,PRJ-AIR-SUP-01,DISRUPTED,4.890168,3.6,16.8,3.6,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cef678b1710e44a11af591350478f318a8f02a56d7e83bb01262e61eabf1823e
PRJ-AIR,2,PRJ-AIR-SUP-02,NORMAL,6.39226,6.39226,16.867192,10.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a7f05a9906dc46da6b373692bf2868c769e15782d4a646c33e9c24b5cd39c3dd
