project_id,claim_id,notice_id,claim_type,claim_value_usd,submitted_day,current_stage,unresolved_age_days,adjudication_status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CLM-01,PRJ-AIR-CLM-01-N,DIFFERING_SITE,1482250.0,87,NOTICE,264,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4f659c005268b967090f23ea199f5fd2040d643e04abcef4fba3a3a5528637a0
PRJ-AIR,PRJ-AIR-CLM-02,PRJ-AIR-CLM-02-N,DELAY,2117500.0,122,CLAIM_SUBMITTED,229,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d257c9ffefdfe553f5923817f918350c80e0de28fe146196da360ace0b64ca1e
PRJ-AIR,PRJ-AIR-CLM-03,PRJ-AIR-CLM-03-N,PAYMENT,2752750.0,157,NEGOTIATION,194,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cc94d965498c8dcaac8aafa7ad4fc98c5fb2600f957d767ea6773a559032f7e6
PRJ-AIR,PRJ-AIR-CLM-04,PRJ-AIR-CLM-04-N,DESIGN_CHANGE,3388000.0,193,MEDIATION,158,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5441ca29916f0e05db2305f0354b84deb5eb15f806d245c223c6cc842d88fb6c
PRJ-AIR,PRJ-AIR-CLM-05,PRJ-AIR-CLM-05-N,DIFFERING_SITE,4023250.0,228,ADJUDICATION,123,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aa9473770ef4f5f68c156cf0e9aef46c648bdf820c566f75d983e4b1f4a03fcc
PRJ-AIR,PRJ-AIR-CLM-06,PRJ-AIR-CLM-06-N,DELAY,4658500.0,263,ADJUDICATION,88,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c90aae5e276be4420f16279f54ae2ffc93f3fc5e5a7bdda71c31b4b8ca812a5d
PRJ-HWY,PRJ-HWY-CLM-01,PRJ-HWY-CLM-01-N,DIFFERING_SITE,764400.0,76,NOTICE,231,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e2015821d0c1849fd527a11ad269db5a3f8d0fa8765cd4607008b6d43b10f5ea
PRJ-HWY,PRJ-HWY-CLM-02,PRJ-HWY-CLM-02-N,DELAY,1092000.0,107,NOTICE,200,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,441ba398aed081efafc8c8226e60444e21475efc902a47217e033d39dfcdb478
PRJ-HWY,PRJ-HWY-CLM-03,PRJ-HWY-CLM-03-N,PAYMENT,1419600.0,138,CLAIM_SUBMITTED,169,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a6aa94e45ba72a2ccdaa94fec069521e7d81bb13da23dd941c92f5d6fcdf8e0d
PRJ-HWY,PRJ-HWY-CLM-04,PRJ-HWY-CLM-04-N,DESIGN_CHANGE,1747200.0,168,NEGOTIATION,139,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c6e403c751687a8222de811f9c6dd0cff4f0de746b4d5be1cddcb94955f8b7e4
PRJ-HWY,PRJ-HWY-CLM-05,PRJ-HWY-CLM-05-N,DIFFERING_SITE,2074800.0,199,MEDIATION,108,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ca964169f5f69a2fdff052e4797ccf01d80d7bb15fa7ec3b2f2b8bc1626b9213
PRJ-HWY,PRJ-HWY-CLM-06,PRJ-HWY-CLM-06-N,DELAY,2402400.0,230,ADJUDICATION,77,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e636d10676c11b8d57bc2ad05f6d7d1d35080f43d3162937f5ea70980d295fbb
PRJ-HSP,PRJ-HSP-CLM-01,PRJ-HSP-CLM-01-N,DIFFERING_SITE,1819300.0,85,NOTICE,258,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,808b5668ac1094a781b33be0278490cb02cfc4f53bf2e660a9105879e5f85f90
PRJ-HSP,PRJ-HSP-CLM-02,PRJ-HSP-CLM-02-N,DELAY,2599000.0,120,CLAIM_SUBMITTED,223,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6c317492bf3dbbcc592a493c2b17abec786849866ac4587d905986f948e1acfd
PRJ-HSP,PRJ-HSP-CLM-03,PRJ-HSP-CLM-03-N,PAYMENT,3378700.0,154,NEGOTIATION,189,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0d1c92e5419a15bb6b31aebd8e31fdd06924ce8fba12223c6cd003ab3e996aa1
PRJ-HSP,PRJ-HSP-CLM-04,PRJ-HSP-CLM-04-N,DESIGN_CHANGE,4158400.0,188,MEDIATION,155,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3410050052dbf74a28ceb00866eac4424825a0f7eb781381e59e95c40584696a
PRJ-HSP,PRJ-HSP-CLM-05,PRJ-HSP-CLM-05-N,DIFFERING_SITE,4938100.0,222,ADJUDICATION,121,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,faee1da93f6ae9afe137f527999c509eec4a69a470735dfc98aba5825798d04a
PRJ-HSP,PRJ-HSP-CLM-06,PRJ-HSP-CLM-06-N,DELAY,5717800.0,257,ADJUDICATION,86,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,39c68bec631457a3c254548e19836a207c2c063c986f681c69d2dd5c1da054d7
