project_id,cost_element_id_a,cost_element_id_b,correlation,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-01,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,088e46d0b852b1752745f107d718816804c97b2d0c03dc02d2c29b669c3e152c
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-02,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,52806f793bec7906911219de56957338aa011a9bc2341fdb5c5934ec87204e2c
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-03,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,da5a222f40c89d2495ca5882a62b7694bbdd8bb91aceca57665e195bf103e75f
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-04,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b34d90ac0617305f81f1db0ab7c44d268aab27ba198d58a3062251b7b3cde432
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-05,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4b99bbbf3b56a8a3c77e70627ba0e673fb74245050b9f2914015108c50808748
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-06,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,28886d381ccdea24c10c4e5cf3cca2e774f8dc221f77838fbdcd401fd21d9b7a
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-07,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c765baa956d68d81140d61ffe91f08a4553c3fa867cf189ceb316e24db7c81f7
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-08,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d63c32ee90a5343ed6b98698bda83163e04cf5753e8333a615061a8eb2ba493a
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-09,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1e14696487e9a9d8843b686e8a4a5420ca3993560f86f194600cb145f5c5e23e
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-10,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c2ddf94e54c3ca875ac5be913363276e7740e4c005421257acba65d88a84e828
