project_id,entity_id,event_id,event_type,queue_id,resource_id,event_arrival_day,event_start_day,event_end_day,wait_days,service_duration_days,routing_rule,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-1,6.074264,6.074264,8.991355,0.0,2.91709,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4f01ebe9f4eef0c1696b3ecd00eeedbd787dab64b957b45093578cc41752a419
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-1,8.991355,8.991355,26.3211,0.0,17.329746,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,60deb3ce46e4eadbafe27610a8f1de26c94d6c5eb5c4e2f036264e6c7858de1c
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-SHIPPING,SHIPPING,Q-SHIPPING,SHIPPING-SERVER-1,26.3211,26.3211,32.520009,0.0,6.198908,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5bb569b0e51a439c762019863700aa6bdcd6f7ce1df9eb3b71833106c411c287
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-DELIVERY,DELIVERY,Q-DELIVERY,DELIVERY-SERVER-1,32.520009,32.520009,33.788172,0.0,1.268164,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,be2eb6ef93d8e2dc21d78352b13c6e87fad93a8b170163999c86a3ee05b3a2ad
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-2,5.012644,5.012644,7.93388,0.0,2.921235,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,641e577c51bc2af489209ae34c239a7e1e869899ec381c89942cd06f2d6596f7
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-2,7.93388,7.93388,20.481802,0.0,12.547922,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,22a85f415392a1aa9ca75fabfa6c08982be087961fb121e2a6ef3ed9a9e556f5
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-SHIPPING,SHIPPING,Q-SHIPPING,SHIPPING-SERVER-2,20.481802,20.481802,27.495441,0.0,7.013639,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6a6f579f3e18ee889c53b8a232c8e107ab397af2afa2ec51cc3aa9f90b8ed302
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-DELIVERY,DELIVERY,Q-DELIVERY,DELIVERY-SERVER-2,27.495441,27.495441,28.966475,0.0,1.471034,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,72c90d7fecf5372ad009d3e617975dc64854a775e8479e71990b5308f922a52a
PRJ-AIR,PRJ-AIR-ITEM-003,PRJ-AIR-ITEM-003-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-2,9.336677,9.336677,11.208593,0.0,1.871915,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1376a746482812ed564ce4f3da9d832de8a6969cd8125f45e42bc9330d75bf6a
PRJ-AIR,PRJ-AIR-ITEM-003,PRJ-AIR-ITEM-003-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-3,11.208593,11.208593,24.254837,0.0,13.046245,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5b900c87807c0a32b0fbc4618e08a43f7fee7eff4b0831d18277c153320188f3
