project_id,source_node_id,target_node_id,dependency_type,dependency_strength,propagation_delay_periods,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-DSM-01,PRJ-AIR-DSM-02,REWORK_PROPAGATION,0.249591,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7c7c9e863ea88f8393546dc445f56ecdd20ce76c6f42544acc52a8d34896baa6
PRJ-AIR,PRJ-AIR-DSM-01,PRJ-AIR-DSM-03,REWORK_PROPAGATION,0.220422,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dcf66ba48c5537c74d5beb73d7b4d56a052d1d42e399c755463f6a24304f423a
PRJ-AIR,PRJ-AIR-DSM-02,PRJ-AIR-DSM-05,REWORK_PROPAGATION,0.296438,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a5d6bc72411bb6e95aba0f3c530ea0be44896dc95a1af586acdc56cac5e569ee
PRJ-AIR,PRJ-AIR-DSM-03,PRJ-AIR-DSM-04,REWORK_PROPAGATION,0.275722,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c2293f77ba8cbc118a9dfe57f3391e3ec52ae27edf92a015749a40a64d2a3ead
PRJ-AIR,PRJ-AIR-DSM-04,PRJ-AIR-DSM-05,REWORK_PROPAGATION,0.236418,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,55fd612103ad16df5278bff942129c0e30e0cecdbcb6dcc86a83e93efc16b245
PRJ-AIR,PRJ-AIR-DSM-05,PRJ-AIR-DSM-06,REWORK_PROPAGATION,0.371304,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3f110c6c6c8a46733201a5eea57a49cdced8bed6772c54fa2b6a9e8057007a7e
PRJ-AIR,PRJ-AIR-DSM-06,PRJ-AIR-DSM-07,REWORK_PROPAGATION,0.373294,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,17e53572f607d72049476a7394649908f6c393880d1b6754d88c3830131ffa6f
PRJ-AIR,PRJ-AIR-DSM-07,PRJ-AIR-DSM-08,REWORK_PROPAGATION,0.298985,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c236407ab01ed5d32cf8d45093a9ad508e9a008f64ef16b448e1df0c81d28967
PRJ-AIR,PRJ-AIR-DSM-05,PRJ-AIR-DSM-03,REWORK_PROPAGATION,0.066539,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,62012f2df0d57230faadfdf97633aa086952c0e6726e78eb0f727e0afc94e7f7
PRJ-HWY,PRJ-HWY-DSM-01,PRJ-HWY-DSM-02,REWORK_PROPAGATION,0.28855,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ab8cb92d8018ce4f2444c89ddadf49bd75f32f194f48a966309d8031f8161a4d
