project_id,period_id,seed_node_id,propagation_steps,total_propagated_rework,impacted_node_count,cumulative_impact_vector,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-DSM-01,3,0.749272,5,"{""PRJ-AIR-DSM-01"": 1.15, ""PRJ-AIR-DSM-02"": 0.28703, ""PRJ-AIR-DSM-03"": 0.259147, ""PRJ-AIR-DSM-04"": 0.069892, ""PRJ-AIR-DSM-05"": 0.10161, ""PRJ-AIR-DSM-06"": 0.031593, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d6ff32a8af03336faef8d7651625a549b9b4559c671c308383076244d1d6716e
PRJ-AIR,P02,PRJ-AIR-DSM-02,3,0.614585,4,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 1.3, ""PRJ-AIR-DSM-03"": 0.025642, ""PRJ-AIR-DSM-04"": 0.00707, ""PRJ-AIR-DSM-05"": 0.385369, ""PRJ-AIR-DSM-06"": 0.143089, ""PRJ-AIR-DSM-07"": 0.053414, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a0779f82d407aa031b59786b7dfc517e706fd096e49cb7e9ee39461d769039ba
PRJ-AIR,P03,PRJ-AIR-DSM-03,3,0.535701,3,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 1.456289, ""PRJ-AIR-DSM-04"": 0.399797, ""PRJ-AIR-DSM-05"": 0.094519, ""PRJ-AIR-DSM-06"": 0.035095, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,160421986a6d583e2322712778ddfa6f998b2d427a69871dbd09c3a261fef726
PRJ-AIR,P04,PRJ-AIR-DSM-04,3,0.603262,4,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.02517, ""PRJ-AIR-DSM-04"": 1.60694, ""PRJ-AIR-DSM-05"": 0.378269, ""PRJ-AIR-DSM-06"": 0.140453, ""PRJ-AIR-DSM-07"": 0.05243, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,15868249d5c87bb09613ab8554e6f5c8a92ed4851eb41b7e2b3b70f129276db5
PRJ-AIR,P05,PRJ-AIR-DSM-01,3,1.140196,5,"{""PRJ-AIR-DSM-01"": 1.75, ""PRJ-AIR-DSM-02"": 0.436784, ""PRJ-AIR-DSM-03"": 0.394354, ""PRJ-AIR-DSM-04"": 0.106357, ""PRJ-AIR-DSM-05"": 0.154624, ""PRJ-AIR-DSM-06"": 0.048076, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0f1c5e88d2ae081c6feef41e7b290233b778eadd7f9ba90fb11c883a63638eca
PRJ-AIR,P06,PRJ-AIR-DSM-02,3,0.89824,4,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 1.9, ""PRJ-AIR-DSM-03"": 0.037477, ""PRJ-AIR-DSM-04"": 0.010333, ""PRJ-AIR-DSM-05"": 0.563232, ""PRJ-AIR-DSM-06"": 0.20913, ""PRJ-AIR-DSM-07"": 0.078067, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fa294e663ba8814fd57e0cbb9be1eda5fec4c49bdeff33cac0215bce9f480bfb
PRJ-HWY,P01,PRJ-HWY-DSM-01,3,0.759357,5,"{""PRJ-HWY-DSM-01"": 1.15, ""PRJ-HWY-DSM-02"": 0.331832, ""PRJ-HWY-DSM-03"": 0.228331, ""PRJ-HWY-DSM-04"": 0.055825, ""PRJ-HWY-DSM-05"": 0.108208, ""PRJ-HWY-DSM-06"": 0.035161, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b37e49adda6278294dff27f59781ac2ea573ab23e71681fedc2da633fa7ea418
PRJ-HWY,P02,PRJ-HWY-DSM-02,3,0.61327,4,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 1.3, ""PRJ-HWY-DSM-03"": 0.041145, ""PRJ-HWY-DSM-04"": 0.010545, ""PRJ-HWY-DSM-05"": 0.366775, ""PRJ-HWY-DSM-06"": 0.13775, ""PRJ-HWY-DSM-07"": 0.057055, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a87989ab46746bf837b0e11d15111c8de124e7e32ff646731b0c9e4ee6351f4b
PRJ-HWY,P03,PRJ-HWY-DSM-03,3,0.516063,3,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 1.460892, ""PRJ-HWY-DSM-04"": 0.371607, ""PRJ-HWY-DSM-05"": 0.097097, ""PRJ-HWY-DSM-06"": 0.036467, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e0c56495f0e8f3fb8561a73482109cb9d18936da796a2d29c9002828740e8e07
PRJ-HWY,P04,PRJ-HWY-DSM-04,3,0.699024,4,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.046899, ""PRJ-HWY-DSM-04"": 1.612019, ""PRJ-HWY-DSM-05"": 0.418061, ""PRJ-HWY-DSM-06"": 0.157012, ""PRJ-HWY-DSM-07"": 0.065033, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7023fc0df40065067f0c72c2340d8fb561493012b12b540f9d553aaa6a979cf3
PRJ-HWY,P05,PRJ-HWY-DSM-01,3,1.155543,6,"{""PRJ-HWY-DSM-01"": 1.75, ""PRJ-HWY-DSM-02"": 0.504962, ""PRJ-HWY-DSM-03"": 0.34746, ""PRJ-HWY-DSM-04"": 0.084951, ""PRJ-HWY-DSM-05"": 0.164664, ""PRJ-HWY-DSM-06"": 0.053507, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dfdbcb065f3dbeff1f7d6beafd9fd806ffb6a024b6690243ed957574d4c4e78d
PRJ-HWY,P06,PRJ-HWY-DSM-02,3,0.896318,5,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 1.9, ""PRJ-HWY-DSM-03"": 0.060135, ""PRJ-HWY-DSM-04"": 0.015412, ""PRJ-HWY-DSM-05"": 0.536056, ""PRJ-HWY-DSM-06"": 0.201327, ""PRJ-HWY-DSM-07"": 0.083389, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aff10d73a69d023ad56387bee51e09f59c624e0ea9bc47f40afa0751a31c674c
PRJ-HSP,P01,PRJ-HSP-DSM-01,3,0.683139,5,"{""PRJ-HSP-DSM-01"": 1.15, ""PRJ-HSP-DSM-02"": 0.239736, ""PRJ-HSP-DSM-03"": 0.250991, ""PRJ-HSP-DSM-04"": 0.063176, ""PRJ-HSP-DSM-05"": 0.099923, ""PRJ-HSP-DSM-06"": 0.029314, ""PRJ-HSP-DSM-07"": 0.0, ""PRJ-HSP-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a472ed8a340dfc4fdf46f86084980a6e3bc9a3d5bc7c79a05b1bc7c49b8d7fbf
PRJ-HSP,P02,PRJ-HSP-DSM-02,3,0.742904,5,"{""PRJ-HSP-DSM-01"": 0.0, ""PRJ-HSP-DSM-02"": 1.3, ""PRJ-HSP-DSM-03"": 0.061857, ""PRJ-HSP-DSM-04"": 0.016311, ""PRJ-HSP-DSM-05"": 0.446455, ""PRJ-HSP-DSM-06"": 0.158958, ""PRJ-HSP-DSM-07"": 0.059324, ""PRJ-HSP-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,491e50bb76f04f2df86a523cb08d83543c9f82c2d8a0e56dc1921feaa8e10f7a
PRJ-HSP,P03,PRJ-HSP-DSM-03,3,0.541471,3,"{""PRJ-HSP-DSM-01"": 0.0, ""PRJ-HSP-DSM-02"": 0.0, ""PRJ-HSP-DSM-03"": 1.464751, ""PRJ-HSP-DSM-04"": 0.382352, ""PRJ-HSP-DSM-05"": 0.106463, ""PRJ-HSP-DSM-06"": 0.037906, ""PRJ-HSP-DSM-07"": 0.0, ""PRJ-HSP-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2f1315115d89d4f1dda26c54e347efed3c9b4301f92c81143d7eb18d72318218
PRJ-HSP,P04,PRJ-HSP-DSM-04,3,0.741329,5,"{""PRJ-HSP-DSM-01"": 0.0, ""PRJ-HSP-DSM-02"": 0.0, ""PRJ-HSP-DSM-03"": 0.061726, ""PRJ-HSP-DSM-04"": 1.616277, ""PRJ-HSP-DSM-05"": 0.445508, ""PRJ-HSP-DSM-06"": 0.158621, ""PRJ-HSP-DSM-07"": 0.059198, ""PRJ-HSP-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6de50816975a730d4c7754e4d20e5c2c9b5347ca0aaec903360c451c5208c3bd
PRJ-HSP,P05,PRJ-HSP-DSM-01,3,1.039559,5,"{""PRJ-HSP-DSM-01"": 1.75, ""PRJ-HSP-DSM-02"": 0.364815, ""PRJ-HSP-DSM-03"": 0.381942, ""PRJ-HSP-DSM-04"": 0.096137, ""PRJ-HSP-DSM-05"": 0.152056, ""PRJ-HSP-DSM-06"": 0.044608, ""PRJ-HSP-DSM-07"": 0.0, ""PRJ-HSP-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d89fe5d8e44533e382b7f257f6a1c9e2b8e9ed0f8e9473955f8bd20681419264
