project_id,node_id,node_name,node_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1f0f09df367459988a39219a05f27c4b09afc8116657058e274d36f9f629ac1e
PRJ-AIR,PRJ-AIR-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,03745c02123179cb870935d825ab7f943afc9f2e55c947ae6d99aeeff85f25d8
PRJ-AIR,PRJ-AIR-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3939ee2c924ab6ee29b88581a1c4cc322b3b5c1408951f3f05086faa38ca266b
PRJ-AIR,PRJ-AIR-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3e26ea5ba32f80e08fa4865c03814479fff1a87a40b2da1b1ff2241db9490855
PRJ-AIR,PRJ-AIR-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,59014991a11a21e359173e3a15d4a0202d7238b92805d233e1d7ecf7533d98fd
PRJ-AIR,PRJ-AIR-DSM-06,CONTROLS,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3b21b756eb8945704d638617366dd8cc3df4a94afaacd2848b939f351ce7ca5b
PRJ-AIR,PRJ-AIR-DSM-07,TESTING,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c3fadaa768cb3fdb40101f6621ea685a11636ae6b80bfce9f6e3fb4aa0aec6b4
PRJ-AIR,PRJ-AIR-DSM-08,TURNOVER,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,096d1a8b502fd751d397d55831de88fab34ff9fcd88132daa9af61fe98f34a57
PRJ-HWY,PRJ-HWY-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8da0c8c55f6c76044efe99b8c9816dc94662ce5cb73d17006e8b77771f482fe2
PRJ-HWY,PRJ-HWY-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a6c43cb22c85f477691f957b1625266f6258a738131c04e9d4306537565c51a1
PRJ-HWY,PRJ-HWY-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7f86a7dc86da9afb9f56715c69177f44f908fd50e49a7318cdfb187ef095b5ff
PRJ-HWY,PRJ-HWY-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2d864be256af8137928cce6711bacc56e3bb362bb44bf3716d954176da2267ce
PRJ-HWY,PRJ-HWY-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,54f60fc0f3dcf7f99aacefcfda1f4326bf53cd6ca26c91605fc3554254763016
PRJ-HWY,PRJ-HWY-DSM-06,CONTROLS,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d3164da262ab4f3d827b987506c629956994e010054fcff2ed584d8bcceb701c
