project_id,period_id,location_id,location_sequence,work_type_id,crew_id,quantity,unit,planned_production_rate_locations_per_day,actual_production_rate_locations_per_day,planned_start_day,actual_start_day,minimum_separation_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,P01,L01,1,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,0.0,0.08,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,990fff19817383d1cf099706b18fdcae399fae5f3295045b30bb25f0c844958a
PRJ-HWY,P01,L02,2,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,4.545455,4.389841,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2df1b2e47d7e200ff5518a20ad3274c8f8376aad34cd2f96725989608781845a
PRJ-HWY,P01,L03,3,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,9.090909,8.699683,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,455ec1e623c346585a4930548825994f420eb5649f776195e2311cfff1322204
PRJ-HWY,P01,L04,4,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,13.636364,13.009524,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f1618a3b2a17936e5c20c20a76c10274ceea0c5b8e7af0855e1f47a06d72b649
PRJ-HWY,P01,L05,5,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,18.181818,17.319365,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a021afd7dd2b12485118114719d1ff7f67b1f347f1ae9bfaa2b443b89137e4e4
PRJ-HWY,P01,L06,6,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,22.727273,21.629206,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c4f642380fff4d48296e795cc958dfac1b261432736c4c7e9122a9ea264c8bbe
PRJ-HWY,P01,L01,1,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,18.0,18.08,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,81ffb27a524b06a155fecc999bb66f4b24193f938d98104eb1ad3934ec12b235
PRJ-HWY,P01,L02,2,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,23.555556,24.03901,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cea07385c93fca2071c85a989863b5a2f4d7ffa3458196f6f5120cc02a5c40a2
PRJ-HWY,P01,L03,3,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,29.111111,29.998021,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,39cce6030303f08398a96013c0a2fac9d030f7ba0a1235797c53b37fed2943c3
PRJ-HWY,P01,L04,4,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,34.666667,35.957031,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6e8b015b7bdbfdfb4ffe3cd9b7f8b47ace2ee3d79cba21bf191713f1555a4e5d
PRJ-HWY,P01,L05,5,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,40.222222,41.916042,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20a5a4fe6ee091c15d5ecef307b4c37aa0a0c4c2ad09fb958408af9935734c50
PRJ-HWY,P01,L06,6,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,45.777778,47.875052,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3397960cf2d3e1ed1d0aaad035078a1c824d35c4da25cece26767e6a4ab6e022
PRJ-HWY,P01,L01,1,SYSTEMS,PRJ-HWY-SYSTEMS-CREW,1,location,0.16,0.159846,38.0,38.08,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,da10959fbd50cf11d026c85c68dd85ce527b6b761e4621672a9fa847c6d95975
PRJ-HWY,P01,L02,2,SYSTEMS,PRJ-HWY-SYSTEMS-CREW,1,location,0.16,0.159846,44.25,44.336027,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d2d911b33574e16093cfec49074f186dfcb73b23b5ba991a16f80306bd12a144
PRJ-HWY,P01,L03,3,SYSTEMS,PRJ-HWY-SYSTEMS-CREW,1,location,0.16,0.159846,50.5,50.592055,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cb80d95baa3b2df63bb924a4cc42c279149ee9bacdbab56e5ec3feba92b5cd4e
PRJ-HWY,P01,L04,4,SYSTEMS,PRJ-HWY-SYSTEMS-CREW,1,location,0.16,0.159846,56.75,56.848082,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8069d1c3301703f8bf7d982d57608ad672fe3614bb760c69a94c437d80d49d8a
PRJ-HWY,P01,L05,5,SYSTEMS,PRJ-HWY-SYSTEMS-CREW,1,location,0.16,0.159846,63.0,63.104109,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c64708422aaeb04e094e8e179bf6717d68a51bd0a9d1ab0fdfa753115b0729b8
PRJ-HWY,P01,L06,6,SYSTEMS,PRJ-HWY-SYSTEMS-CREW,1,location,0.16,0.159846,69.25,69.360137,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,48bb99f4b4844c99aee19b82cd8af1ae20ff777e437a9a990d1b2ac882319a5e
PRJ-HWY,P01,L01,1,FINISH,PRJ-HWY-FINISH-CREW,1,location,0.2,0.209413,62.0,62.08,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d1cd33af2c192f1fedf5e308990517ed8005e096023a61dfa2d38df49e393ecd
PRJ-HWY,P01,L02,2,FINISH,PRJ-HWY-FINISH-CREW,1,location,0.2,0.209413,67.0,66.855263,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0a7698afaabaa8f85b37edb72a78fc48b77630d51e21a25db318d4c77f15c419
PRJ-HWY,P01,L03,3,FINISH,PRJ-HWY-FINISH-CREW,1,location,0.2,0.209413,72.0,71.630526,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8e072c2da9441313a7abb5be4de42d318aec0af18f8da683b3d612d6333db0e3
PRJ-HWY,P01,L04,4,FINISH,PRJ-HWY-FINISH-CREW,1,location,0.2,0.209413,77.0,76.405789,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3728a40d072cdd86c533930a52bdc08d1d033fbec25dc58572db6c2936e2ed5c
PRJ-HWY,P01,L05,5,FINISH,PRJ-HWY-FINISH-CREW,1,location,0.2,0.209413,82.0,81.181052,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8eaa5a7c3fc92097ff7aab3e0cefa288cf6073bd139181c5922de22022340764
PRJ-HWY,P01,L06,6,FINISH,PRJ-HWY-FINISH-CREW,1,location,0.2,0.209413,87.0,85.956315,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,45b0ee31e301be11d94b84bca2e8b78dddfb3127f2d894ba3125646d97609e9d
PRJ-HWY,P02,L01,1,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.206778,0.0,0.16,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7fc529eb2046eeb25d6c3d6ea7adf87b451f93955e9241fa07eec2c044d8b9f4
PRJ-HWY,P02,L02,2,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.206778,4.545455,4.996093,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,500675bb7b11554f58cfa9dee72be21342bffc68a536827c73babd623d491092
PRJ-HWY,P02,L03,3,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.206778,9.090909,9.832186,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a0d7b85caf20e3ceb51904e84a70b52c2c07ebbad046c7bf0e465b07fc4d4fd5
PRJ-HWY,P02,L04,4,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.206778,13.636364,14.66828,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9c88dfd48137d582d42c409fc191c67615efee9ebd4c5e5a07564c4dd4a2b877
PRJ-HWY,P02,L05,5,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.206778,18.181818,19.504373,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,736dc6679e30455256fa2751126b9908c3d25f7a7ff2e3bc608f56d7a8ddf8f8
PRJ-HWY,P02,L06,6,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.206778,22.727273,24.340466,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,64053cb4406e47360663d98cc79ab5f4f6adbf76105bf0f49fa5bb8669af8154
PRJ-HWY,P02,L01,1,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.182297,18.0,18.16,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2e15afd8368dcbfd670fab78b746b8b8091295dc1d39ac84f25ec8853f823fca
