project_id,period_id,period_number,period_start,period_end,status_date,status_day,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,1,2026-01-01,2026-02-27,2026-02-20,50,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,99b739c3fbfa0b6864fa31beb3f37c4921545e8037778682478dd39ad966393f
PRJ-AIR,P02,2,2026-02-28,2026-04-27,2026-04-11,100,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5c0be5b9ddee9d2f8aca4d5e6c4450b84711b6994957f891c426422795b2e097
PRJ-AIR,P03,3,2026-04-28,2026-06-24,2026-05-31,150,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a24f302c48e0c16e24428e025f8463d95af1605b23c79c56437061e7e9e0bbf6
PRJ-AIR,P04,4,2026-06-25,2026-08-22,2026-07-21,201,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,317835aba883521db5c8b7bc9a8cd519a5450e3cefffbdae03f13575d0716b6c
PRJ-AIR,P05,5,2026-08-23,2026-10-19,2026-09-09,251,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0537a9be8a8fd37b62e22f6ccd83d298ba29397f5750e4ae3130cdf9d99e108f
PRJ-AIR,P06,6,2026-10-20,2026-12-17,2026-10-29,301,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,da8284518925b144805db8a8d009d09c40b7ca32b5efcf760d03e7ef31ac9309
PRJ-HWY,P01,1,2026-01-22,2026-03-13,2026-03-07,44,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,12e14712f475728c71f85d34aab44a1ceba14f4ebbaddbf9cbe1d7298b6fd876
PRJ-HWY,P02,2,2026-03-14,2026-05-03,2026-04-20,88,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b19552599995daaea97b0e89919b23331340162efb9fc5bd86b8ac0f615138ff
PRJ-HWY,P03,3,2026-05-04,2026-06-23,2026-06-03,132,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,54d2c602132fba81142ec873e4df64fbda9a6d84b40c74eabb0db4b83426eac4
PRJ-HWY,P04,4,2026-06-24,2026-08-13,2026-07-16,175,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,002bb9d6031d4b81c97837cee6adab16f3eca843db9dc52df02a8c5c67fc805d
PRJ-HWY,P05,5,2026-08-14,2026-10-03,2026-08-29,219,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8e9eb6e5ad7261349359835e0e7a74de8a6a02580323bcefdc9b1cf9b2a785a4
PRJ-HWY,P06,6,2026-10-04,2026-11-24,2026-10-12,263,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b8915603e90e2993765ec5f27caa42e575c6391d344662107ca828b8ac428abe
PRJ-HSP,P01,1,2026-02-12,2026-04-09,2026-04-02,49,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b75abab11cc66085461a1d689c915c6c343f8a17d6f38db4b1aab4a81ee902c0
PRJ-HSP,P02,2,2026-04-10,2026-06-05,2026-05-21,98,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,65e5e473bc1e5f2f18128a6b603f3a72e0a751543648e47b318cd486562589b7
PRJ-HSP,P03,3,2026-06-06,2026-08-01,2026-07-09,147,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c61846f332773ce9777ca58e072072ff65ee80ac9d1d189413905f38343cb889
PRJ-HSP,P04,4,2026-08-02,2026-09-27,2026-08-27,196,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f3fa86f94d00c481d674bd03bf745a20d7c2bb0c9b2cff31e98e469b017b8785
PRJ-HSP,P05,5,2026-09-28,2026-11-23,2026-10-15,245,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d540e30f81187e44b66962fb9e7ffa693f72297b43124f0d9c6b91b51d5179ba
PRJ-HSP,P06,6,2026-11-24,2027-01-20,2026-12-03,294,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d502b116163075490d20b811a023de5a9386cca861ee56caf6d4b20b79e1dd48
