project_id,activity_id,activity_name,wbs_id,activity_type,baseline_duration_days,optimistic_duration_days,most_likely_duration_days,pessimistic_duration_days,calendar_id,resource_group,location_id,critical_chain_flag,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-A01,Notice to Proceed,PRJ-AIR-WBS-01,MILESTONE,5.4,4.324,5.4,6.996,CAL-5D,DESIGN,LOC-01,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8337d31dc3654915ec60cbed37615a26f300eedd35b294416d01e525c0bec3b2
PRJ-AIR,PRJ-AIR-A02,Design Release,PRJ-AIR-WBS-02,TASK,22.5,18.999,22.5,30.68,CAL-5D,DESIGN,LOC-02,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6c48a1264a37dd629c3395b40ee8bc826fb64fd9f28332e236047d73e287826e
PRJ-AIR,PRJ-AIR-A03,Long-Lead Procurement,PRJ-AIR-WBS-03,TASK,37.8,29.22,37.8,48.696,CAL-5D,PROCUREMENT,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e25679743c15b1ffba277dd70caf4645253a00f577709174f392f0246ecd2441
PRJ-AIR,PRJ-AIR-A04,Enabling Works,PRJ-AIR-WBS-04,TASK,21.3,16.166,21.3,26.601,CAL-5D,PROCUREMENT,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5b7b053ea45b8cac64283250c4c188c506b1eef3446988dd7b4a98103bd18c34
PRJ-AIR,PRJ-AIR-A05,Foundations,PRJ-AIR-WBS-05,TASK,33.5,25.938,33.5,43.157,CAL-5D,CIVIL,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2aa81c0c6bcafddaa8fbfa29b6829d0a5aaf71437c7efd9e1e6066d0186bf99b
PRJ-AIR,PRJ-AIR-A06,Structural Frame,PRJ-AIR-WBS-06,TASK,48.3,38.473,48.3,62.086,CAL-5D,CIVIL,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fffbc620ad8aacbc588bc2996a1eab0ca7fdfaf2df519c0484057e6b9a0a7024
PRJ-AIR,PRJ-AIR-A07,Building Envelope,PRJ-AIR-WBS-07,TASK,36.0,28.096,36.0,48.325,CAL-5D,STRUCTURAL,LOC-01,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2dcbc4cdefe97c54d63b78610dbf07ee07de8edf489540a4a3a741364736d8d4
PRJ-AIR,PRJ-AIR-A08,MEP Rough-In,PRJ-AIR-WBS-08,TASK,47.9,36.703,47.9,58.076,CAL-5D,STRUCTURAL,LOC-02,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a1a89e2feca460e7ab3fa954bb71b1c7ec3d6f4f6992f315ec22c3aca7e21f32
PRJ-AIR,PRJ-AIR-A09,Baggage Systems,PRJ-AIR-WBS-09,TASK,35.4,27.447,35.4,45.642,CAL-5D,MEP,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e3194b23f20b6f0283afa185164c04379492d2ec6aa8f3a6e98cf2c884bbde7e
PRJ-AIR,PRJ-AIR-A10,Interior Fit-Out,PRJ-AIR-WBS-10,TASK,44.3,34.128,44.3,57.153,CAL-5D,MEP,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7a8a482375bf5b8ecc3d549145e0a255604809cd1d44274401082991f8ff7e24
PRJ-AIR,PRJ-AIR-A11,Integrated Testing,PRJ-AIR-WBS-11,TASK,30.3,22.278,30.3,38.001,CAL-5D,COMMISSIONING,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,678580024bc08cd2ac975878b58705fd939499f1c87d2958e4a0a103e22dc897
