project_id,predecessor_activity_id,successor_activity_id,relationship_type,lag_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-A01,PRJ-AIR-A02,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ed37ab6f97b4772e4dc5c8f0f38f781e0e340bc2357ec6b88ad473bc1ec905bf
PRJ-AIR,PRJ-AIR-A01,PRJ-AIR-A03,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c3b1a6a649d6d8917c7513a6a8357a41d89caf7eb7398e9832488e8547c70387
PRJ-AIR,PRJ-AIR-A02,PRJ-AIR-A04,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ba9cd013ced572e5d78b07ec1b7c21a43314ac37b9130ceb90d093eb204a1b1e
PRJ-AIR,PRJ-AIR-A03,PRJ-AIR-A04,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,41a37af847377e0e3c6aaa621e537dd160c8c4518948ea1cd9d0fdc2f35cd772
PRJ-AIR,PRJ-AIR-A04,PRJ-AIR-A05,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e97f8241fe66a0b9b73ea3ae414d64e77c3ef27e822c6c4fe720e0d9b99b3816
PRJ-AIR,PRJ-AIR-A05,PRJ-AIR-A06,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d6ebddeec574a248ef9a8dffd929c44f6f9c2f4194844d969dd40c78aef570b7
PRJ-AIR,PRJ-AIR-A06,PRJ-AIR-A07,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2506844b12eab1929262f0b07ae89ccb6f6cf83e7c1b7f3acf16d310002a929c
PRJ-AIR,PRJ-AIR-A06,PRJ-AIR-A08,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,52bdc1cd3c176e62b207a4f0843934b55eb3d45244baea6edf0c9bf046961a76
PRJ-AIR,PRJ-AIR-A07,PRJ-AIR-A10,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,733a409597e7a536a0569cb33d027a4f282ded8b41f64b173f1e7462ca6e7f9d
PRJ-AIR,PRJ-AIR-A08,PRJ-AIR-A09,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cf6f0fc93143d6e4d5c7e05dcb3154abe8b400aa352d53689cf06072e10ee666
PRJ-AIR,PRJ-AIR-A09,PRJ-AIR-A10,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9c53d4ea0ebbc0d311c07730c15def28a01080bf74638c596b2a69caa51ee3a9
PRJ-AIR,PRJ-AIR-A10,PRJ-AIR-A11,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,21ad1c25afa95aa516b48c871c5812a754e7a92cf6d3fec1289c83563e97689b
PRJ-AIR,PRJ-AIR-A11,PRJ-AIR-A12,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2976d07f7109fce4e66dafc75c90d3419c10345de0b7b933e98ff8c9d8f34527
PRJ-HWY,PRJ-HWY-A01,PRJ-HWY-A02,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,45e4de27c7e398fb6d1ef41c5debe8a288f0f090e573ad52c0e614ac266bca72
PRJ-HWY,PRJ-HWY-A01,PRJ-HWY-A03,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f9f7d23a2537e6cf53e548c922b93aaab41cf980efcaf701bd80a4460dc45318
PRJ-HWY,PRJ-HWY-A02,PRJ-HWY-A04,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b1a0333832f0ce31247571b2411afa43d1b89c9cb661ed1c703c231f95d4655f
PRJ-HWY,PRJ-HWY-A03,PRJ-HWY-A04,FS,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d7e82b2ed0775f23cb60cd63b4fe158fb724ddb2b011ffa32310734943a295ab
