project_id,period_id,status_day,baseline_finish_day,current_forecast_finish_day,required_finish_day,schedule_margin_days,p50_finish_day,p80_finish_day,p80_overrun_days,probability_finish_by_required_date,critical_path_activity_ids,schedule_compression_index,monte_carlo_iterations,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,50,319,344.49699,351,6.50301,346.889606,355.374796,4.374796,0.6564,PRJ-AIR-A01|PRJ-AIR-A02|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.909176,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2096670c01d6ad55b7b361e1755dfaab3e955f87e1f3c5c517335399bf2373b0
PRJ-AIR,P02,100,319,344.282245,351,6.717755,345.780183,353.822816,2.822816,0.7076,PRJ-AIR-A01|PRJ-AIR-A02|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.90809,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c741c65b033cc1bf114b91e7a90954a9a1e519be9e89b338f39a8928b012aa2d
PRJ-AIR,P03,150,319,338.524606,351,12.475394,339.280075,346.186639,0.0,0.9312,PRJ-AIR-A01|PRJ-AIR-A03|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.906617,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3d4ded6966316cbb333816bdbcc30f42a06a89e435e7552ca8f6f8058d65091e
PRJ-AIR,P04,201,319,344.384606,351,6.615394,345.786236,351.542966,0.542966,0.7772,PRJ-AIR-A01|PRJ-AIR-A03|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.911707,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,26e2d08e5bdd734990eebbc8b7888ccfa2a5febc75f436a1237ffc7130fb4d03
PRJ-AIR,P05,251,319,342.582228,351,8.417772,342.60257,346.569828,0.0,0.9716,PRJ-AIR-A01|PRJ-AIR-A03|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.905214,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f761814d7827d3b2c01551992428963d108dea202fca863e949e4a9987510f5d
PRJ-AIR,P06,301,319,349.800115,351,1.199885,349.969523,351.787925,0.787925,0.6896,PRJ-AIR-A01|PRJ-AIR-A03|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.903045,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6b6d6069544982232a12d31c5af0a2591b6f97ef89b58b0d59517a8865c56af3
PRJ-HWY,P01,44,279,286.485187,307,20.514813,289.310618,295.735221,0.0,0.9888,PRJ-HWY-A01|PRJ-HWY-A02|PRJ-HWY-A04|PRJ-HWY-A05|PRJ-HWY-A06|PRJ-HWY-A08|PRJ-HWY-A09|PRJ-HWY-A10|PRJ-HWY-A11|PRJ-HWY-A12,0.96148,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,685d334bf9da1ecd12f4d0860fccde4d07bc9a200c08552a189409566d605681
PRJ-HWY,P02,88,279,289.279115,307,17.720885,291.473388,297.658562,0.0,0.9856,PRJ-HWY-A01|PRJ-HWY-A03|PRJ-HWY-A04|PRJ-HWY-A05|PRJ-HWY-A06|PRJ-HWY-A08|PRJ-HWY-A09|PRJ-HWY-A10|PRJ-HWY-A11|PRJ-HWY-A12,0.96047,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,af8acf62ff6ada972b5d1f79d6fc6af4ffb239d5c2b144588a902d7361c11493
PRJ-HWY,P03,132,279,287.473774,307,19.526226,288.318115,294.20528,0.0,0.9976,PRJ-HWY-A01|PRJ-HWY-A03|PRJ-HWY-A04|PRJ-HWY-A05|PRJ-HWY-A06|PRJ-HWY-A08|PRJ-HWY-A09|PRJ-HWY-A10|PRJ-HWY-A11|PRJ-HWY-A12,0.958497,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a06a76a2c8a2da9b5713a011a374ae2bfa1ffb23ef1b5ef30c3d4f86ee08cf6b
PRJ-HWY,P04,175,279,288.372182,307,18.627818,290.061591,294.545181,0.0,0.9992,PRJ-HWY-A01|PRJ-HWY-A03|PRJ-HWY-A04|PRJ-HWY-A05|PRJ-HWY-A06|PRJ-HWY-A08|PRJ-HWY-A09|PRJ-HWY-A10|PRJ-HWY-A11|PRJ-HWY-A12,0.966751,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,91f4ebc366c8fb547ce60e2d9b6d2419ac841bbe3cf4df1455f9a5d87c1feed7
