project_id,period_id,activity_id,progress_fraction,actual_start_day,actual_finish_day,current_remaining_duration_days,forecast_start_day,forecast_finish_day,current_total_float_days,current_critical_flag,schedule_version,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-A01,1.0,0.0,5.4,0.0,50.0,50.0,-0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,837a9cc8084d5fcd669398e231590cd1240bd0495e4419b1557850ccd5d2d0ba
PRJ-AIR,P01,PRJ-AIR-A02,0.909974,5.4,,2.212946,50.0,52.212946,-0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,21cbe1fa73f29f72fc3f41ee720873a00afa32760c0839679e229c969644ac12
PRJ-AIR,P01,PRJ-AIR-A03,1.0,5.4,43.199999999999996,0.0,50.0,50.0,2.212946,False,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6c653745bc80130116836b760c61d01432f025d16dbb92ad56978a45a63c2e41
PRJ-AIR,P01,PRJ-AIR-A04,0.316293,43.199999999999996,,16.346927,52.212946,68.559874,-0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,78dcb111e3f2873c040c8b6e1f515bc34c7bf3c176a5b40c2e7f441177e67861
PRJ-AIR,P01,PRJ-AIR-A05,0.0,,,36.09625,68.559874,104.656124,-0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5d24273300cff06b7a42ab9c7bd5ee90bc3e16547c8cf83e37b76319f573d292
PRJ-AIR,P01,PRJ-AIR-A06,0.0,,,52.76775,104.656124,157.423874,-0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8df3994ddc1e0378978bec8dd12413b31ab74f0e6134a84269c53fc4ab5e3101
PRJ-AIR,P01,PRJ-AIR-A07,0.0,,,39.87,157.423874,197.293874,52.04125,False,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,48bec816c10f5737a15331a16ac023abd30a74c9e3b8bfded39c85949b775375
PRJ-AIR,P01,PRJ-AIR-A08,0.0,,,53.76775,157.423874,211.191624,-0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b9b32844f82995fe318664d3a6c432561f3c68030b73658d689ed073288d08ad
PRJ-AIR,P01,PRJ-AIR-A09,0.0,,,38.1435,211.191624,249.335124,-0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6cec6e5f54e4dd6ef05535d29be904633a50cf6a4993eeae8ff0ace3c86e20ef
PRJ-AIR,P01,PRJ-AIR-A10,0.046951,229.60000000000002,,46.125422,249.335124,295.460546,0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7f0cd60d6487dcb811289e9c10a2a207070691408b4a2b26be03c5e8d70fac47
PRJ-AIR,P01,PRJ-AIR-A11,0.0,,,33.55725,295.460546,329.017796,0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dac58532d7dfab59cf47fae037d79bcf2d165a514a44e110439f60137bbf1c24
PRJ-AIR,P01,PRJ-AIR-A12,0.00073,304.20000000000005,,15.479194,329.017796,344.49699,0.0,True,PRJ-AIR-P01-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3f022cdfd9fed369fe74817363be9abc7ca39dfb273de2e0f634ff5b70ee42df
PRJ-AIR,P02,PRJ-AIR-A01,0.945546,0.0,,0.31684,100.0,100.31684,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6c3a2d3562bf20d3a727f99392c283e98cf686e66167d24072ff1309ea7d1f1e
PRJ-AIR,P02,PRJ-AIR-A02,0.949332,5.4,,1.245487,100.31684,101.562327,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c49a3fd785e5e51ed7d192d61348d6c37e797f30dbcb03156e7ff48852cbde8b
PRJ-AIR,P02,PRJ-AIR-A03,1.0,5.4,43.199999999999996,0.0,100.31684,100.31684,1.245487,False,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ed6744c371a4e0004d2c3d544962ac4c306d94d1bc73163ae232372887483e08
PRJ-AIR,P02,PRJ-AIR-A04,0.990628,43.199999999999996,,0.224074,101.562327,101.7864,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5c748da6d47b7bda4316f4d286c947386a0581f257068c1a2d2da9f47fa0c7fb
PRJ-AIR,P02,PRJ-AIR-A05,0.922886,64.5,,2.783531,101.7864,104.569931,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ecfede0c7e969a593f0e4ec6974f7980445204192d44a4745112d92809d5f745
PRJ-AIR,P02,PRJ-AIR-A06,0.006259,98.0,,52.437485,104.569931,157.007416,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,036fb6ecf374354ab63c867903f3c44a6c473c6a9774c87342cc92adcb0c7f89
PRJ-AIR,P02,PRJ-AIR-A07,0.0,,,39.87,157.007416,196.877416,50.798463,False,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b3c13324a47371b711e904a2744033520b2c695707c59c588174c0ab60150666
PRJ-AIR,P02,PRJ-AIR-A08,0.01412,146.3,,53.008542,157.007416,210.015957,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ea5d2a4a7245ef6753325d92d5009b49279b56632588804cf3b685921339826d
PRJ-AIR,P02,PRJ-AIR-A09,0.012678,194.20000000000002,,37.659922,210.015957,247.675879,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,18454408becd68af190888648b3b6f64ce65c4d90ef301e0513ebf3e1616661b
PRJ-AIR,P02,PRJ-AIR-A10,0.002593,229.60000000000002,,48.272247,247.675879,295.948126,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c94ba3439d9e86a318d2d2798e62a85a0896b3bbd596df7ecd853ec4cce6300b
PRJ-AIR,P02,PRJ-AIR-A11,0.007417,273.90000000000003,,33.308351,295.948126,329.256477,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3cf8c04e5b2459fb29f75296bbf17796d5d8c92dfc4b026d0c21c05d9292ad7b
PRJ-AIR,P02,PRJ-AIR-A12,0.030001,304.20000000000005,,15.025768,329.256477,344.282245,0.0,True,PRJ-AIR-P02-V1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6943b18e86216703c491b641a8a044b1d85d6c25e5730008990de80cd2ec6c88
