project_id,conflict_id,document_a_id,document_b_id,clause_a,clause_b,discipline,conflict_type,review_status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-SC-01,SPEC-2,DRAW-2,2.1,D-2-001,CIVIL,MATERIAL,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c54fdd0c6ae77c63104b280262f79dd1b48bbf28820c2cc0aa3619169202ef3b
PRJ-AIR,PRJ-AIR-SC-02,SPEC-3,DRAW-3,3.2,D-3-002,MEP,SEQUENCE,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,727b2d08e302c28d3105b5a437894e422f0c5254f56336b94a5e58521d9239f1
PRJ-AIR,PRJ-AIR-SC-03,SPEC-4,DRAW-4,4.3,D-4-003,STRUCT,RESPONSIBILITY,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,375edd57ad7b7b239d041d5597b2b2392acde5c5a24105a0712a0b31383cd98a
PRJ-AIR,PRJ-AIR-SC-04,SPEC-5,DRAW-5,5.4,D-5-004,ARCH,DIMENSION,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b119aa8ea7710ed928cfa9706e72248177be9135cf72dfdf73e92c83f93909b3
PRJ-AIR,PRJ-AIR-SC-05,SPEC-1,DRAW-6,6.5,D-6-005,CIVIL,MATERIAL,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7bb524ea152a955c5da507108c98f5ad85619d4ec7fb6b5e573e4066a92d6bf0
PRJ-AIR,PRJ-AIR-SC-06,SPEC-2,DRAW-7,7.6,D-1-006,MEP,SEQUENCE,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,351f844e88ecc4e93fa3c695f84591169f53dcf5468b663461df8622f0f978b9
PRJ-AIR,PRJ-AIR-SC-07,SPEC-3,DRAW-1,8.7,D-2-007,STRUCT,RESPONSIBILITY,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0cb40a2ba2bc7aeba773cbc27eb6d96a132b74762f811d8be13a184558764bc4
PRJ-AIR,PRJ-AIR-SC-08,SPEC-4,DRAW-2,1.8,D-3-008,ARCH,DIMENSION,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ca87ef8b61ffebeb7458380173277af40a3725dc84ab8e23034ea9656b6da45a
PRJ-AIR,PRJ-AIR-SC-09,SPEC-5,DRAW-3,2.9,D-4-009,CIVIL,MATERIAL,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,17d3be99b2e0b553f49ff9309f4260b383d0966913ade9164a003ea06cd58015
PRJ-AIR,PRJ-AIR-SC-10,SPEC-1,DRAW-4,3.10,D-5-010,MEP,SEQUENCE,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6b14b46bb740b01da19fbc38f03727d3961a0fd7822aa036d48a039830fff838
PRJ-AIR,PRJ-AIR-SC-11,SPEC-2,DRAW-5,4.11,D-6-011,STRUCT,RESPONSIBILITY,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9a655998c6b3bbe8806a9441339fc6e35d4153d98d1342b0ffa0f765c65be27e
