project_id,parameter_name,parameter_value,unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,error_rate,0.041,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,33a4ba94dbfdcd23ddb9f8693a50f4494021dc0524dc1273a5ea1a17df2a673b
PRJ-AIR,base_productivity,21.34,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,baa66f3b777157a11a47924eae420fceb65473ece91bc410f8d5972f994ab7e3
PRJ-AIR,feedback_gain,0.019,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ad2dcc26f478f2e93b914dcb90779b98a3f0dc3929ef590916b4a41582999661
PRJ-HWY,error_rate,0.0374,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dd0046e6ff9786da0a79ac9d8785c3974d476a00fe7b0783c7adf19f9e71f113
PRJ-HWY,base_productivity,21.736,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8c7217f9d362bd29efbdb0529313635c043918e8a6c34729dfd3969b2229a92e
PRJ-HWY,feedback_gain,0.0166,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,88deec9f1a824ff7d90408cf9ed0b6d2816870ccc950c3b3a3309ae96ae1200a
PRJ-HSP,error_rate,0.042800000000000005,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,11fdb77d7b52929563f909c3acf3a675df8a73239fa3304cc479d27cf64b59b5
PRJ-HSP,base_productivity,21.142,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,663435b5c2e2f6ff5a61207a10508ea6684be79ce1fe2d65353a6561d6a920db
PRJ-HSP,feedback_gain,0.0202,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9df1559a04b67ea0359c595d872dfd2dea85be0ec1f81fe125fa745c11c6c9f6
PRJ-WTR,error_rate,0.035,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6df56cd210f74c7fea607ce9cffd26b2067338925bade4347eac055378cc4548
PRJ-WTR,base_productivity,22.0,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cd9396e2b8b2b0bc19e4bf6521485cb5dae11dd41099ca30249bd016cabde740
PRJ-WTR,feedback_gain,0.015,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3bf10be7a5fd17d5443fdf22cf9b7bc2b659621960fdcf424ab40927dcf897b1
PRJ-RAL,error_rate,0.0398,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0eeaf8892e9105318a03252c4d9bf67f911458150f1344cc3af094090c488c89
PRJ-RAL,base_productivity,21.472,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,38b8e1a4fd7b7044f38dda78bbf9fee08f48cc0e58bf0d31ec3732acadee96f0
PRJ-RAL,feedback_gain,0.0182,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1956ff0d0c9fbdc6ff5c84d5fd5b0f76c60b5a6ea493edfad9b39a0307cdd81e
PRJ-DCT,error_rate,0.03560000000000001,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c80a90dba03915937c1db5e5e9d7038b7a9dea5abccae4ef45e79a7fef921f80
PRJ-DCT,base_productivity,21.934,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,56f68ad98d5a03c9f3a59e2d909c3435737e98c5b852104cabc8bff42858487c
PRJ-DCT,feedback_gain,0.015399999999999999,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e245c49fa8c8738b53ebd9c9568bc78e9ee6eab312b3766ed1791ead61cb386e
