project_id,weather_event_id,event_day,weather_type,threshold_exceedance_index,normal_allowance_days,lost_work_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-WX-01,340,HIGH_WIND,0.356386,0.5,0.57,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3512b7f3aeae7da739c7fa7935a9dc3ee69c0290ccd9fe5daff404acb0fbc0c3
PRJ-AIR,PRJ-AIR-WX-02,49,EXTREME_HEAT,0.611569,0.5,1.22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4541db0b1e14cfac187cc8ff5f40670c5d0724e0548fa08a7fe10855f3748b56
PRJ-AIR,PRJ-AIR-WX-03,322,SNOW_ICE,0.390487,0.5,0.47,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1fa6cd5ee58055a0d46d046e6d1b3fb6af85c80fbdbf9470da7cd11968213fd1
PRJ-AIR,PRJ-AIR-WX-04,209,HEAVY_RAIN,0.450145,0.5,0.72,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d72ae0cf2058a95b00280d1cefd3abf17e927cb4be694f940531c6885de2c041
PRJ-AIR,PRJ-AIR-WX-05,226,HIGH_WIND,0.525416,0.5,1.05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8027d58c03f7388082e76ac0b186e833e1700d034029ba37d4597d2afede5b3a
PRJ-AIR,PRJ-AIR-WX-06,59,EXTREME_HEAT,0.418961,0.5,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,43fa840715441a1936703b3221b82c7d7c974bc6680dd6e83a014a1768a69ea8
PRJ-AIR,PRJ-AIR-WX-07,23,SNOW_ICE,0.888431,0.5,1.42,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,94c8499cf5d1f2d596ed3e3ef8d94c47614b63628b85e909360b58c61463c6d9
PRJ-AIR,PRJ-AIR-WX-08,242,HEAVY_RAIN,0.690402,0.5,1.38,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f55df4c7ea224eaed0441ba20316961931ea03301fbf62820bec7aa682427c32
PRJ-AIR,PRJ-AIR-WX-09,261,HIGH_WIND,1.10514,0.5,1.33,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,25d62d2c97c7103680e842aadd4e00778d485ad83d838e608bc0557889dcf7b1
PRJ-AIR,PRJ-AIR-WX-10,180,EXTREME_HEAT,0.311412,0.5,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,499b9ec4971abfea95c4ba93d70038195f91ab17ed3ac2ac5785fc7e7a65c98f
PRJ-AIR,PRJ-AIR-WX-11,77,SNOW_ICE,0.819402,0.5,1.64,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,db03cbacb030fdaa27cbae3d794719c25e732a6ff5c05071b8800503e526ae35
PRJ-AIR,PRJ-AIR-WX-12,348,HEAVY_RAIN,1.355068,0.5,1.63,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a1f93c8f78d0333f528b28fe81e9a4e70111c7c9211a3f5e2c3a6ca30b9cc5d0
PRJ-HWY,PRJ-HWY-WX-01,62,HIGH_WIND,0.384431,0.5,0.62,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,116d588e73aa4e519675afb515222482cb9b3d3326591f93f5f342bfa3de35c1
PRJ-HWY,PRJ-HWY-WX-02,256,EXTREME_HEAT,1.414551,0.5,2.83,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3c1d1fb09f46a17968f5fcdb204333583a884d89fcdf73d34f535694e879bdec
PRJ-HWY,PRJ-HWY-WX-03,240,SNOW_ICE,1.599858,0.5,1.92,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8b96140ddf3156d8ee11c2388fbe1923ad960d58e17191e5357f878cb0b30956
PRJ-HWY,PRJ-HWY-WX-04,32,HEAVY_RAIN,1.347658,0.5,2.16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6b3da07226b35ffda246ddc402af3cd1e1027f8b98b41cb0e8aced1560867f03
PRJ-HWY,PRJ-HWY-WX-05,270,HIGH_WIND,1.294167,0.5,2.59,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3d0bd66ff6ab984ae240887c6c546f84ce6d17d2701fd2493186a0e4055638d2
PRJ-HWY,PRJ-HWY-WX-06,72,EXTREME_HEAT,1.408414,0.5,1.69,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0f9c71f67e136bddc6f7326300ab8401b09ee2a535b77ae703cb5c93fd5cc4a0
PRJ-HWY,PRJ-HWY-WX-07,86,SNOW_ICE,1.521682,0.5,2.43,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7f48b7035de1c3887f9801c7d0e7a6e452cf58ba64aab3d9eabf418f3aec25be
PRJ-HWY,PRJ-HWY-WX-08,122,HEAVY_RAIN,1.269157,0.5,2.54,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cb36dfdb8c1c4597d19d4b8a37238bc1b8c88ceb31d036ed23848cf9368b42a7
PRJ-HWY,PRJ-HWY-WX-09,83,HIGH_WIND,1.580986,0.5,1.9,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1cd325a0cd69622571409eab3194fcf76498c7e10c1ad30634e287480c14a3f7
PRJ-HWY,PRJ-HWY-WX-10,63,EXTREME_HEAT,1.347875,0.5,2.16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8edfa6c02e77bcff61c4cc5528e6cb6669336f8bc5111ab8f174f5e0f146d1d4
PRJ-HWY,PRJ-HWY-WX-11,185,SNOW_ICE,1.13503,0.5,2.27,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4953ef42d506f263e18e906986fef30d86daa93e0a371d618f596eb9fd691cdf
PRJ-HWY,PRJ-HWY-WX-12,84,HEAVY_RAIN,0.922798,0.5,1.11,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,11ddc58968b86cc6a0ddea5b0aa0909ede77d7ac2e974ca071aaaf6c7b782249
PRJ-HSP,PRJ-HSP-WX-01,10,HIGH_WIND,1.092705,0.5,1.75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2888b47e428ef9247bec4c67ea63d1d185f0723231f7f66174b01acf7e8c4c7a
PRJ-HSP,PRJ-HSP-WX-02,150,EXTREME_HEAT,0.454197,0.5,0.91,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d58f76e109c33a48e1f8e863b46281a0936fcd528ce9d68f0efe92c3c68be581
PRJ-HSP,PRJ-HSP-WX-03,258,SNOW_ICE,1.304943,0.5,1.57,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4f5a70384cf861e81931a2c103454b3b807d9e60055bdb6b8d7b4c6fdc8d4aec
PRJ-HSP,PRJ-HSP-WX-04,257,HEAVY_RAIN,0.881562,0.5,1.41,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0dc7d5d762d7d5c441947ce2b1ffe7fc147c2817d0bdcae5a6847ca509074ee4
PRJ-HSP,PRJ-HSP-WX-05,280,HIGH_WIND,1.122572,0.5,2.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d36279855be4fc9318755e766f56d45b3e670a2a19a50a2eabeb08e233cf19db
PRJ-HSP,PRJ-HSP-WX-06,289,EXTREME_HEAT,1.46015,0.5,1.75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8f95b7e41a41c910a036ff60161d8a9c0d40923acf9a712ecb4000082472efc9
PRJ-HSP,PRJ-HSP-WX-07,217,SNOW_ICE,0.824,0.5,1.32,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,45605e8cb5644325bd60413199c32074264d6c42f179b547d314811b9d5fa431
PRJ-HSP,PRJ-HSP-WX-08,69,HEAVY_RAIN,1.07728,0.5,2.15,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4cacc09513cfa16e223e020525cfac8f8c531a86a69995303504535bd9f55a17
PRJ-HSP,PRJ-HSP-WX-09,337,HIGH_WIND,0.298215,0.5,0.36,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c8630b052ecc690451f489dfa5e69d585dfc676fd1a77868afce7ad1d1fcfea0
PRJ-HSP,PRJ-HSP-WX-10,136,EXTREME_HEAT,1.053057,0.5,1.68,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1970b8d56fb011b5bef1f546d305bd2422dac4c5ac0420d9ef7d797fe3e81895
PRJ-HSP,PRJ-HSP-WX-11,223,SNOW_ICE,0.350766,0.5,0.7,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2f26da3cc88c634f3dfc02f87828f511e828544483884ffafd6ebaf663bd2eba
PRJ-HSP,PRJ-HSP-WX-12,82,HEAVY_RAIN,1.240564,0.5,1.49,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5c6e452086addd226768174a44dc24164fcbb1e4a0c2ef12ba61b07a7fb359a9
PRJ-WTR,PRJ-WTR-WX-01,180,HIGH_WIND,0.557759,0.5,0.89,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4d8a2577c6aaf0655fcd05acec1d8b8619d317c8849bed5d5b4239bee13cbc42
PRJ-WTR,PRJ-WTR-WX-02,186,EXTREME_HEAT,1.031938,0.5,2.06,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9fdfff4d617c7f01696410ff7a624d3b27e318463105e30df378f5f673103405
PRJ-WTR,PRJ-WTR-WX-03,57,SNOW_ICE,1.537519,0.5,1.85,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d7698c3dd91b7ce940ba6b74f32b8dd97a2de00b22725b6978e92ef3333b42f1
PRJ-WTR,PRJ-WTR-WX-04,10,HEAVY_RAIN,1.265475,0.5,2.02,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,39b39961c3f8195ddda1b3c75c48aeca170be2ea1bffb61687a768c9bae955ef
PRJ-WTR,PRJ-WTR-WX-05,59,HIGH_WIND,0.420998,0.5,0.84,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,609b11209cb03dcaf166bf65e1178cd187a1c47803d220d148e89e82588f5ae0
PRJ-WTR,PRJ-WTR-WX-06,180,EXTREME_HEAT,1.106987,0.5,1.33,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ff2b7c577233c4873d8f6a3a754156379bc5304d5ecd5079d224420b524349a7
PRJ-WTR,PRJ-WTR-WX-07,115,SNOW_ICE,0.728569,0.5,1.17,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0ccadc57cce2d1a3797733e2200d01551627b4966d58f8191df45b32783cce89
PRJ-WTR,PRJ-WTR-WX-08,134,HEAVY_RAIN,0.810711,0.5,1.62,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6095629c61284218e5dfba9cc36c499db5d9faaf99371ed8cffcfed95ab66b29
PRJ-WTR,PRJ-WTR-WX-09,173,HIGH_WIND,0.816762,0.5,0.98,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8861ab716997c04f56adcbb258c88e255fb258bf257187e7c7aa3592b2094ace
PRJ-WTR,PRJ-WTR-WX-10,242,EXTREME_HEAT,0.47167,0.5,0.75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1cb843efeb9558f52289ede13ee3c99c9296eeb071dd1ce203ccb4bbf9f03c7d
