file,field,pandas_dtype,role,description,unit
module_asset_map.csv,module_id,float64,identifier,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,module_name,object,attribute,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,category_number,int64,attribute,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,category_name,object,attribute,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,synthetic_package,object,attribute,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,primary_files,object,attribute,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,proposed_owner_action,object,attribute,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,data_origin,object,provenance,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,programme_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,package_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,generator_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,random_seed,int64,provenance,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,not_for_empirical_validation,bool,provenance,Synthetic programme field; see package README and module map.,as_named
module_asset_map.csv,record_hash,object,integrity,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,project_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,agents,int64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,time_steps,int64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,service_level,float64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,average_lead_time_steps,float64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,disruption_events,int64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,data_origin,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,programme_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,package_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,generator_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,random_seed,int64,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,not_for_empirical_validation,bool,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/abm_ground_truth.csv,record_hash,object,integrity,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,project_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,weather_event_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,affected_activity_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,critical_at_event,bool,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,productivity_loss_fraction,float64,attribute,Synthetic programme field; see package README and module map.,0_to_1
package_A_project_structures/activity_weather_impacts.csv,ground_truth_schedule_impact_days,float64,analytical,Synthetic programme field; see package README and module map.,day
package_A_project_structures/activity_weather_impacts.csv,excusable_flag,bool,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,data_origin,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,programme_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,package_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,generator_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,random_seed,int64,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,not_for_empirical_validation,bool,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/activity_weather_impacts.csv,record_hash,object,integrity,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,project_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,time_step,int64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,agent_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,state,object,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,demand_units,float64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,delivered_units,float64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,inventory_end_units,float64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,effective_capacity_units,float64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,lead_time_steps,int64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,data_origin,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,programme_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,package_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,generator_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,random_seed,int64,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,not_for_empirical_validation,bool,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agent_state_history.csv,record_hash,object,integrity,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,project_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,agent_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,agent_type,object,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,base_capacity_units,int64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,base_lead_time_steps,int64,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,reliability,float64,attribute,Synthetic programme field; see package README and module map.,0_to_1
package_A_project_structures/agents.csv,decision_rule_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,network_group,object,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,data_origin,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,programme_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,package_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,generator_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,random_seed,int64,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,not_for_empirical_validation,bool,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/agents.csv,record_hash,object,integrity,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,project_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,period_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,buffer_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,buffer_type,object,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,chain_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,original_buffer_days,float64,analytical,Synthetic programme field; see package README and module map.,day
package_A_project_structures/ccpm_buffers.csv,remaining_buffer_days,float64,analytical,Synthetic programme field; see package README and module map.,day
package_A_project_structures/ccpm_buffers.csv,chain_progress_fraction,float64,attribute,Synthetic programme field; see package README and module map.,0_to_1
package_A_project_structures/ccpm_buffers.csv,buffer_sizing_method,object,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,data_origin,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,programme_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,package_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,generator_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,random_seed,int64,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,not_for_empirical_validation,bool,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_buffers.csv,record_hash,object,integrity,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,project_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,period_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,project_buffer_consumed_days,float64,analytical,Synthetic programme field; see package README and module map.,day
package_A_project_structures/ccpm_ground_truth.csv,project_buffer_consumption_ratio,float64,analytical,Synthetic programme field; see package README and module map.,0_to_1
package_A_project_structures/ccpm_ground_truth.csv,buffer_to_progress_ratio,float64,analytical,Synthetic programme field; see package README and module map.,0_to_1
package_A_project_structures/ccpm_ground_truth.csv,buffer_exhausted,bool,attribute,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,data_origin,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,programme_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,package_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,generator_version,object,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,random_seed,int64,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,not_for_empirical_validation,bool,provenance,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/ccpm_ground_truth.csv,record_hash,object,integrity,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/claims.csv,project_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
package_A_project_structures/claims.csv,claim_id,object,identifier,Synthetic programme field; see package README and module map.,as_named
