reference_project_id,final_cost_usd,final_duration_days,cost_overrun_pct,schedule_overrun_pct,outcome_class,known_anomaly_label,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,269521859.71,744.019,0.221373,0.203914,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1cce7d1bec0fa65dd366620093ecde906e5de5edc401b1ca0d070df0e748a7b5
REF-0002,247710186.22,623.235,0.266047,0.162751,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,07a1706f1423f20e0ef9c145352648c40e47ef7e922c8109e7f66e1cb0e483b9
REF-0003,273469374.73,750.956,0.09955,0.190104,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c3411904fa727a9414eab00e4970bf89f8575549671d80b84f8c42583bdb057d
REF-0004,184665577.02,550.347,0.155569,0.163525,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5194520c667b4494567021a309fe0957d47b2d1eb59b28da07f7860ab15adf0e
REF-0005,254159770.27,645.224,0.113963,0.141989,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,60fecb299867f0acd96d2a10064beed216af806edc4966095643e9b8f5de0473
REF-0006,204728503.89,626.576,0.066934,0.060196,GREEN,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b7045d0d029e1989e18207df38f1d68f7fe66d1f9bbee6a2e28f63aafabe7b29
REF-0007,227901902.59,634.881,0.165789,0.25719,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2d8424f1624640a9e323d0af105fa38f8090819b9b989d09452f52be0232ddb2
REF-0008,181297261.24,751.501,0.444311,0.439657,RED,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c3fca0c504fa1d4e025e3b75213e1b08b67920bad7e83e7d1ece1377468f416e
REF-0009,347436203.81,848.442,0.314613,0.281635,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,623a5498fe927a067ce3a06ce11c4fa4a808fb5ccfabc75a4892c9e712f678ca
REF-0010,185164565.55,532.627,0.085247,0.165486,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e0f3b1be3aacd5d4a81404fa9baa3bacb1a7e5a23bd3b4bc680acb11efcd37eb
REF-0011,223788342.77,512.932,0.151488,-0.009784,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,974548402e8aa8f64a2518fa05f7e7c0a6d88815ac6521a9fab40b3dd08fff9e
REF-0012,200357361.68,629.713,0.242712,0.147019,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,350d6967756b080f2c61caa8a8e05a8698876503ea82d2c55a18d2afe68531a5
REF-0013,233819243.12,629.26,0.235779,0.142032,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0b7abf2d7b1314ada93a8394c936e3430135d04264e10c68fb251a15d1b8346e
REF-0014,238226786.17,583.13,0.240439,0.143393,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7ebfdc4bce333e2817460118d10a5c1251b75e863b9320ed0f2d63561b60c4a2
REF-0015,308901464.16,687.018,0.185512,0.154652,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b86e41c2829fb0462abe789e1c693698a69d86657c8249027f71e12fcf3fb1b5
REF-0016,184694968.39,517.898,0.133851,0.338238,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c6d3080c2fde968fbdc63a38aa15b5d4a5d475797b42a6bb8513cee149a8bc29
REF-0017,310331357.09,942.014,0.458591,0.516931,RED,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a8f63fb5ea2b7c1a87735e2480040d0fc37ec42df3a676cb017665088a513201
REF-0018,219096704.98,708.825,0.055489,0.109272,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7df36c43e2ee1804500bd41b0faaa88ac42baa84806123dcd2bb82d7b997503e
REF-0019,210097479.04,694.66,0.045186,0.238253,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,93b9610ef8195e4dd8b4389968c4e333d014d435eb84d70556be67b9d62ed79f
REF-0020,230090209.66,745.582,0.193876,0.140033,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3baf3cc833818d8363d38983975a2d6478ad0c41bc32908b225a5e68276596ab
REF-0021,263751168.51,680.356,0.076726,0.161018,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4b48d0a76e5bb6b3e7a45b7f75da1b9940f16437124cd6e64ec52d668d81dcb8
REF-0022,190031188.1,656.889,0.094113,0.265681,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0270eae3366b217f0e3c3af8d84682d21fa062fc34edcd52e1ef9d72fab07f74
REF-0023,272738809.49,690.281,0.166548,0.073532,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d4208d1a652b70651cc351738586c5b7fb5bca9235e43cd3ca8d8a83fc0aece1
REF-0024,231667957.73,563.988,0.180946,-0.014007,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,881a73b5a556a8007f3d792ac1d79c2c79f1bfdf9fcec074c0586bb08bff900c
REF-0025,220688373.59,759.995,0.200259,0.314871,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f1be305d5c0818819309749fd0adf69bbc5c22109b56f35953c57288a97fba36
REF-0026,204075329.23,704.718,0.217982,0.132988,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d113fe7d56e85c601e00c8478af71a2f5c5a6ba3e98cd154ef972fa2d1ef1c2c
REF-0027,257247546.13,758.539,0.224454,0.20403,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,75c5eb3a2968c60fcebb3e46bdcb42232499fbadd51cb2e778ff58eb29b0be6c
REF-0028,139883362.8,465.521,0.163359,0.193644,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,abc424bfd31c15e3386cf50d70396fbc5f1301e3f83908dc7f18876f10c1ec46
REF-0029,222904400.32,652.148,0.262776,0.183572,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,85446ad33a3564bb0cc0ea08a9f5582d137a3f28c09e98114585c840f042db48
REF-0030,177888181.15,668.444,0.108875,0.131039,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5142e9880cc65c3233d8304c3675096754bfacb892485f63a474fac37b52c1d8
REF-0031,175827302.53,637.624,0.115344,0.110843,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0fdd2633bd6ea3a196beb366d51cf0532f900e1cab7faf987b5fa2cf17d3d5c4
REF-0032,134165234.82,411.389,0.218442,0.142746,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2469880942fefb48dff2bf56083a652ed959fede4fde24cf392841567edd8316
REF-0033,230058599.0,726.678,0.111148,0.231657,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d1bb46ee4fe0c2f4af665a49cd9c99701f2b28ced5a37bb416c499fcf83917c1
REF-0034,150987011.33,482.7,0.121892,0.218938,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,97c647a2c979b9e918cf576098c3625cc921b09be5cdf1943c7cacd7a7e29a65
REF-0035,197889670.27,684.717,0.146322,0.116994,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,24faa63c5982c73cbd7dd4ae303fe2d23e766d010acfc8b927a06476456eed9f
REF-0036,193972050.82,621.672,0.141913,0.020807,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,269821fb5a56f7a153cf4b65eabfe2f2fe722fd5f7f2d55bb5018bb864b15352
REF-0037,212033395.68,738.776,0.154069,0.133092,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2157e4dbe2d6fcdf5e83880b5dd101642afc118531ee96fdb559f4e72bcf5d22
REF-0038,161449506.99,678.37,0.21822,0.171623,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,edc0a0bf2d4cc0841d310d63539b61530bc7a5b051cbd4e7879bcf5a777f6e2a
REF-0039,196033455.26,502.545,0.14053,0.038316,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8eab4aa049e957ecac95c4148a5f2839bb07bc1a58dd9734ca0e794f423172cb
REF-0040,202122583.51,729.718,0.326326,0.222309,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,61816ea4c413abf0545b5f733cddfba2917e6c34560ab7598998733b2f4a858f
REF-0041,195851352.74,503.036,0.195628,0.148485,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bd34f2e610b9c63c1b2d87921c9bce9483d137d02244e4734556965aca78511f
REF-0042,199732368.31,685.498,0.236835,0.217581,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e1fb84e75229e670d7ca2c87fe4526223e838c1fb5b9e9ab2cacf844026be6aa
REF-0043,283531001.05,841.537,0.740169,0.411976,RED,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,18e7fcd2cc6ead4275ed73e8fcd4191237aa1a63549aac10303e239af7739fdc
REF-0044,89462817.05,581.588,0.13829,0.174925,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,066a42cf698187c6ba61abf50c05c1023ab972ece38273c307ec8757ef899981
REF-0045,277965870.31,723.103,0.196066,0.071264,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9574f72fe501d4d7828000a18fe731266207fcab8dc6621a97736dd6717ad07a
REF-0046,174317648.69,634.06,0.28678,0.224055,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,36ec51dac4a844e0b3d5b1f67de78a1ab6306d2b862b5258a6e2d5c4a9db2b32
REF-0047,233288370.12,639.056,0.276876,0.240886,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1be284102f0e9d601549c20b34c7d861083fd18674a595c24d1fac5fb75a031c
REF-0048,209217473.55,737.415,0.094475,0.107229,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,73c40e2b49d79cb154209a578841ceeee5a53bf7dc97c2a74e2caa54332041f3
REF-0049,199317014.58,583.471,0.14639,-0.011066,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ae1b5657a587d48a46c9cdf974df8590cdea86efbde4c075b09c151b8958e721
REF-0050,163371998.21,670.515,0.157458,0.162071,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f7a49109039585f9fd9ba6d53b203126c7de7dd7196732d33803f2e8df35005a
REF-0051,323363336.96,1003.712,0.541654,0.588152,RED,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2cf2619afa37ffa2622de922a59cdc2e1c4d43a29032f04fc36a3890c7bbd375
REF-0052,112153473.42,383.86,0.104039,0.129,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3beff545eea53c58ae18747e7145d8348f077070808841808f59f2ff951f7076
REF-0053,221887103.31,554.478,0.247821,0.184783,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7ef4fd77b75ff4ad4d801a3dcf5ad27f8361f1508ea6ea38aec5da7738b55196
REF-0054,191979340.53,595.226,0.16417,-0.004639,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a332097da84d3b0fc7b11ba6d499a46c985e477ee3bf95810902a37fbb89218f
REF-0055,199109428.26,820.118,0.205245,0.314291,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b2805c3544ab11f3002779e6a33e8fbee42609897c9e40d04158afd0b9b5d271
REF-0056,145874237.11,509.361,0.146479,0.114575,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b2e4471fa30f29590fd8c01222324d5b7abdbe9dee591133d2747d79b6edb987
REF-0057,173818560.09,538.998,0.132279,0.134732,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1ac48d8f6ba9868a8d5baf93e5e4f00dd6ff73e820e2431a25c2a608876973d9
REF-0058,137779675.12,816.095,0.040916,0.364708,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,40ad88ea2f56f5a05462032997d55eb775faf5fcdbf1b9d390b31606c3a77ce6
REF-0059,156587166.54,579.611,0.052912,0.210043,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fbac783801551393f69f55a09aaf04371086fffc4c299b15d082578a8d6f08b8
REF-0060,312729939.89,1186.427,0.703622,0.712016,RED,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ac64ae22ab8a0c4b080b90a934e969c174f22c55ac3612dbb8e55f112a6e3823
REF-0061,207380234.81,734.443,0.271005,0.133399,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5ac3d049a5056f9d319152876ff096cf67b88cb0d79a2204755d9e22d5f0c999
REF-0062,145543972.28,543.288,0.144424,0.194039,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2a951703d8b3b5cf1d9fd4f981b3d3e344f6a0e3fb0b654d1bb0ed313b062612
REF-0063,221623252.61,758.921,0.144545,0.260666,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f7bde234dad0557e860d2ecba23b493c4d43551e357bf582231acc826cd0eeca
REF-0064,162621097.64,477.51,0.534087,0.473797,RED,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a52de89110fe4414799f37628ec664015240dab318f537cd001dca5bae6f4d7a
REF-0065,230606152.26,689.529,0.293823,0.233505,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1f908e85df0dd1ac67e3b668fde92de88bb558c494e1fea7c0c376baf52f14cf
REF-0066,153462993.72,634.686,0.118224,0.197521,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6d3056ad3087cc9d5b73091eb7a6a807e6b22cfc53b4f14f60c81e2011796045
REF-0067,212373395.78,668.254,0.157806,0.170322,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2cde33f647d27989ab001e96f37e3f5cf7b6bd6841fe1532551be172f3d811ac
REF-0068,160020371.25,598.636,0.149003,0.104495,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,863294d5d973e8b852ff9a0c321c49cdfb5ae415d7f07090859bd1c80371dccd
REF-0069,214447584.04,682.149,0.221001,0.192569,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f777e355d887b99c57d2e489eab937703c8e230c3aaf84cb82f5786092eaa384
REF-0070,128588782.7,411.493,0.194303,0.270039,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,556ee28725249d7998c651c93692b7f686d0cfaed8c362ed50391feac571b70a
REF-0071,172981848.56,578.185,0.183696,0.084776,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bf8c269b7eba83befa048a819cbbe239d633708b58f3516fb1c6c0c18221524d
REF-0072,211789954.14,630.35,0.149737,-0.094325,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,561eb41e44f52cfc443cba31e6c88f09aeea394f83dad682174873b4b51a09cd
REF-0073,268973159.38,769.583,0.261087,0.171359,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d9b3197ff60b18d3cacc919be16ccec68e877a021bc06f8d422615dd74b72a5e
REF-0074,253148927.81,843.041,0.28464,0.298984,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,41429ed3c064e85b7fdea80f3fcf9dada1c704a4cb3aa82392ddaa645815abf3
REF-0075,288665561.34,635.639,0.197937,0.02688,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,85b083b616783ba0b50298e4e65474ad339eb1034ea55b1a802fdd45848d3c78
REF-0076,211566533.34,536.879,0.171742,0.193065,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6edb677cee65f16eaf2676c7772f278a92820799457e028f750f0b8e48f992b2
REF-0077,277638169.36,743.982,0.292658,0.328539,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,67b7fb5ac094ec7cd9999a43de1444116675bf3c461458b1b769ad44ca237d41
REF-0078,155744123.7,570.888,0.016115,0.139497,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6a93758547655c869a6337d318d5ddae9b922a2b699495280d5a8a814fb92ef3
REF-0079,199505304.16,552.359,0.023106,0.076723,GREEN,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0b675ee761be312cf07a91c7d0c038b94166fd6db9f02be5aa018a0062a4be0c
