reference_project_id,period_number,progress_fraction,cpi,spi,document_risk_score,rfi_open,change_order_count,quality_findings,procurement_items_at_risk,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,1,0.125,1.047809,1.001908,0.214064,8,1,3,1,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c04906fc443371a724a948d932a24e610f1cbdca058d06b20a90cfc5aa7cad07
REF-0001,2,0.25,0.950606,0.975198,0.193765,1,2,1,2,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fb18fc3a3ba31fa810992c4e082da0c449e8d424b91e0995e49d5fa51eeb687c
REF-0001,3,0.375,0.911993,0.92048,0.254141,2,2,1,1,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b2802ef063616ea30b9161cbfe79eaacdab3bda2e3d00fc8f13cf04fa85445bd
REF-0001,4,0.5,0.938428,0.915285,0.201724,5,3,4,0,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,de130e907a156561ab8d26eb6ed5f0fbc1996f30ab645cd7cd2b0fcbab3b3c07
REF-0001,5,0.625,0.889475,0.89393,0.239477,9,4,3,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e9e0748f280c1666a0e52d827752aaf82bfe2fed6f60072b40b3fd3b5ce36d41
REF-0001,6,0.75,0.861493,0.884559,0.218802,6,1,1,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fcfd52d117183a41ec2921f0a4fffd5fa71475d263f332dd993b019fde89ed7b
REF-0001,7,0.875,0.888788,0.855045,0.283116,15,5,0,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dda6ff822433287859ed55bb2a18b8cc636260b9cd948f29dd752ef4fa85147c
REF-0001,8,1.0,0.798446,0.834427,0.246608,6,3,1,1,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,529295494851e23e57ec4e030c527b9de31cf7f129c80113ece209c0776608e7
REF-0002,1,0.125,0.982965,1.042095,0.180356,4,1,0,2,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3df1a4839171fa266e904184af64b6330d75b35710c0f7b7eac3eccbe27d9433
REF-0002,2,0.25,0.931089,0.954191,0.173879,2,1,0,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0521c8bea3d81465463eee2c6caaca2c7b564e1149bd15d24ce29b25546d64fd
REF-0002,3,0.375,0.919118,0.979523,0.12636,8,1,4,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,424f9a8c4ef4e17cb6001c45d8c6df70ea99f0ba2a00b24f5b2d7f165b460dac
REF-0002,4,0.5,0.946084,0.89957,0.160387,8,1,2,2,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0114377fc1a5cc7fbef8b6a287e833d38530a60678a648efd89c74bf4ffc0bbe
REF-0002,5,0.625,0.888634,0.887352,0.273479,5,1,0,2,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a6f0a028d3682a4adc6353b223279249e9be6252f849be9bbd65d827f2504e26
REF-0002,6,0.75,0.852424,0.893434,0.307387,6,4,0,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,766d85c70482a833c90421672b4c17a02bc552c9fb7ea3fa1cc5d9daf5847fdb
REF-0002,7,0.875,0.805949,0.875425,0.362034,15,4,2,0,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,88fb58ea1d52a0299533d00f2ba0b584b4a0898bef3b475695ead0149251d6ad
REF-0002,8,1.0,0.801016,0.874977,0.263454,10,2,2,2,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,642f9c3d81caf0e7ab1dcf4274af97a9a4db35c6436dabe5ec29b6b48fed1c6e
REF-0003,1,0.125,0.959456,0.952304,0.172686,2,0,3,1,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,64ed543abeb8528b0c1d89b39652ce9181405c4348f41f7d0b832728b87b5e0e
REF-0003,2,0.25,1.006386,0.985391,0.17429,3,2,2,0,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f3a5f068ed2cac5f5d46833d2b898838339aefab7e9815da14cfb77ac8ecf8b8
REF-0003,3,0.375,0.955974,0.949433,0.164632,8,3,4,1,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,501002652579888f3aabec18c2a6038243fe1ee72cc70d06826c27540f1e2342
REF-0003,4,0.5,0.984173,0.922461,0.219209,8,0,3,4,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,33a2fa0d19fb6961bd9b91183c7d7e59a65442972eae71e0566bde63f5c672c7
REF-0003,5,0.625,0.940998,0.927595,0.228069,7,0,5,0,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a96735b46821ed0c38188aaffff0eff4434cfe39006d78e725d93b80a07890c3
REF-0003,6,0.75,0.941949,0.897909,0.183503,10,3,7,1,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,74aa6099e987bb482f53c3dfac3f7a9f3c24a87e419beb94964bef8304be90af
REF-0003,7,0.875,0.965302,0.890811,0.250223,12,0,2,0,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,09758d2eef37934edf6455d7e90a8bd821f8ed12712c846104255909483e673f
REF-0003,8,1.0,0.91581,0.861479,0.247579,12,2,0,1,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9a8f8565759165be7d7e08ba781aeb526594b6ca89fb1471e926c178b1af404a
REF-0004,1,0.125,0.959323,0.956157,0.220503,0,0,1,0,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0055a1cd63603d66671eafd04c46a2ea2fca37a46a31ad3591aa0455fa0bcb4f
REF-0004,2,0.25,1.020778,0.934699,0.227098,2,2,1,0,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,495eedf50763e206c98081583d563021c8bca568ed84540ca58d7643b673ffec
REF-0004,3,0.375,0.964314,0.978636,0.181932,2,2,1,1,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ee899058ca2fc8376c34fc13abbfe907934ec980671e8da06070115554d9db6b
REF-0004,4,0.5,0.905054,0.987339,0.169204,2,3,2,1,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f2f09e5f830250c17e3924c2c67682c0222960de63ec3454dd1d6981c8482fab
