reference_project_id,project_type,delivery_method,region,gross_area_m2,length_km,capacity_units,floors,complexity_index,design_completeness,location_factor,baseline_cost_usd,final_cost_usd,baseline_duration_days,final_duration_days,cost_overrun_pct,schedule_overrun_pct,outcome_class,known_anomaly_label,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,AIRPORT_TERMINAL,DESIGN_BID_BUILD,US-NORTHEAST,64223.272,0.0,89.45,2,0.416027,0.754427,1.18,220671195.49,269521859.71,618,744.019,0.221373,0.203914,RED,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2274f56d9e111c87e7b0d12e74a6604424074850a10ebb095180a698843fd5ed
REF-0002,HIGHWAY_CORRIDOR,DESIGN_BID_BUILD,US-NORTHEAST,19949.337,18.723,46.952,6,0.48043,0.652273,1.18,195656317.53,247710186.22,536,623.235,0.266047,0.162751,RED,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ad8a841e0faedd73ebd1280196aaaa76a91a082db728e930e773b418f2301ea3
REF-0003,VERTICAL_HOSPITAL,DESIGN_BID_BUILD,US-NORTHEAST,44906.862,1.587,116.6,11,0.411374,0.951176,1.18,248710215.14,273469374.73,631,750.956,0.09955,0.190104,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f0508e86955bb8aa221738f360874034a43a8a88cfc5df3c6eb848335a4fd8f1
REF-0004,WATER_TREATMENT,DESIGN_BID_BUILD,US-NORTHEAST,24925.698,1.487,122.879,6,0.321805,0.668265,1.18,159804928.27,184665577.02,473,550.347,0.155569,0.163525,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a875271d0b61b76b36e866ed0d1ff3335ec306e96fb805515e607cb9b3760c57
REF-0005,RAIL_STATION,DESIGN_BID_BUILD,US-NORTHEAST,16234.638,20.432,35.071,6,0.575846,0.91787,1.18,228158119.45,254159770.27,565,645.224,0.113963,0.141989,AMBER,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c877bb9c31999c7348fd261cad7175faa34ccf68324a755b32af8c3317b34775
REF-0006,DATA_CENTER,DESIGN_BID_BUILD,US-NORTHEAST,44556.752,0.0,151.955,6,0.443134,0.951609,1.18,191884929.22,204728503.89,591,626.576,0.066934,0.060196,GREEN,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,36118f4563ba562f7527ead1c217c075da74a02b593d4c8abc7a68be7aa95f58
REF-0007,AIRPORT_TERMINAL,DESIGN_BUILD,US-NORTHEAST,18352.979,0.0,86.654,6,0.671891,0.91179,1.18,195491567.74,227901902.59,505,634.881,0.165789,0.25719,RED,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c7fbce482ca8a4c4cafd78b5ccbfbded3a8ddb86eda474263f73d08678cf056a
REF-0008,HIGHWAY_CORRIDOR,DESIGN_BUILD,US-NORTHEAST,8187.743,13.496,52.752,4,0.302203,0.398651,1.18,125525059.63,181297261.24,522,751.501,0.444311,0.439657,RED,True,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,50db145ff5e21a278113499130a5aaa011f932f6a15f47a1e46410258fe7f4ce
REF-0009,VERTICAL_HOSPITAL,DESIGN_BUILD,US-NORTHEAST,49255.337,0.278,47.974,10,0.844661,0.35,1.18,264287739.0,347436203.81,662,848.442,0.314613,0.281635,RED,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e2a9a579466f3465db1970d0e0065ae977f3c75741c441636ee0ba9dc0e6c673
REF-0010,WATER_TREATMENT,DESIGN_BUILD,US-NORTHEAST,4698.112,8.602,124.82,3,0.747359,0.988626,1.18,170619770.5,185164565.55,457,532.627,0.085247,0.165486,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,adfe2ba95a1b8771a3720edf516ad6b13f1d2c1983fe1c207de9b29013dcd0ef
REF-0011,RAIL_STATION,DESIGN_BUILD,US-NORTHEAST,17940.878,14.216,64.873,3,0.572476,0.840683,1.18,194347168.28,223788342.77,518,512.932,0.151488,-0.009784,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1851431b51554e8112d68691178f1171257c7006cdc23627ba46728d6edbc9b3
REF-0012,DATA_CENTER,DESIGN_BUILD,US-NORTHEAST,52134.234,0.0,117.521,2,0.349732,0.35,1.18,161225878.51,200357361.68,549,629.713,0.242712,0.147019,RED,False,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b6decaa29cee4897245f15f27dc3fe065a5cc75a583bfd3b3ab0699acb12ec20
