reference_project_id,complexity_band,early_cpi_band,early_spi_band,document_risk_band,decision_class,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,MEDIUM,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f9ea4dcca513f5dfc00da667b6182f3c03e70f5b333dc3c9c00cf1e55503c0a2
REF-0002,MEDIUM,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1c98a239059222334e6698b82e6095fbb5cec67bf5279c515a7f7c6d6e9de842
REF-0003,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,29cf53245a94d189723f5b1862ef867455ed87566f3d12a5ac5027a73ade9098
REF-0004,LOW,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,428d9abd130fbfccc9ad1bb17450cd23becf4bd780fe6663eea8345dcdf249c8
REF-0005,MEDIUM,MID,MID,LOW,AMBER,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,87c7197bb4221bf10f443a82d886a5f98ba7afd881324718e3b0534a6c4eadd4
REF-0006,MEDIUM,MID,MID,LOW,GREEN,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8fb6881167e0f1f69ef32649334365bbab92c27e0ce24ec8e32716101274e27e
REF-0007,HIGH,MID,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,65a8c1ee5c48843524249a668d644ec133aa0a057dd096befb671fc00bd2e35a
REF-0008,LOW,LOW,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d47752af9ef8d514967ebb28f995267ec122eac230acb537a7c9c39b3ad668e4
REF-0009,HIGH,MID,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2bb205a8f61504d832cf8a8d39d2fe09ab6d6118ded072542877eb5681c71592
REF-0010,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ea3baa66ad7eb2370324f982afbaabec16793070cef39ba28e55e34fbeef1c7b
