reference_project_id,split,split_unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6b543e4cafc161e810ba2a1512feb01671f9f08956a666aaaad40cab5c449fe0
REF-0002,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d8d5fa4f0e1ac480b500207c2fb2e50ba625ffe4a879cbca79b4269d096190a6
REF-0003,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c87899201cad9ffb2731aa3c13e1125e180e924d89b204a7bad12b3753fe8f6a
REF-0004,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d3b50189bb036b016c9ce82c80bf279214c74e093165eb3534c8b14c6a0c055d
REF-0005,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b233459472130439e4dad169943208920a0f2da7ec254e3751860aff83de9b49
REF-0006,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7ef9ccc8abbf25cd4cf994a297e98513fb1ee37f8f3c4feec985039a0bc8d286
REF-0007,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,68d0c5a659dc87d88a354f5e0a92272da3f70d249e280355bf0f576b53eff7f6
REF-0008,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2d65340818a36733700f169c1e9cf59d5248623efbed83fb735582479fa80920
REF-0009,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7e271570c0ed43b76d90e536e767822756db9e997d3a81c2a4ae24dd71e05826
REF-0010,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8b009cd74510fc4137ffd636921061e4919796287db09af35ac0395c7cf00107
REF-0011,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cde92406faf1859c06607bec27fe4d5cc5458ce5d2c591c526014b3a109263a1
REF-0012,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2a707484d1fd632632f005f8db6a6aaa51ddd9d28717b162f82b3524bfeaa67f
REF-0013,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8a0dbead0b6f9d2d066fb4e899f397be33a965fc7f6f0518222b7896a9b977e2
REF-0014,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3c153acf0b92dd07a0663e3f73fd8719ff432918155b6a4efc77c4edf7255c6a
REF-0015,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fab89d4db11d84ce6ff6fda9f1e63c1fe027d18a3afdcc2f7196befe3a3f8a86
REF-0016,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b1d8ec0f95a495a7f9382c7ea6ad74e239319912c2a9bf068d8efb32d6dc7e30
REF-0017,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0227dabe5f522361a413f4b2cd89d4a71d06789513eff457bca0602e7c66b77a
REF-0018,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,be3e8ae64a3f43f3dcd3fab21386f53f4c4949aa5b82461de3ea06085bb7b1d9
REF-0019,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,97d8964ef3bc711dd651af8eb2f9f89843f8b3a367cd2118d3281f878b4994e5
REF-0020,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e052e2045e12f118a0cb450bfdfd7bd0ad3b48fc7d6bdff1d9a41ad0e779818d
REF-0021,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cced47d5a237742f522bf8e3872ae2568ee23d0707447da5cb318ba004a01a76
REF-0022,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1e930e743f282aa2d3e674373a076a1e88ec1a8f771ac30114e9a2022c87c3f9
REF-0023,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,15badddf72f83cf5ebaeeeb7ab442038dce39f2fa2813ff664befcd6fe6f471c
REF-0024,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fe5e30da267de599d497447e1c028fd2a20a56fced482e20928a078bb71852d5
REF-0025,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d3f9fe851d60cc20eb935d66a3cc1173acc8387bef028a8da85a423e689256a0
REF-0026,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5eb5c134468e28e776b3a13186a09df1b66113cc97d906c27a93b622a07475ab
REF-0027,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e7170318348226dad01d511e077bdc4990e4f9cf5d9a5bc1edf0c1bd8b56b586
REF-0028,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d11d6c447110f1cc19572d57c749dab0832932ea55aa5dcd36859096118dc974
REF-0029,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8335cedceda4d1b7caea458954f5a911b37dda1147b19a3fc8ee4dba1fa3be0a
REF-0030,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,adbd80a5492b93c35b6bde299fe3922a5c9eb4a75c2349ba555b7c0dd54fda6b
REF-0031,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,80b132782241cbd5ccf32e27c87731e5c6a1a30ceef5e5bb56b16d956cef4dce
REF-0032,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1b600f7417c1f7a0f2caea4fa6b37dcbc6b05a0ac24e7154481d95a452df4005
REF-0033,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,28f0b039cf4d3ddcc7a8cb8b46afc76f4fa476c0d8faea012b2e4b235357aabb
REF-0034,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b789b266c10489bd31f50e4bdc21b4bd8ac423655afe31542550f57b8e232f20
REF-0035,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a995c75ff1f00d85f3aa59fdaaa2f52702267836d0466c56203750de9bb02e6f
REF-0036,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ca3db442023d6d52ed2f889a81e6bf3c100f26ae22bbe11e1318d3146edc410d
REF-0037,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c4171144b1a9f60b3f1d4c699693309fd0e74f9b5930cfd369c92de671e37f65
REF-0038,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cc0caf12709d128bd4394ecd47f0931e77189b3f500f254393571cb76b43c0b7
REF-0039,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,737865c4584e2260fdc06f2fb79320b82cf29e6f924e8ca3dc2dd3d1330e7222
