expert_id,scenario_id,severity_score,picture_positive,picture_neutral,picture_negative,hesitant_memberships_json,type2_lower_membership,type2_upper_membership,pythagorean_membership,pythagorean_nonmembership,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.0,0.840559,0.159441,0.0,"[0.0, 0.0, 0.087937]",0.0,0.175874,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a5e6a5e753d748bbb70fbfb5ea671831bf2729ea6bcf83a99ec36ba75f8fd205
EXP-01,ESC-02,0.07133,0.739174,0.204051,0.056775,"[0.0, 0.07133, 0.172602]",0.0,0.273875,0.07133,0.997453,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2d1605b16fd3a0f65e22d1082d7c216aa61f971a7f700363a67aafb888d67256
EXP-01,ESC-03,0.0,0.828626,0.171374,0.0,"[0.0, 0.0, 0.091363]",0.0,0.182727,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,34f90fe2bf4c241c878f71fd687d809f041938eea430ff29d1ddc5bd9b76c9ec
EXP-01,ESC-04,0.053356,0.795853,0.15929,0.044857,"[0.0, 0.053356, 0.14125]",0.0,0.229144,0.053356,0.998576,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ad9283adaed8ada95b03b94cefa7418d470380195b1908e3648777c420835573
EXP-01,ESC-05,0.292981,0.567245,0.197695,0.23506,"[0.1937, 0.292981, 0.392263]",0.094418,0.491545,0.292981,0.956118,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,940b1f08782d3058415f306e9ea273c0c3f264782f94404658973fd282de8378
EXP-01,ESC-06,0.164137,0.678071,0.188777,0.133152,"[0.067596, 0.164137, 0.260679]",0.0,0.35722,0.164137,0.986438,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2c717f21dda4243cbd00a97e8aeaad674c2660c5eef251c914fbcaa2e554db62
EXP-01,ESC-07,0.167431,0.672682,0.192041,0.135278,"[0.069894, 0.167431, 0.264969]",0.0,0.362506,0.167431,0.985884,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,eb91f52d2812bb38cb4a9ef9fe08f72d1fdad7e7abffba83db22d69507ee3cd5
EXP-01,ESC-08,0.289987,0.585601,0.175224,0.239175,"[0.197497, 0.289987, 0.382478]",0.105007,0.474968,0.289987,0.95703,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bf0900fdd2a1f4f5a2a52bed860564e01ae01d68f3b887cac2a73234a4cfc87a
EXP-01,ESC-09,0.237675,0.640429,0.159901,0.19967,"[0.149608, 0.237675, 0.325742]",0.06154,0.413809,0.237675,0.971345,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e52b9ed447415424194c02822a66b963a3d8ece3e36b9878d2c7ec508e33ba5b
EXP-01,ESC-10,0.220847,0.631102,0.190015,0.178883,"[0.123929, 0.220847, 0.317766]",0.027011,0.414684,0.220847,0.975308,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,36618575abf71f0f8962985df29157543a32b68705ffb1e2631a9978049369c4
