expert_id,scenario_id,p_green,p_yellow,p_amber,p_red,probability_sum,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.914812,0.084632,0.000556,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a270975a81b2009f69ceb3eb56ebf6f8dc198e0fb1d693800c93b182ba49dec7
EXP-01,ESC-02,0.798408,0.196625,0.004954,1.3e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7421d2243c3c01a357b3e28772ce6c6ec60191488c0dbe53f7c7f2da08dc8cbb
EXP-01,ESC-03,0.90728,0.091986,0.000733,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8d1f45816f50af91f6657d118a52054be139cfb15ccbef62b10e9f14c130ffe2
EXP-01,ESC-04,0.8588,0.13959,0.001609,1e-06,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,50bd040dd22074fb528f5d6db7b5915b1defd83bf225054fe97b52bffec97f0b
EXP-01,ESC-05,0.309048,0.582241,0.106804,0.001908,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,48814a93964d3869956a4b71a846824d972ba773a1a19a9dbc825b101891e85e
EXP-01,ESC-06,0.630593,0.351549,0.017777,8.2e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f3d36ade2b9ab88338e9387935c599f43ef84261c6c7119d6e69340d6b424178
EXP-01,ESC-07,0.62103,0.359497,0.019376,9.7e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a1d15c9388443ae52fb73408b182de8383ae0b3deb8decb6e177136227566716
EXP-01,ESC-08,0.310165,0.595751,0.092907,0.001176,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e50605bc1389cdd4ded74bd5c5e0d0bac44fb72c6e65a6ffc461b6e1296248ea
EXP-01,ESC-09,0.447027,0.511073,0.041658,0.000242,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dd57694d1133c65e7fe27a3cf256651bfef1134e2bcebc6b42622f334afd4c2d
EXP-01,ESC-10,0.488668,0.469647,0.041351,0.000334,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,18a05e989420104f9da1eb45fceb47ec4c9c9ce917d9b87cbce654cf3de5493c
