decision_problem_id,action_id,scenario_id,cost_delta_usd,delay_days,quality_risk,safety_risk,residual_risk,feasible,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-A0,DP-01-S0,0.0,0.216609,0.18,0.12,0.2,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ae407480f160e29596d3b47a21c216f2bd51bcb6dd083ec3076c5b97b236f3e2
DP-01,DP-01-A0,DP-01-S1,10780.0,10.967498,0.228,0.152,0.296,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,30012d57b05064bb349d9162053f701cb3e2bafc326b5b71c5640db4068a1691
DP-01,DP-01-A0,DP-01-S2,13860.0,16.318346,0.204,0.136,0.344,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bd5afbc807b213d9327f3475e0b83801c50bae08ade3e754d8ed45981800d0da
DP-01,DP-01-A0,DP-01-S3,9240.0,9.442849,0.196,0.16,0.28,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,869f57d84a4bfbf5a08935f752dc30a98a1b7bdc60ff6208d4134b7810fbf258
DP-01,DP-01-A0,DP-01-S4,21560.0,21.227743,0.252,0.184,0.4,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,66eacfb788c39364329185a8e9435094f5082608c0668ce5e649c46127283bce
DP-01,DP-01-A1,DP-01-S0,1280000.0,-10.926963,0.25,0.23,0.12,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d604bcff191c24da0cc5a0f83e8709a110ffbd52ecc0ee246778efecbf32ae25
DP-01,DP-01-A1,DP-01-S1,1290780.0,-4.670033,0.298,0.262,0.216,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4e9896a3de27b86a63452bc2d6577160140760baeb8c3b7b27e6ad91cacc071e
DP-01,DP-01-A1,DP-01-S2,1293860.0,5.195788,0.274,0.246,0.264,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,15fe593277870ec37d7b1763f24e8c869c74565102777bdd3453da7d55bae542
DP-01,DP-01-A1,DP-01-S3,1289240.0,1.496121,0.266,0.27,0.2,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a54387af8aba8294768fae4861319e7b05accdce213a12fc2e42bf72a62fdfc4
DP-01,DP-01-A1,DP-01-S4,1301560.0,13.869898,0.322,0.294,0.32,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,affcc21b7b66b9dc327e0c4d71bdc9dcdb845e3d29bd02b2f0d2f4ec20545c2a
DP-01,DP-01-A2,DP-01-S0,880000.0,-5.344084,0.294,0.291,0.16,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,af0aef1383403ee1f1bf42dea15f4cc1b1c87ed48924f4c6af8b9633f2b77875
DP-01,DP-01-A2,DP-01-S1,890780.0,4.523398,0.342,0.323,0.256,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7ad93bf1fa49f06b5a6febb892d374db13823ee0c30fb8a980ad1a1c176560a5
DP-01,DP-01-A2,DP-01-S2,893860.0,7.006547,0.318,0.307,0.304,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8d4731be7757d185162cd2a708498eb1a86e26615589b15b1421b6fc13263e70
DP-01,DP-01-A2,DP-01-S3,889240.0,2.730292,0.31,0.331,0.24,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0dcde619dce08c8f677fcb0bae52bc8a44bc05be858073424be9da76315f680f
DP-01,DP-01-A2,DP-01-S4,901560.0,14.510838,0.366,0.355,0.36,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7b17d9a5413ce022881710b05c66595f9807fe47ceb3d2206a048e69faa058a8
DP-01,DP-01-A3,DP-01-S0,1120000.0,-8.670713,0.218,0.177,0.1,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,85da1d952c790d8ef0890bd4457ed244f65b6c0cacc7a7b3aeb447fa6fbfd071
DP-01,DP-01-A3,DP-01-S1,1130780.0,1.199728,0.266,0.209,0.196,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,954fe69fee8cf56e6e1657fb2475ca294e6df741acfef71fb67054befc6cac71
DP-01,DP-01-A3,DP-01-S2,1133860.0,-2.600028,0.242,0.193,0.244,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2e070e9816c12fa37dd967c4a1b9c5af6427588c4154ab0c510537cc5c0d9e73
DP-01,DP-01-A3,DP-01-S3,1129240.0,-0.080135,0.234,0.217,0.18,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0cc6f5b0a03f3594fc96cfaeae625dd37903b254b6c44d7dff3ead9da96830ae
DP-01,DP-01-A3,DP-01-S4,1141560.0,12.123585,0.29,0.241,0.3,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,36be58f0796ea486136b3eda5fad4b917bb89857ed4065dc970598daae254c97
DP-01,DP-01-A4,DP-01-S0,480000.0,-5.133933,0.272,0.188,0.14,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dfb045d28e0f4670626da4ad480e78b75c8fcd1e63cbe4102e4d6f5f26c93b1b
DP-01,DP-01-A4,DP-01-S1,490780.0,6.436477,0.32,0.22,0.236,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4fc7f0e7b29a26d102ca30982978191c066dd0fe9924c836ab50cdb19339c2e3
DP-01,DP-01-A4,DP-01-S2,493860.0,9.144529,0.296,0.204,0.284,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,17d9aaecc1ac91ccf37609b932b93a076f6263ab8c17a62a6cb525131bbffe73
DP-01,DP-01-A4,DP-01-S3,489240.0,-1.371327,0.288,0.228,0.22,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9a9f4b5af201b0196a2bf99564e6f556f3a29d6fb74ea90a2f4cd74c53ee953f
DP-01,DP-01-A4,DP-01-S4,501560.0,15.115601,0.344,0.252,0.34,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e6bcdf2fa63f754f513242801cd7a92bbe461b5a0a2c35fc18c31d4ee4c87869
DP-01,DP-01-A5,DP-01-S0,-320000.0,-4.374515,0.306,0.149,0.17,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,52afed0991e54ce247d2203ef5c8d0183f7a8479325b4105a3e60c6dc30ea4a5
DP-01,DP-01-A5,DP-01-S1,-309220.0,8.768824,0.354,0.181,0.266,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,97582d114f71930558c35958672821d5a984603d20ea69101287ed0dc7bed448
DP-01,DP-01-A5,DP-01-S2,-306140.0,13.157246,0.33,0.165,0.314,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d84ddec79fe01daedd50f6c65beb650b5d6e2088f03ea8046bb63cf8c8fa5c69
DP-01,DP-01-A5,DP-01-S3,-310760.0,8.099348,0.322,0.189,0.25,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f56a9bd9b5e3050f7e21fd4c2672396ce08fd478a85efb339a1f9bfdbe5aa50f
DP-01,DP-01-A5,DP-01-S4,-298440.0,18.440745,0.378,0.213,0.37,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7f3b07b32ba06a569cf3652b6e614fa630f209ab936b2b06628d0035dfdd3a0a
DP-02,DP-02-A0,DP-02-S0,0.0,-1.341519,0.18,0.12,0.2,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,68a0f636478b71ca53b40b7052c257a2847993e727ca287619544ed6373e8d0b
DP-02,DP-02-A0,DP-02-S1,5880.0,12.121035,0.231,0.154,0.302,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f5a7ce61081a09fc54955af81466d35a7bdcbe567a8d63960f1dc10df74511e5
DP-02,DP-02-A0,DP-02-S2,7560.0,16.898606,0.2055,0.137,0.353,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4cb56165cb5036013d2ebe92591154ec5517529bb311ad0eeef36037f6282960
DP-02,DP-02-A0,DP-02-S3,5040.0,9.907785,0.197,0.1625,0.285,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,052c19b4116b1e70c57b808a9c8ec224d4a261068abc16f86f820b2b252bbfc3
DP-02,DP-02-A0,DP-02-S4,11760.0,24.700098,0.2565,0.188,0.4125,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6f05e5376006ac81228fcc0ae5fb5b76a40f4064ac634e9f1c9b4ab4e339fc32
DP-02,DP-02-A1,DP-02-S0,1360000.0,-11.023704,0.25,0.23,0.12,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,44fe4d4ad385c585bfb57943b2dcd3e1478e03bcbdb0450897cd4cee20d74199
DP-02,DP-02-A1,DP-02-S1,1365880.0,-2.374319,0.301,0.264,0.222,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dd7edeb203daa16d40b5f89facea2549427f22a0047eb9c30a0b8fd6dece6504
DP-02,DP-02-A1,DP-02-S2,1367560.0,4.552729,0.2755,0.247,0.273,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,10bc85d7398e87a5afcc51e21845e02fa2928a8d4148baf724cbf59e6f08bd3f
DP-02,DP-02-A1,DP-02-S3,1365040.0,0.038954,0.267,0.2725,0.205,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2b48bd445ed8a4747c7de9b9da5a36b324bc4d07db15e149a1011c0da7c5049e
DP-02,DP-02-A1,DP-02-S4,1371760.0,15.212058,0.3265,0.298,0.3325,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f07557c9d56e0d178f15993d95950d915020660b02e8003b42b56d4cab32e5e4
DP-02,DP-02-A2,DP-02-S0,935000.0,-7.569458,0.294,0.291,0.16,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ccd9989991cc345299872fdbbf60ffafb81d17f0f863af9d056cbc7e1c1cfb09
DP-02,DP-02-A2,DP-02-S1,940880.0,4.725646,0.345,0.325,0.262,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7e1a705a3c1ffe098e6be88c48129a731504133e985f930631af37949c7128b0
DP-02,DP-02-A2,DP-02-S2,942560.0,9.910836,0.3195,0.308,0.313,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,33bfa317823026cf49793c10d9c05a03a48cb2059b16e7bef7c0dce684c4dc3d
DP-02,DP-02-A2,DP-02-S3,940040.0,2.678896,0.311,0.3335,0.245,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b922910900a881df50ef212a18dd856031984952838052c2fafae1efc7521c78
DP-02,DP-02-A2,DP-02-S4,946760.0,17.654199,0.3705,0.359,0.3725,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3a64361d52832c280f51cd107ce87834d1fa579bf11e1a55747bbd111e0082bb
DP-02,DP-02-A3,DP-02-S0,1190000.0,-6.724963,0.218,0.177,0.1,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5f274170dd90bcb6af65d044101ffb9afb31683d06b433ab50927f5416c7aa4f
DP-02,DP-02-A3,DP-02-S1,1195880.0,1.465525,0.269,0.211,0.202,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,762643dadf3cb91cf9876899524510da564579daad167ac684df0931e14a4f95
DP-02,DP-02-A3,DP-02-S2,1197560.0,-1.916603,0.2435,0.194,0.253,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ff237f7f07082ad19630a7ffc3d045624920741926096452eb18fc2f513aa601
DP-02,DP-02-A3,DP-02-S3,1195040.0,0.226229,0.235,0.2195,0.185,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3d7604221d8b504ba550ecfb530f428a5f50a672a12f5055a044f5cae940b1f1
DP-02,DP-02-A3,DP-02-S4,1201760.0,14.938177,0.2945,0.245,0.3125,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,45f8620d931137fab2709cc1d8123c39697b0c8769eb259c31cbb9c8d792aa03
DP-02,DP-02-A4,DP-02-S0,510000.0,-4.354848,0.272,0.188,0.14,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,49daece4aa60460a757850eb1bff5bbf04777c37e1c3515ae0afdab7a3193b72
