decision_problem_id,action_id,action_name,base_direct_cost_usd,base_delay_effect_days,quality_risk_effect,safety_risk_effect,residual_risk_effect,crew_increment,overtime_fraction,requires_executive_authority,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,42e71c44f4e5d38025c0dccc4b3d72e941abe4cfe77e950a04538b6ceef65f2a
DP-01,DP-01-A1,ADD_CREW,1280000.0,-10.0,0.05,0.08,-0.08,2,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,39d734e94dad26672ba0e766543edf083af5cfb2fe604a322b98ef1e887eb7a1
DP-01,DP-01-A2,OVERTIME,880000.0,-7.0,0.1,0.15,-0.04,0,0.15,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20f36dcda8d9bb57d17ef2e48cb4a8f9ffb5a292ce5077d633b952e090e08b04
DP-01,DP-01-A3,EXPEDITE_PROCUREMENT,1120000.0,-9.0,0.02,0.03,-0.1,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f3163e2b1b586afc0cb8021755401c5e7ee1cba298aaca0e3c4acac9661b832b
DP-01,DP-01-A4,RESEQUENCE_WORK,480000.0,-6.0,0.08,0.05,-0.06,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,54a36aa7594aabc571af1e57ce1c53837e53c405744f4e0079911c6d655ae20a
DP-01,DP-01-A5,DEFER_NONCRITICAL_SCOPE,-320000.0,-3.0,0.12,0.02,-0.03,0,0.0,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c7238090d86486898474c661457f322a36b6ceed6710b1e20655f190cd3c0ae2
DP-02,DP-02-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2b32a7c1e30ce06b28470d2a3c3be947f2eca90cd6a7e58d34a3a874a8fba4f1
DP-02,DP-02-A1,ADD_CREW,1360000.0,-10.0,0.05,0.08,-0.08,2,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,721b956b4f8b0ff65c2fccd414c43bb7cd0888efc358418ff69231786f4777ef
DP-02,DP-02-A2,OVERTIME,935000.0,-7.0,0.1,0.15,-0.04,0,0.15,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cea71e57a32a9401dc46536a53746e9d807491107d25f923a76822f967d21d80
DP-02,DP-02-A3,EXPEDITE_PROCUREMENT,1190000.0,-9.0,0.02,0.03,-0.1,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0bc56789a8b730d4157faf380308908a44bbe689b125e99b7ec5ee11909d3b24
DP-02,DP-02-A4,RESEQUENCE_WORK,510000.0,-6.0,0.08,0.05,-0.06,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3b53e04953edff864eac04da1881fb1cd1b675c43aed975e13409b36338c2962
DP-02,DP-02-A5,DEFER_NONCRITICAL_SCOPE,-340000.0,-3.0,0.12,0.02,-0.03,0,0.0,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4d4764867486e9b1da011921ace1c41e5e2bc6d7108d6d3f5354d66732f29110
DP-03,DP-03-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0ec89485c148dfef3652e4f7222ed73a8c8b939d5a21df0b73051cab6cd82a26
DP-03,DP-03-A1,ADD_CREW,1440000.0,-10.0,0.05,0.08,-0.08,2,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2f923e7adf5a1954a2524edcb7790e2b9e56511c45303e72bc48e24fa3646093
DP-03,DP-03-A2,OVERTIME,990000.0,-7.0,0.1,0.15,-0.04,0,0.15,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,71d47af71c90a36f2defaac01e92fcf48d752338905cbe877eefe24e19177fdd
DP-03,DP-03-A3,EXPEDITE_PROCUREMENT,1260000.0,-9.0,0.02,0.03,-0.1,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8b13c4d031f41049deee56a2a418a8b5fb0d1ffca3b17bf72b7244122a3dccc4
DP-03,DP-03-A4,RESEQUENCE_WORK,540000.0,-6.0,0.08,0.05,-0.06,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5f25b355f0c0ab6756c896f8f3b520092ba180db8bd6fceeb01c92edb564c935
