decision_problem_id,action_id,expected_cost_delta_usd,expected_delay_days,quality_risk,safety_risk,residual_risk,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-A0,8470.0,9.072184,0.204,0.142,0.28,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,126acbdb57b8beeaf4f22f0fd18ab38e6bc84623293c6cb8a09e03ac789f1f0e
DP-01,DP-01-A1,1288470.0,-2.107878,0.274,0.252,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,35c6a9428c8c5f822a68ce62067449a52df2c002cea8f31c5a387f8f74279fa6
DP-01,DP-01-A2,888470.0,2.296187,0.318,0.313,0.24,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a71026427d4d8b55ef12a5ec0906644a2fb8bb6b28428bd93ccccc043c9e6c6d
DP-01,DP-01-A3,1128470.0,-2.114471,0.242,0.199,0.18,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d0396cfef232d9e1166bc76d3eb5fc566d8fb4e3ec011a9a256eb796668f6103
DP-01,DP-01-A4,488470.0,2.625186,0.296,0.21,0.22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1891ebf90d637b2d7323136e1440a595876ae6819f3a079da667f28ede79b749
DP-01,DP-01-A5,-311530.0,5.91311,0.33,0.171,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,42d0552a9487a27bdc43f7dc06a4fcdc3b35c910381f63b0a40bcff7e4dee277
DP-02,DP-02-A0,4620.0,9.290574,0.2055,0.143375,0.285,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9cf12f42fa5dc4bfa310972ef97df240f41ab7b48b7acb675aaf3de8a6950f6b
DP-02,DP-02-A1,1364620.0,-1.895565,0.2755,0.253375,0.205,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3cab99d320381e76dcb17b73ae532ae38785fdb049c2e03adaefa756e968dd71
DP-02,DP-02-A2,939620.0,2.44524,0.3195,0.314375,0.245,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cc36b8152e078d9a170d4009997c7c982850bdca5e3ce7c6dfd4312a9c9cb543
DP-02,DP-02-A3,1194620.0,-0.916201,0.2435,0.200375,0.185,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2bc74cdb344e43417edc6107a18aac4f2b0a4585a08bf011629fd9e971fe5ffd
DP-02,DP-02-A4,514620.0,3.267384,0.2975,0.211375,0.225,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,059bddbf11e094331d84875a8eceb9c6b5a3927aa9cc9a742ab59f587fdb96f0
DP-02,DP-02-A5,-335380.0,6.179132,0.3315,0.172375,0.255,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4797e0eb6b4553149da9d2fb5da6caa16ec1c14d831d093c4ee95c02da8fe4a3
DP-03,DP-03-A0,10120.0,9.873687,0.207,0.14475,0.29,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,838c27c0885aab7cf249ff5e172e5bad651629457a77c496dcff41a90a5280c0
DP-03,DP-03-A1,1450120.0,-1.784146,0.277,0.25475,0.21,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d743465e87a6485a0cd91f1785357b3ad616486c810b235d5933dd163de5063e
DP-03,DP-03-A2,1000120.0,2.852352,0.321,0.31575,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,91f95ca011139e60d5f0805b7a478068f32d9146138f951eb0ee3adf00b34518
DP-03,DP-03-A3,1270120.0,-0.318068,0.245,0.20175,0.19,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8cae363f60020e5cace101ff6bdfe24400c316c3ea934938802d5a551ea1f560
DP-03,DP-03-A4,550120.0,2.803258,0.299,0.21275,0.23,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,71e65cb9fe159abf2315492e841a037d4272ea856aa90e70975e5a1e0f3493b3
