decision_problem_id,constraint_id,constraint_type,expression,right_hand_side,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-C1,BUDGET,total_action_cost <= budget_cap_usd,9625000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,82a9c70e6d7f14a6fc1eb8a8ea18207a2b7ac51477df330e4586da7c3768fe01
DP-01,DP-01-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f0a712194905759879fadccf26fc4facc35f5936f808f2065891d71256729b9f
DP-01,DP-01-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,50883ae53ff29e842a5051c5c91d32edc275a3b281d56133f81eb8118eef9eb5
DP-02,DP-02-C1,BUDGET,total_action_cost <= budget_cap_usd,5250000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,473429dca2c782a86f3ae382c21cfd79f7546770f56ee61145679e89367a72bb
DP-02,DP-02-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3f2f20f90bd949bf187212a3a0bb3a1bbef9e4dbd61125c9599a8936b762bdcd
DP-02,DP-02-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a8e76e590aff8b29759788819d209a022bba5137bf5994ed38f0043736048960
DP-03,DP-03-C1,BUDGET,total_action_cost <= budget_cap_usd,11500000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,23f725dbdb0b895f7692547fef90ecc2d57ffe12e833d7a2875d8436743b32d0
DP-03,DP-03-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0edbfb0e14244c2f317b9b817465f979785dcce4667134aa6522e4115133f4b5
DP-03,DP-03-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bf6025f877f00997f3b841445950092bb49e4d1e28dc9c4b2bb6a4ee1bc53815
DP-04,DP-04-C1,BUDGET,total_action_cost <= budget_cap_usd,4375000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,756257341b9d31874207c147c4866e556943e5247ec1ef9497fb425e7875490f
DP-04,DP-04-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5d06f00eac744e7babb31c65ce40113a798296c7be6def33245635abf7ae8a7e
DP-04,DP-04-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3d303c820c2949c47dda391bb8e7fdf8a8c4d2baaed2b0ba0cc4b60d5d51771b
DP-05,DP-05-C1,BUDGET,total_action_cost <= budget_cap_usd,7250000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,29b1a4f9a131a63de89925bb7f63e867f8a8f8c4432edb2bcd892eaef2d4469e
DP-05,DP-05-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,38ffbe385bc1f76254d5cca7873b6a5e87ffdf7cf01fca5c4c2b6d5bcec8e15c
DP-05,DP-05-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cb6680454d2127a4aa4a45debc95f7c297048f133a15fd23ca7e3df3b0f5bb40
DP-06,DP-06-C1,BUDGET,total_action_cost <= budget_cap_usd,6000000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,de936a8b2eb260c456e3e980c83840705fa936bb0ee986724b9c880de3be43ec
DP-06,DP-06-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,afd7de004a62869ab284307325e2057e38351ebf57bb80c4bbad2ab44280efd8
DP-06,DP-06-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a2a16a8008ea3479dc08b677118822903364786dba4aaedb9241bc8c301b934d
DP-07,DP-07-C1,BUDGET,total_action_cost <= budget_cap_usd,9625000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,09eb44d9ca841dcd7cd745b61322b89abe581631f35b32fe625f4ed215ae117b
DP-07,DP-07-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bd4a07e861729bd97622dd21ca6523ef5239135548ae94a3a0a6c1bb2824f25f
DP-07,DP-07-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2315bb9f2f9b63ad0cd3e2c86e2fbbdcc9c04535c24d6b3e18709b740194261c
DP-08,DP-08-C1,BUDGET,total_action_cost <= budget_cap_usd,5250000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ca033ef99ef444e9ed3e54f0dc6e545d7192bf70a89594f4a3bb8c91966c83cf
DP-08,DP-08-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f11a55f1fbcb675c3633883537545cb80c3ae5ba8a353af26cf102c3885eb77d
DP-08,DP-08-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,41b4ca426b546c1fbad2291a4ebd81f93fdf59e3cbd36302dac62c2cf9985b08
DP-09,DP-09-C1,BUDGET,total_action_cost <= budget_cap_usd,11500000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,022668c23cfed5f4a130e96bb235fecd3de272568be6606613bbcfe5c8ee86c1
DP-09,DP-09-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,961d5960fa6a5b05c1e2f777ce2ef4454c5a8e55993c08369d68b0f062402f81
DP-09,DP-09-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8fc616b60321b9bd3b35bd0bd4d5568b9f3617d5910ebd16cfcc6ed0748ffd26
DP-10,DP-10-C1,BUDGET,total_action_cost <= budget_cap_usd,4375000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,743d3262069c9b804ec8c692b2a89d92b42722a80862197faaa5dbecea2dee00
DP-10,DP-10-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b3db7abfd835e220a98811200952d0e97277216f6984be46bfafa04ebcb33dad
DP-10,DP-10-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f107df52917b42d4126cd7d08e3650bb3075433abd628e3ad5c756099985a1d7
DP-11,DP-11-C1,BUDGET,total_action_cost <= budget_cap_usd,7250000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3a19d740e00c5a8b15710a643d1975e2ae4cdd7716cb9b4a93411d9237f5dfd6
DP-11,DP-11-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,04dc1ab1a36d9f2c9f095787a124c865d201e212601d772211b7291b83f4de65
DP-11,DP-11-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,48b659d94ed077e7a133b677988aa149c25a34059f514c16053b2f4223a10d9e
DP-12,DP-12-C1,BUDGET,total_action_cost <= budget_cap_usd,6000000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9b8f63750bf2ad2ba2fa9f9f0ecbb7c82426f60a1d4eb5c7c3d54cb77cb35a1e
DP-12,DP-12-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,996e1dac7ff1c24ae91064574f3bb72ae9bb57b38c036bb08eeb7b570e85d728
DP-12,DP-12-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aaf7e4d9f098bd473455c7d8bb0d23b1b26bb3094d0e8ec23edce3b52c904763
