decision_problem_id,criterion_id,criterion_name,direction,owner_weight,unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,52f0d0eb460e00a6885d1dc59172ce57f4484dcd9aa2627d8acd8f8d144debba
DP-01,DP-01-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b2ef407805dca358b16227c00920931f8de80bd3b8627f6825e5da163ac19b35
DP-01,DP-01-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a0f234eb24fdc5add1212b529378d6c983c9bb1b5d7e24cdf48de375e13d8bae
DP-01,DP-01-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,39f8d26d25744ac9259121fe05854831558a3f808e2bebe3bd3b82a25495348f
DP-01,DP-01-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,35717d44265930f81b8e0c3824302a20d207c8fa424ec55eeaf771070be0dbcb
DP-02,DP-02-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3f91b374cdbeab6c7aa1d500864c9a6b0ffa8c060041528509f47b4716c9a6ad
DP-02,DP-02-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7c7e69f5d1d00c9fbb5906711095b83af3e16be2b91afb4422a3c541ab1d7b96
DP-02,DP-02-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,633f546a4c44bc0e5b328f7db76382726cdd0c729238ac1b7073c15741d3bf65
DP-02,DP-02-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6ffcd73b12957860da3d5c2ec863d9d2fe3ced01980ee677485c8c5079234a8b
DP-02,DP-02-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f14d3df2baf0689815c819a53a79dbd432e3950d257a86977369df7d4ce9a22d
DP-03,DP-03-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5e2b3ed3b543840fda34b9760d09f6d2e0298373d86ed71677d8e2b87b4fe64d
DP-03,DP-03-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ed5e908b9859138c2f943f5c0cc5a04b3c07af1b8933830a10953fba1d8546eb
DP-03,DP-03-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ce1da3cb2ce2d6817d32b099c985c3467928d80a4b4fac8f03575cfec9edb221
DP-03,DP-03-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3ff4ecff8c0ac9d9b4116ae66fae90374fd9a576b8f8fabd75e8b8ac0846ac42
DP-03,DP-03-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,be4aeaffb198445ea8a5609a388eac3f372a88d0c1c63ff29b43921b54c2f165
DP-04,DP-04-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e5e7500c9671be140e97ec418382ae974d2ff0a0f17eef07dd0cb117fabf69a5
DP-04,DP-04-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e614e5eeb1ecf1bae97b202daaaa10e0908fb7abe7176c7b2550cea068a96f5a
DP-04,DP-04-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9a96d3c192b7a86ff03164b73d4aade3ec6803cd26bf4c394093be523f2e172b
