decision_problem_id,project_id,reporting_period,decision_horizon_days,authority_required,budget_cap_usd,crew_capacity_increment,max_overtime_fraction,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,PRJ-AIR,P01,60,PROJECT_DIRECTOR,9625000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,85894b8a352a6861f40dafe25cbda8dad550fdc56e3e1c817173fcbcee1b7ad7
DP-02,PRJ-HWY,P02,60,PROJECT_DIRECTOR,5250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8dc7d542a01d1e5c68ed8c34742b19bc3302f4cede5f1ffe687dd4535bdb4d41
DP-03,PRJ-HSP,P03,60,PROGRAM_EXECUTIVE,11500000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,11f5221549369d75f36cc151110c7d08a221926ba1eca003078048215d668692
DP-04,PRJ-WTR,P04,60,PROJECT_DIRECTOR,4375000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,be8f866294e95583944ad054e41152ef039e2eb7e173e96d5206108bb8ca4655
DP-05,PRJ-RAL,P05,60,PROJECT_DIRECTOR,7250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,509a9f517ee1d7ca4f337639b3d258c182177b671e0ed4849b2d110fd2ccdcc7
DP-06,PRJ-DCT,P06,60,PROGRAM_EXECUTIVE,6000000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c724d84caca98d28a3eff12c463b18bc44a7e41dca55dff148e6bb3b951323be
DP-07,PRJ-AIR,P01,60,PROJECT_DIRECTOR,9625000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,06455b8c9e14980ee609cb0b5900cc811e8a3b3ef10d963d696768e404e1f1b8
DP-08,PRJ-HWY,P02,60,PROJECT_DIRECTOR,5250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b37a96a095645019f54d177ef3517644998d46ca58f412c7573059880c6248b3
DP-09,PRJ-HSP,P03,60,PROGRAM_EXECUTIVE,11500000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a97a0097154fb230b7286414a91b35050c5bb52f9b40623eb276696fc5ed7a64
DP-10,PRJ-WTR,P04,60,PROJECT_DIRECTOR,4375000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1033423c69153e0151e203b759bdf2872bcc694c16e616200031b30e365c3d10
DP-11,PRJ-RAL,P05,60,PROJECT_DIRECTOR,7250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,35d8e345a540634f41e4b3b81e70ed4ab25cb7341e285b92ca53214e80b437df
DP-12,PRJ-DCT,P06,60,PROGRAM_EXECUTIVE,6000000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,79f6f6794745e1c49bde5c414eb91c17f4fe24760489d9c545d40d0d278f77b1
