decision_problem_id,critic_weights_json,critic_topsis_top_action_id,marcos_top_action_id,minimax_regret_action_id,minimax_regret_value,pareto_action_ids,lp_success,lp_objective_value,lp_solution_json,decision_sensitivity_change_rate,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,"{""EXPECTED_COST_DELTA_USD"": 0.250586, ""EXPECTED_DELAY_DAYS"": 0.223434, ""QUALITY_RISK"": 0.175846, ""RESIDUAL_RISK"": 0.18731, ""SAFETY_RISK"": 0.162823}",DP-01-A5,DP-01-A2,DP-01-A3,0.71801,DP-01-A2|DP-01-A3|DP-01-A4|DP-01-A5,True,-848000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bbe1e3669ebc4075586ad8ec44c9f80d1d5a8ee93a09aa27cbae36b9dbcdf9a8
DP-02,"{""EXPECTED_COST_DELTA_USD"": 0.250825, ""EXPECTED_DELAY_DAYS"": 0.218976, ""QUALITY_RISK"": 0.177241, ""RESIDUAL_RISK"": 0.188273, ""SAFETY_RISK"": 0.164686}",DP-02-A5,DP-02-A4,DP-02-A3,0.827,DP-02-A1|DP-02-A2|DP-02-A3|DP-02-A4|DP-02-A5,True,-901000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7a3f95c3955905ada613e5b70a353f2756b425b643bd7aeffd922b0bf5704b2d
DP-03,"{""EXPECTED_COST_DELTA_USD"": 0.250775, ""EXPECTED_DELAY_DAYS"": 0.216607, ""QUALITY_RISK"": 0.178833, ""RESIDUAL_RISK"": 0.188621, ""SAFETY_RISK"": 0.165164}",DP-03-A5,DP-03-A2,DP-03-A3,0.848,DP-03-A1|DP-03-A3|DP-03-A4|DP-03-A5,True,-954000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,239cfe74bfd29ce4de2fb29c8e3b32ccd48d63b490eeaec8c80a18059cd0f755
DP-04,"{""EXPECTED_COST_DELTA_USD"": 0.248342, ""EXPECTED_DELAY_DAYS"": 0.21865, ""QUALITY_RISK"": 0.179722, ""RESIDUAL_RISK"": 0.187606, ""SAFETY_RISK"": 0.16568}",DP-04-A5,DP-04-A4,DP-04-A3,0.938,DP-04-A1|DP-04-A2|DP-04-A3|DP-04-A4|DP-04-A5,True,-968406.25,"{""add_crew"": 0.796875, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3c492c0a5dd6f4d813389b953048e33b0a987109dbebc158030bf098a0f67e01
DP-05,"{""EXPECTED_COST_DELTA_USD"": 0.247943, ""EXPECTED_DELAY_DAYS"": 0.224941, ""QUALITY_RISK"": 0.176752, ""RESIDUAL_RISK"": 0.186509, ""SAFETY_RISK"": 0.163855}",DP-05-A5,DP-05-A1,DP-05-A3,1.037,DP-05-A1|DP-05-A2|DP-05-A3|DP-05-A4|DP-05-A5,True,-1060000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f94f0bed3876faac4f09164b8b53d8f02107fbce582fbb91c3a91f86c7ff5bf7
DP-06,"{""EXPECTED_COST_DELTA_USD"": 0.250132, ""EXPECTED_DELAY_DAYS"": 0.22262, ""QUALITY_RISK"": 0.176244, ""RESIDUAL_RISK"": 0.186936, ""SAFETY_RISK"": 0.164069}",DP-06-A5,DP-06-A3,DP-06-A3,1.118,DP-06-A2|DP-06-A3|DP-06-A4|DP-06-A5,True,-1113000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,78a44a4aa3e603979837e2a57a06fea312f27a0cc376197aa4fc13b2ba43dc4e
DP-07,"{""EXPECTED_COST_DELTA_USD"": 0.249566, ""EXPECTED_DELAY_DAYS"": 0.222666, ""QUALITY_RISK"": 0.176636, ""RESIDUAL_RISK"": 0.187014, ""SAFETY_RISK"": 0.164118}",DP-07-A5,DP-07-A1,DP-07-A3,1.208,DP-07-A1|DP-07-A2|DP-07-A3|DP-07-A4|DP-07-A5,True,-1166000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,71ba3f121f3a4389b6b94ad0f770296ceaed10c7212506074bbf48522dadbe45
DP-08,"{""EXPECTED_COST_DELTA_USD"": 0.252534, ""EXPECTED_DELAY_DAYS"": 0.224321, ""QUALITY_RISK"": 0.172822, ""RESIDUAL_RISK"": 0.187855, ""SAFETY_RISK"": 0.162467}",DP-08-A5,DP-08-A3,DP-08-A3,1.298,DP-08-A3|DP-08-A4|DP-08-A5,True,-1219000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,379de0573b262286135b33529610a04ec84fbcae0348865193a72c4ce87bab82
DP-09,"{""EXPECTED_COST_DELTA_USD"": 0.249256, ""EXPECTED_DELAY_DAYS"": 0.224715, ""QUALITY_RISK"": 0.176469, ""RESIDUAL_RISK"": 0.1865, ""SAFETY_RISK"": 0.16306}",DP-09-A5,DP-09-A3,DP-09-A3,1.388,DP-09-A1|DP-09-A3|DP-09-A4|DP-09-A5,True,-1272000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,99d98beb84f079c8ce21c5d2dfc86703c92ba85a0e50b21c8f27429c5863da52
DP-10,"{""EXPECTED_COST_DELTA_USD"": 0.253921, ""EXPECTED_DELAY_DAYS"": 0.218871, ""QUALITY_RISK"": 0.17565, ""RESIDUAL_RISK"": 0.190008, ""SAFETY_RISK"": 0.161551}",DP-10-A5,DP-10-A3,DP-10-A3,1.478,DP-10-A1|DP-10-A3|DP-10-A4|DP-10-A5,True,-1274218.75,"{""add_crew"": 0.796875, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6d306caf83af2409a7b606f2d18294bd5be4ba7c5853813fc0a3852ac768749c
DP-11,"{""EXPECTED_COST_DELTA_USD"": 0.250655, ""EXPECTED_DELAY_DAYS"": 0.22912, ""QUALITY_RISK"": 0.17173, ""RESIDUAL_RISK"": 0.186642, ""SAFETY_RISK"": 0.161853}",DP-11-A5,DP-11-A3,DP-11-A3,1.568,DP-11-A2|DP-11-A3|DP-11-A4|DP-11-A5,True,-1378000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c123e2778f9938da2be5fa3e2d6dce65535531df40337162bd29e4eba5368a4c
DP-12,"{""EXPECTED_COST_DELTA_USD"": 0.252177, ""EXPECTED_DELAY_DAYS"": 0.223638, ""QUALITY_RISK"": 0.173551, ""RESIDUAL_RISK"": 0.188081, ""SAFETY_RISK"": 0.162552}",DP-12-A5,DP-12-A1,DP-12-A5,1.537436,DP-12-A1|DP-12-A3|DP-12-A4|DP-12-A5,True,-1431000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,395507126497adb0d3b97f7d7d93a1aab10b19b01b820d0180478d3dcc692ce5
