decision_problem_id,scenario_id,scenario_name,scenario_probability,delay_shock_days,quality_shock,safety_shock,risk_shock,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2eb891cc2eb1cb111ffe7065dc75777729cf364909c098118c9307462c2ed86e
DP-01,DP-01-S1,PRODUCTIVITY_DROP,0.2,11.200000000000001,0.048,0.032,0.096,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,242c343f849532b10dd8239215444d6d54d7f57fcf7c9cd0798a7e51236ad3a0
DP-01,DP-01-S2,SUPPLY_DISRUPTION,0.2,14.4,0.024,0.016,0.144,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e2d00eb8602962ff8df381cce6089af66caae10134b0b96fd65350e366a7fc60
DP-01,DP-01-S3,WEATHER_DELAY,0.15,9.600000000000001,0.016,0.04000000000000001,0.08000000000000002,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,748fa56c704fb4dab826794018731aa488156626aa73a17e52499a61392109f7
DP-01,DP-01-S4,COMBINED_STRESS,0.1,22.400000000000002,0.072,0.064,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,707551262403839b914916d1a920a36e5ebb6832ba6286289ee56f876cac8344
DP-02,DP-02-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a5d4626ed62756c38c78cb15602cde1beb7a61c825dff826a7b30c9f915bc718
DP-02,DP-02-S1,PRODUCTIVITY_DROP,0.2,11.9,0.051,0.034,0.102,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9d82cf9a2db78406181e5c742c4eff417a488c346d07a7c2dc4463de296a6f5d
DP-02,DP-02-S2,SUPPLY_DISRUPTION,0.2,15.299999999999999,0.0255,0.017,0.153,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9b647d5fab50c3ac38ad82e5f12f82827326b834b2ce1c4943eef9628e5408b2
DP-02,DP-02-S3,WEATHER_DELAY,0.15,10.2,0.017,0.0425,0.085,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f733317e288e711f48557951f641394927f4feaa882a32e1be3867ad5845a90b
DP-02,DP-02-S4,COMBINED_STRESS,0.1,23.8,0.0765,0.068,0.2125,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,24159f853d3ed877a13c759fc13a11ba98b38b4664518e95e11ecf4bd6794d87
DP-03,DP-03-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9360aedb4aa6b5eb8ccdfa5aa74be17fe8a6e181188b73af6954fa28c05813d0
DP-03,DP-03-S1,PRODUCTIVITY_DROP,0.2,12.6,0.054,0.036000000000000004,0.108,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,79733d52c095bcb1aaf10b3f483af77cb37f7e3759d4af789fe793a56dfc2748
DP-03,DP-03-S2,SUPPLY_DISRUPTION,0.2,16.2,0.027,0.018000000000000002,0.162,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,eb9071ff8bae2d1990e45275469e39ec05335b3c52bdc7937e39a4dc36530a1a
DP-03,DP-03-S3,WEATHER_DELAY,0.15,10.8,0.018000000000000002,0.045000000000000005,0.09000000000000001,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,89d19232e804bb5f9991bc06c1e576d73b933e17647d95d81ee7fbe34dba2a1b
DP-03,DP-03-S4,COMBINED_STRESS,0.1,25.2,0.081,0.07200000000000001,0.225,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0e6de74bbfab5ae7297e3f0ccdbe9191b00f21799c1cb7b2b9da08d8cedd8fb1
DP-04,DP-04-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f3c7814e642432add6d8bec8a404f1c066445793061919053931528473f9496a
DP-04,DP-04-S1,PRODUCTIVITY_DROP,0.2,13.299999999999999,0.056999999999999995,0.038,0.11399999999999999,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4494e3117e241ccf27b6c89be2051240250cc2fdadbf83edf802ea431b50a507
DP-04,DP-04-S2,SUPPLY_DISRUPTION,0.2,17.099999999999998,0.028499999999999998,0.019,0.17099999999999999,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,63ad5d79b0ba6d29dfebfe338a13303873b05f488d89ebe4610e3b741ad7fc3c
DP-04,DP-04-S3,WEATHER_DELAY,0.15,11.399999999999999,0.019,0.0475,0.095,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3990981cd37a16449508ebceaf2a5978c968e5ab3738579899bf5acbcb59120e
DP-04,DP-04-S4,COMBINED_STRESS,0.1,26.599999999999998,0.08549999999999999,0.076,0.2375,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,750d397574536551d78362690c1af12d8b275f8bf398a69157279f8f2afb3808
DP-05,DP-05-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9d5bdb2c9ad9c09cf362242479acf72dd865ec3f73560deebc792c710e1a11b1
DP-05,DP-05-S1,PRODUCTIVITY_DROP,0.2,14.0,0.06,0.04,0.12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7f4f3ef87ff2b0197a445316919a4925d12cc3840f88bcdccd4f04c6bd4e1c34
DP-05,DP-05-S2,SUPPLY_DISRUPTION,0.2,18.0,0.03,0.02,0.18,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f1c31ee4cb6cb4dde097f19def13910b0d0d90963ef86c5194fc88e64522116e
DP-05,DP-05-S3,WEATHER_DELAY,0.15,12.0,0.02,0.05,0.1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,93eecacd70b2d2937d854e4c839d1a533e17c38a65c9f756902d94caeea3bc7f
DP-05,DP-05-S4,COMBINED_STRESS,0.1,28.0,0.09,0.08,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,070594b9efea6e3be09e07f222fe626aef9c671ec0bf897d07114ce905193e57
DP-06,DP-06-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f90e46dccebe395c59628cda00a60c969579de212074356106ffc984289f38ce
DP-06,DP-06-S1,PRODUCTIVITY_DROP,0.2,14.700000000000001,0.063,0.042,0.126,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,850cf2aab4221d48137bbda4e23768605229cd055ef1553f81d837f3ed50aff0
DP-06,DP-06-S2,SUPPLY_DISRUPTION,0.2,18.900000000000002,0.0315,0.021,0.189,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8471d15adbb025c2d289748340e92a967ea4ff741f3b1a8891015867fc7665ef
DP-06,DP-06-S3,WEATHER_DELAY,0.15,12.600000000000001,0.021,0.052500000000000005,0.10500000000000001,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0ffaa286b329c0785c82909771a8611b291c3f8a3d83cfb055d220efda91ef51
DP-06,DP-06-S4,COMBINED_STRESS,0.1,29.400000000000002,0.0945,0.084,0.2625,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,43d0cf0f4f7eb6d1ac3b6fbe7146585d19c83b1fbbdc1d806c97e6d9f834c4ab
DP-07,DP-07-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,685dae341336973332c8f870278308347c31cbdfe4fa6b44bea9dd16cd7adbf7
