decision_problem_id,criterion_name,weight_factor,selected_action_id,base_selected_action_id,selection_changed,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,EXPECTED_COST_DELTA_USD,0.8,DP-01-A3,DP-01-A5,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fd7a0c39c1e90bc07c08c43ca55ad166e864c9f54f602cf949a90c6c94c28665
DP-01,EXPECTED_COST_DELTA_USD,1.2,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7051450add43a039b82f89968b37c7d498424475f6d5e4df8c94f2212578b477
DP-01,EXPECTED_DELAY_DAYS,0.8,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c841a5a483be7536a79090eec1ba97124e8cd4352974f8b23c8dc0df8cc56eca
DP-01,EXPECTED_DELAY_DAYS,1.2,DP-01-A3,DP-01-A5,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,067f1417131d321424ba075aa98f8b5b8fe061d1aa53d391d4173f7a49acf7f7
DP-01,QUALITY_RISK,0.8,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9f001d39d0d3437520dfc76bd1288e3896fb1dacf26a25b33b4b5eaecb2ac59f
DP-01,QUALITY_RISK,1.2,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,607690e2cb441152797b7bf44c188624dfd1082508e54c31d8f44fa63b489342
DP-01,SAFETY_RISK,0.8,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3f51f223bbc17c89664f54ca53b5070410acbd93cdf760d70766a81adcbc40d8
DP-01,SAFETY_RISK,1.2,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c2d522b9512157abc69a53bdf9e719f5703f1814e99855cecbb7e1ce443225b9
DP-01,RESIDUAL_RISK,0.8,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d0352f01f463a4232beae089a0d71cfe33a44dc7b092878f29403f423b814eb4
DP-01,RESIDUAL_RISK,1.2,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B3-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,998c57cec12bf8400003f71cf15fb8e5b202b33e591d16da9c352a8691babd93
