parameter_group,parameter_value,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
COST_LEVEL,LOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e017314f33a62b420da4b6bff038580912e8dda8856ce15a9a6002c2bba396d7
COST_LEVEL,MEDIUM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d07a5ec1a0bf8d169d2bbb9a31c109f1b9e38b9449f0d4253d583706dd5bd7f5
COST_LEVEL,HIGH,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8d7b82750ae16b6d700357bde6632e81605e0aae6d11b24f1b14db68473595df
DELIVERY_SPEED,FAST,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8329dac69e679254c582edf60ccf36519f9510599ebc2a50256a85134b40dab5
DELIVERY_SPEED,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,97c16e0ffd0347e87efa3e356bcdc6f90a23feff20d66c5451bc7d7aa5d3bc44
DELIVERY_SPEED,SLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,965b1f4aead8cc32d4356c403f2561335e234643f038f0afb7173dcdd9905198
QUALITY_LEVEL,HIGH,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0db60a6c74942803a4f1d7d558062614f8ea1bb8ecd14f8be43c02187269b4fc
QUALITY_LEVEL,MEDIUM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,916751e4092cc6c872b70eef7d0d3c88854fdd1e1ab783037d23bdf10155d25e
CARBON_LEVEL,LOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ac5df3112a3b297aff946c179b951d16563084c641bf9ec4ea790187446e1d3e
CARBON_LEVEL,HIGH,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f0b6bbd2410a3f35af6fa50c17affea629c9f0cbab2b17aa3f722d77efecfd4d
