alternative_id,attribute,attribute_value,appurtenance_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
SUPPLIER_A,COST,LOW,0.898189,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3a89813fed2d242979d8dfd28bd4680fe323e759ed46d7749255add124601397
SUPPLIER_A,COST,MEDIUM,0.453714,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a7c8239c6a038d49f6b7c74738b20bd71708f9309f4f354e179a5f55a52a8e0b
SUPPLIER_A,COST,HIGH,0.218035,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,15a24f66caf838b9ad9a3099b5f8ccb52313f9053da8bf59bbbd0d9dd3d1dcb9
SUPPLIER_A,SCHEDULE,FAST,0.905212,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e8077309369bf91ffd5b9d864b49d749edb64f8c32133bac85b93fcbff5a4b8b
SUPPLIER_A,SCHEDULE,NORMAL,0.527882,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0f30ab81f6dc6c032aaa796d7c41428adb8c832c61a04662e07e34fec0a7fe57
SUPPLIER_A,SCHEDULE,SLOW,0.186316,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,eb7ee3ebad8bb14ebff868e704c58139f51324eb5097dd1b30aeb5e9bcd7be46
SUPPLIER_A,QUALITY,HIGH,0.881236,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,47aa638bb8cde151ab18993ffe727db5cb57fa8937c6c129bc771797ab4d219e
SUPPLIER_A,QUALITY,MEDIUM,0.503819,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1e60f14b9236b7daf088f8d5f8800ddab35049a9c657e2b0a4122392e840a5d6
SUPPLIER_A,QUALITY,LOW,0.130951,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4b1846d4702f40b64d7591b53ce13d61f75f4f6ddeca441bcb81cf37457ef6db
SUPPLIER_A,RISK,LOW,0.855966,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,020e161d501c0da6c8f53c2e3b7f3f8a385cdf938bb31c5930af591416915453
SUPPLIER_A,RISK,MEDIUM,0.393174,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0f56d6a0950dc56186e2a237ff92f336d6e4f65bddacddf893513fb3654425cf
SUPPLIER_A,RISK,HIGH,0.100008,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f40b1318514354dc380b1efb2e7d84c1abc3d897b81c21da95fdbebf8722e823
SUPPLIER_B,COST,LOW,0.557406,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,17c9269c07538a64d9c8a385c2ec4ce4de1c5a8f84094fe3b44ad766178352aa
SUPPLIER_B,COST,MEDIUM,0.11722,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f0faea58c30377ec46ce46e4c661792d13b87f49e6da49f8a4b9c7f1620430e2
SUPPLIER_B,COST,HIGH,0.842784,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4fdb655bd69746d28266b9d05bd16f30144aa69ab5ffc52d2f41ea21558d70f7
SUPPLIER_B,SCHEDULE,FAST,0.539542,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,88160ece51e87d5f3a146deb7a4f6eee9c54d82e367a9a1de58ac62e527b58f9
SUPPLIER_B,SCHEDULE,NORMAL,0.112175,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3d954c998bce132479d0aab5ba40fa7aa836d692604a87d5b36a2bf67c5be209
SUPPLIER_B,SCHEDULE,SLOW,0.82763,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,04b43980b3b2a925e563e3d9f93eff4e513c29e0430e96f7468f0ca10284aab0
SUPPLIER_B,QUALITY,HIGH,0.54304,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,550b20fa96ac36f82269902f2ea72f322c30251172d79160e81f5bdbfc843628
SUPPLIER_B,QUALITY,MEDIUM,0.169643,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1f37268f79f98202be0e7f72520023b0a7920235d0745ca91622fb81a5889bd0
SUPPLIER_B,QUALITY,LOW,0.821528,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,df12e09ec38ec6841933f6bf6c5af3ce7829e1e7a87d3f616c1fe2878b8c6b6b
SUPPLIER_B,RISK,LOW,0.525508,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,02f79253739ea3772a4eda0aeafe2120a47835e6e9276bbe035b24506b3195d3
SUPPLIER_B,RISK,MEDIUM,0.199011,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c69a009f59190e1ec912024338782c7453bcba6dc9bdbafb1433f9137e07c438
SUPPLIER_B,RISK,HIGH,0.895037,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cab48b5d62c9774cb9cc2cc6ebf58c93ed981627c73f214c848abe440bd70cf4
SUPPLIER_C,COST,LOW,0.162701,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bb96af949d84a27b9143ac83d090da5bc4c9ca6a0dced469d9fbb88499f5f329
SUPPLIER_C,COST,MEDIUM,0.77297,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,40280f9600df29a529dc748fdc24780a0e6c41e5906094f105f6a333332c1d21
SUPPLIER_C,COST,HIGH,0.49806,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9c6d7422f2f507d168f556af958d14ccfe9935d9a8661c831e43c5c27510acbe
SUPPLIER_C,SCHEDULE,FAST,0.084944,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7f0f9d662d9c39aa062d16f9b8fc78ac3839d7e3ba060a167fb8e2e65c99d55e
SUPPLIER_C,SCHEDULE,NORMAL,0.842537,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c0e4b2fec3dc7f7baf729bfbb024df875f9ce780c52e179128e262bcf465cecd
SUPPLIER_C,SCHEDULE,SLOW,0.464288,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4c7ac4f13c8067411571b9567f497397e6e3d6726c171a5996d9e20d5f893c4b
SUPPLIER_C,QUALITY,HIGH,0.150093,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d33b42e1152f553b7f4d4665d03e3d40eaf81b27d219a24ae69753074e20c577
SUPPLIER_C,QUALITY,MEDIUM,0.843596,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7a1ca57f0a935224398e4cc6c1feea411bdefbd3b1196576bda31923e7bf906b
SUPPLIER_C,QUALITY,LOW,0.56743,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,26b50ee9c79d0468e1e384f4884c85ae101f61b67700cbead6845e8fd826ab53
SUPPLIER_C,RISK,LOW,0.185789,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3b30deea4328e9d98ea64e96d7d5d9ecaf8e15efa8065418122e4ecb16150358
SUPPLIER_C,RISK,MEDIUM,0.854236,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d3885d2ab480d92a6d839cdffd7d912092f7646c12c6fd691a883e5536d7a1d3
SUPPLIER_C,RISK,HIGH,0.446912,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9948fdae5cc351ed3828e3c32ff6014cc0d05544dc9283e85252d878d7f537dc
