attribute,attribute_value,dominant_value,value_rank,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
COST,LOW,LOW,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0eeb38bbbc5a1ef4a4272575422032fb84a413c78f09e8503ff35dab032ebacd
COST,MEDIUM,LOW,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e06d0035f55937b7c04fef479769a8612e81ebeaa946cb8d2b3369a9072812e4
COST,HIGH,LOW,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4885bd6f131410639a01b0d7d30cec64e0d99fbb4b8127fa62db9c4626c4b0bb
SCHEDULE,FAST,FAST,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e5a4c507cdccdcf011a8c8c5ac92c6f178a22d1cceace074b03b4802f56d93c7
SCHEDULE,NORMAL,FAST,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,eddd43b1f31aed66e0f02c73b02757601c6e870007418a7952275f633fef8c6a
SCHEDULE,SLOW,FAST,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ed1cb8fb1076f7b176618f97c261380df7d0e252265417dde8cf1fd8e2e73062
QUALITY,HIGH,HIGH,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,954bd2f988b3a9a791e738bf020277578124d9b0c5102170aa8ba64e97f0fce1
QUALITY,MEDIUM,HIGH,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20e8650cd4ddf17a4f3d18d572f9f62f29bfaa186905b0a9db9fd5ef7381f3c2
QUALITY,LOW,HIGH,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20fac471e361c5ab9530f8a898d5b43ceeab44730f8539c8dff341cb29e445f7
RISK,LOW,LOW,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,efd230772623b3c8742c5ec138d7c840eca5f1d2faf7916406f9111d0fae185d
RISK,MEDIUM,LOW,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c34883c15311ef57686d043350f09fa5a4fe3205ac7196a418cf5bb885feed80
RISK,HIGH,LOW,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,88bccb67e03d0d8c2356fb17528551b26327c4f4dac683fd8238ac56d3ee9a8b
