synthetic_respondent_id,question_order,response_a_yes,response_b_yes,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
Q-0001,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b09f2c5ef4ac317c7f3dce62ada3506f531d162dea68481d73036e33e60df282
Q-0002,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,15b07034df7156721950c89b4e604658c274eaa9bcd27fcf68bbaf497f2ea9f6
Q-0003,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,eeb4917268b7814572e1002d389bfd6df0cfb5238a6033d1afcc8b6b49dd81a3
Q-0004,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e44dee0390816e68996b83595b1167722eb71fa0c4fac1fe3be38a31bb7dcc98
Q-0005,A_THEN_B,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f9324ba0768991705597e1a38ca6064c8fcd014ce38898c56ee24adbe60d2c28
Q-0006,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,233206b492ff1806ea2191e385183acfb1cfaeedf6db1fda2c470d53000f3e11
Q-0007,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,450adaba51cbe5899c0aa98a9f172f734e794665c95624b6a430c77cac138261
Q-0008,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1a404e7bafabc36c97817c8d09ce1110d50134a1be3b9b8af4f7de4aed68a90e
Q-0009,A_THEN_B,True,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,51f648ea1c2b1c758d17b2c466de66b272f6b0d925df7a8fbba7858f78af831a
Q-0010,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1c9a080c2f4573c2239fdba2a465cd8e0a2b488ee0c1f46dff96f43fe41eb96c
Q-0011,A_THEN_B,True,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bb324bba601f0e8f4b7e5bb47c4eee9c26680ef19dfe2376587f1f0b52c224d8
Q-0012,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,71a6b0505a1afeee8b295fd042a385a1be514547a7693e968c353bc302613a4f
Q-0013,A_THEN_B,True,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b60566cda88085f40979cab9dea60d207a8eac9a39400ed4e5c79b3ecfbf854f
Q-0014,B_THEN_A,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0ec6bb17f384f8abbce96a344a5330ea38949c4ff6e2a898372b2620cec603d4
Q-0015,A_THEN_B,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,145264815b35f4972550721ee353e670d484c54e9c3ce44719c69f811e5b3333
Q-0016,B_THEN_A,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bd19dc8d02c85a654cf49b81cccd1d1f01e8683278604127c6ca684734ece815
Q-0017,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6efb1ca2ace98737b281638b7d5c59fec92c29b52aa4eb57f87e430fd4f28cdc
Q-0018,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,75eb2aa5d59a0db50e5ec6ca00fb6c12acf35411b74a9f9a3747940b7f2c5589
Q-0019,A_THEN_B,True,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,479f47913990b43aed3e14556d6fa682f2d6ee6940b35232b6d02610ae399ce3
Q-0020,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,70bcb62d1b8df4d57123bbf3fbb3dc158257888686d6058434142d5ea67b8c74
Q-0021,A_THEN_B,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,661e67741475703aacee4c183198a6efc68d7efd03df525a15b22532e87fd5ed
Q-0022,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,28d62c7a20b9a973ebd66c60e21f7f8f7f48798c3c2868e55475ccd479be4480
Q-0023,A_THEN_B,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7b1630b1a63ff48bd88f656aaa495a46e6bf99c04ac03d10b699d54315108b55
Q-0024,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,656cc70cf843be32eaa7774eb82f4bf71920aa425ad567591705428ab3a81bfb
Q-0025,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ded08ffc00ef88314f407b7521a13278c74f77aff7a260dea87c01480c027a19
