project_id,chain_id,activity_id,optimistic_duration_days,most_likely_duration_days,pessimistic_duration_days,pert_sigma_days,variance_days2,buffer_sizing_method,sizing_z,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A01,4.324,5.4,6.996,0.44533333,0.19832178,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a52beb9ab1f1ba67b029df54c67ffe4c499ba30ce6304d56928abc7152f4146a
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A03,29.22,37.8,48.696,3.246,10.536516,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0d00b6e5a536658d41fe0265fcb9bd80a615166fa680943f4e9b224a6e9b5100
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A04,16.166,21.3,26.601,1.73916667,3.02470069,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4b0b800754c4a8637b6453d7d7f4e68e66c798808e9cb62c2a8ac57fcd721ed1
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A05,25.938,33.5,43.157,2.86983333,8.23594336,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c5a6b31fcd37e57ff79c1c296876d06f766c29750bb105e53fdb7ed218ad62ea
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A06,38.473,48.3,62.086,3.9355,15.48816025,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,af61eb2537236f8ba3cceca5641c585e1a7452a26215ae6b585a5a32fe6cd7fe
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A08,36.703,47.9,58.076,3.56216667,12.68903136,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4beb9a8fdd31f4e6571c4db407a3127094d82c481285fb83b11f7eea54284382
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A09,27.447,35.4,45.642,3.0325,9.19605625,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,597301f6a98bdbb12f8a066aabebc6b54e9843512b40645b2581b9ce3742af2a
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A10,34.128,44.3,57.153,3.8375,14.72640625,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fc734f62c16140ffa86ca58234e24c0444fdfcb3e8529e362bfbb72f58b95a44
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A11,22.278,30.3,38.001,2.6205,6.86702025,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ba29258bfb3a120d0a09d7a8658beb3d21b4902807438fc0adb0ef997a9055f2
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A12,10.543,13.8,18.751,1.368,1.871424,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9a1c43f61fb640677b9406e1ef2587a19c9bae5d706157199caca32fa7f8d858
PRJ-AIR,PRJ-AIR-FC1,PRJ-AIR-A02,18.999,22.5,30.68,1.94683333,3.79016003,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,875d51ba813aaa202698c197212d7c78cbe888c58bab7138b346479c25b04037
PRJ-AIR,PRJ-AIR-FC2,PRJ-AIR-A07,28.096,36.0,48.325,3.3715,11.36701225,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,973226719daad514d6b89c5ee6c92e54209eadba0cb4ad1af5ad79c560d43484
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A01,3.997,4.9,6.101,0.35066667,0.12296711,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fb530e551d6bed34c24eeb9e63dbfffe300e52f6b5640d425792d7d225824c34
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A03,23.772,30.6,38.755,2.49716667,6.23584136,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,beb9ede7f910269aa1bc42ea23453eb16dcaae232bdc3f069ec6ba676090c157
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A04,13.771,17.8,22.759,1.498,2.244004,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,90d3399e8f0142881154c64eec4325a4bfe327c0b587d0944810f9b83028c447
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A05,17.873,22.5,28.531,1.77633333,3.15536011,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b3abdb65bf4df1efb8a032e94d655672ecbe9399b0331121d5cad31bb9540778
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A06,28.257,37.3,47.337,3.18,10.1124,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,756a072381fa91f53af64b165cabda18e1b360b2d1d8cc7a7237d189eb4b767b
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A08,27.199,34.9,44.931,2.95533333,8.73399511,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8a01d1b843dcba7f4cdf828b859ea07174c47ab0bb810bda439cb55d631168f2
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A09,22.534,28.7,35.73,2.19933333,4.83706711,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bbdd8b36a238ea35bc53682ea903b2449e17c09e84223e20853e4fa14263f2b9
