project_id,period_id,buffer_id,buffer_type,chain_id,original_buffer_days,remaining_buffer_days,chain_progress_fraction,buffer_sizing_method,variance_sum_days2,sizing_z,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-CC-BUFFER,PROJECT,PRJ-AIR-CC,14.97163114,8.18783504,0.2363974,RSS_PERT_VARIANCE,82.83358019,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ed097c38a3cb8f276b5d1188dc985adf5e4b4778a7035a4ea7ddaf944c9a9038
PRJ-AIR,P01,PRJ-AIR-FC1-BUFFER,FEEDING,PRJ-AIR-FC1,3.20254083,0.0,0.909974,RSS_PERT_VARIANCE,3.79016003,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,df2400ae623e6cf560c8172f05707beba4942dd51dc117e8c6f0125778cbdfb0
PRJ-AIR,P01,PRJ-AIR-FC2-BUFFER,FEEDING,PRJ-AIR-FC2,5.5461175,3.5063583,0.0,RSS_PERT_VARIANCE,11.36701225,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d46e7be868906a519d272c6ae694a08a452d5e4df941a1d225e4e0355c0eb1e1
PRJ-AIR,P02,PRJ-AIR-CC-BUFFER,PROJECT,PRJ-AIR-CC,14.97163114,6.7708641,0.3932128,RSS_PERT_VARIANCE,82.83358019,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0636cc08dde8e925826e8d690c0be79dc6db27ff62174668330cdf30508ded73
PRJ-AIR,P02,PRJ-AIR-FC1-BUFFER,FEEDING,PRJ-AIR-FC1,3.20254083,0.0,0.949332,RSS_PERT_VARIANCE,3.79016003,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f3ab24b39063ff8ff04fef759a5abf1def03283f9a0c46bdecbd51d41dcd2344
PRJ-AIR,P02,PRJ-AIR-FC2-BUFFER,FEEDING,PRJ-AIR-FC2,5.5461175,3.5235379,0.0,RSS_PERT_VARIANCE,11.36701225,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,db3136eb8393c5369bb232cba26794129afec84e3b66fb376b88cb24a13a03aa
PRJ-AIR,P03,PRJ-AIR-CC-BUFFER,PROJECT,PRJ-AIR-CC,14.97163114,6.86118411,0.4951319,RSS_PERT_VARIANCE,82.83358019,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bb8fe5e2025fad6d59a3d5d6f30ab8c7f01fc3dd6725c33de2d0780e26e268cb
PRJ-AIR,P03,PRJ-AIR-FC1-BUFFER,FEEDING,PRJ-AIR-FC1,3.20254083,0.17520855,0.953256,RSS_PERT_VARIANCE,3.79016003,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3b87923c7e6f7ab7f6b782eebac794fb0fca6f14a3540acb33170563242bcf9a
PRJ-AIR,P03,PRJ-AIR-FC2-BUFFER,FEEDING,PRJ-AIR-FC2,5.5461175,3.73220443,0.09464,RSS_PERT_VARIANCE,11.36701225,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ec19f9a2730cb4971adfee1a5aa1b157686c3630a561a20da1d5dec2e396dec6
PRJ-AIR,P04,PRJ-AIR-CC-BUFFER,PROJECT,PRJ-AIR-CC,14.97163114,5.04035033,0.5776572,RSS_PERT_VARIANCE,82.83358019,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b6f3e9dc2e61f9df3913f182f547cfc039ffdc15bea5c2da5ea62bc4344525ff
